"label","abrreviated","cluster","r_names","official_name"
"ADPSBQ_X","ADPSBQ","X","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_A_1","ADPSBQ","A.1","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_A_2","ADPSBQ","A.2","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_B","ADPSBQ","B","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_C","ADPSBQ","C","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_D_1","ADPSBQ","D.1","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_D_2","ADPSBQ","D.2","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_E","ADPSBQ","E","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_F","ADPSBQ","F","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_G","ADPSBQ","G","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_H","ADPSBQ","H","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_I","ADPSBQ","I","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_J_1","ADPSBQ","J.1","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_J_2","ADPSBQ","J.2","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPVSC_X","ADPVSC","X","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_A_1","ADPVSC","A.1","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_A_2","ADPVSC","A.2","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_B","ADPVSC","B","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_C","ADPVSC","C","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_D","ADPVSC","D","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_E","ADPVSC","E","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_F_1","ADPVSC","F.1","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_F_2","ADPVSC","F.2","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_G_1","ADPVSC","G.1","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_G_2","ADPVSC","G.2","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADRNLG_X","ADRNLG","X","adrenal_gland","Adrenal Gland"
"ADRNLG_A_1","ADRNLG","A.1","adrenal_gland","Adrenal Gland"
"ADRNLG_A_2","ADRNLG","A.2","adrenal_gland","Adrenal Gland"
"ADRNLG_B","ADRNLG","B","adrenal_gland","Adrenal Gland"
"ADRNLG_C","ADRNLG","C","adrenal_gland","Adrenal Gland"
"ADRNLG_D","ADRNLG","D","adrenal_gland","Adrenal Gland"
"ADRNLG_E","ADRNLG","E","adrenal_gland","Adrenal Gland"
"ADRNLG_F","ADRNLG","F","adrenal_gland","Adrenal Gland"
"ADRNLG_G","ADRNLG","G","adrenal_gland","Adrenal Gland"
"ADRNLG_H","ADRNLG","H","adrenal_gland","Adrenal Gland"
"ADRNLG_I","ADRNLG","I","adrenal_gland","Adrenal Gland"
"ADRNLG_J","ADRNLG","J","adrenal_gland","Adrenal Gland"
"ADRNLG_K_1","ADRNLG","K.1","adrenal_gland","Adrenal Gland"
"ADRNLG_K_2","ADRNLG","K.2","adrenal_gland","Adrenal Gland"
"ARTAORT_X","ARTAORT","X","artery_aorta","Artery - Aorta"
"ARTAORT_A_1","ARTAORT","A.1","artery_aorta","Artery - Aorta"
"ARTAORT_A_2","ARTAORT","A.2","artery_aorta","Artery - Aorta"
"ARTAORT_B","ARTAORT","B","artery_aorta","Artery - Aorta"
"ARTAORT_C","ARTAORT","C","artery_aorta","Artery - Aorta"
"ARTAORT_D_1","ARTAORT","D.1","artery_aorta","Artery - Aorta"
"ARTAORT_D_2","ARTAORT","D.2","artery_aorta","Artery - Aorta"
"ARTAORT_E","ARTAORT","E","artery_aorta","Artery - Aorta"
"ARTAORT_F","ARTAORT","F","artery_aorta","Artery - Aorta"
"ARTAORT_G_1","ARTAORT","G.1","artery_aorta","Artery - Aorta"
"ARTAORT_G_2","ARTAORT","G.2","artery_aorta","Artery - Aorta"
"ARTAORT_H","ARTAORT","H","artery_aorta","Artery - Aorta"
"ARTAORT_I","ARTAORT","I","artery_aorta","Artery - Aorta"
"ARTAORT_J_1","ARTAORT","J.1","artery_aorta","Artery - Aorta"
"ARTAORT_J_2","ARTAORT","J.2","artery_aorta","Artery - Aorta"
"ARTCRN_X","ARTCRN","X","artery_coronary","Artery - Coronary"
"ARTCRN_A","ARTCRN","A","artery_coronary","Artery - Coronary"
"ARTCRN_B","ARTCRN","B","artery_coronary","Artery - Coronary"
"ARTCRN_C_1","ARTCRN","C.1","artery_coronary","Artery - Coronary"
"ARTCRN_C_2","ARTCRN","C.2","artery_coronary","Artery - Coronary"
"ARTCRN_D","ARTCRN","D","artery_coronary","Artery - Coronary"
"ARTCRN_E","ARTCRN","E","artery_coronary","Artery - Coronary"
"ARTCRN_F","ARTCRN","F","artery_coronary","Artery - Coronary"
"ARTCRN_G_1","ARTCRN","G.1","artery_coronary","Artery - Coronary"
"ARTCRN_G_2","ARTCRN","G.2","artery_coronary","Artery - Coronary"
"ARTTBL_X","ARTTBL","X","artery_tibial","Artery - Tibial"
"ARTTBL_A","ARTTBL","A","artery_tibial","Artery - Tibial"
"ARTTBL_B_1","ARTTBL","B.1","artery_tibial","Artery - Tibial"
"ARTTBL_B_2","ARTTBL","B.2","artery_tibial","Artery - Tibial"
"ARTTBL_C_1","ARTTBL","C.1","artery_tibial","Artery - Tibial"
"ARTTBL_C_2","ARTTBL","C.2","artery_tibial","Artery - Tibial"
"ARTTBL_D_1","ARTTBL","D.1","artery_tibial","Artery - Tibial"
"ARTTBL_D_2","ARTTBL","D.2","artery_tibial","Artery - Tibial"
"ARTTBL_E_1","ARTTBL","E.1","artery_tibial","Artery - Tibial"
"ARTTBL_E_2","ARTTBL","E.2","artery_tibial","Artery - Tibial"
"ARTTBL_F_1","ARTTBL","F.1","artery_tibial","Artery - Tibial"
"ARTTBL_F_2","ARTTBL","F.2","artery_tibial","Artery - Tibial"
"ARTTBL_G","ARTTBL","G","artery_tibial","Artery - Tibial"
"ARTTBL_H_1","ARTTBL","H.1","artery_tibial","Artery - Tibial"
"ARTTBL_H_2","ARTTBL","H.2","artery_tibial","Artery - Tibial"
"BRNAMY_X","BRNAMY","X","brain_amygdala","Brain - Amygdala"
"BRNAMY_A","BRNAMY","A","brain_amygdala","Brain - Amygdala"
"BRNAMY_B","BRNAMY","B","brain_amygdala","Brain - Amygdala"
"BRNAMY_C","BRNAMY","C","brain_amygdala","Brain - Amygdala"
"BRNAMY_D","BRNAMY","D","brain_amygdala","Brain - Amygdala"
"BRNAMY_E","BRNAMY","E","brain_amygdala","Brain - Amygdala"
"BRNAMY_F","BRNAMY","F","brain_amygdala","Brain - Amygdala"
"BRNAMY_G","BRNAMY","G","brain_amygdala","Brain - Amygdala"
"BRNAMY_H","BRNAMY","H","brain_amygdala","Brain - Amygdala"
"BRNAMY_I","BRNAMY","I","brain_amygdala","Brain - Amygdala"
"BRNAMY_J","BRNAMY","J","brain_amygdala","Brain - Amygdala"
"BRNAMY_K","BRNAMY","K","brain_amygdala","Brain - Amygdala"
"BRNAMY_L_1","BRNAMY","L.1","brain_amygdala","Brain - Amygdala"
"BRNAMY_L_2","BRNAMY","L.2","brain_amygdala","Brain - Amygdala"
"BRNACC_X","BRNACC","X","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_A_1","BRNACC","A.1","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_A_2","BRNACC","A.2","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_B","BRNACC","B","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_C","BRNACC","C","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_D_1","BRNACC","D.1","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_D_2","BRNACC","D.2","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_E","BRNACC","E","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_F","BRNACC","F","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_G","BRNACC","G","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_H_1","BRNACC","H.1","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_H_2","BRNACC","H.2","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNCDT_X","BRNCDT","X","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_A_1","BRNCDT","A.1","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_A_2","BRNCDT","A.2","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_B","BRNCDT","B","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_C","BRNCDT","C","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_D","BRNCDT","D","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_E_1","BRNCDT","E.1","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_E_2","BRNCDT","E.2","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCHB_X","BRNCHB","X","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_A_1","BRNCHB","A.1","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_A_2","BRNCHB","A.2","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_B","BRNCHB","B","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
