"","A-1","A-2","B","C","D-1","D-2","E","F","G","H","I","J-1","J-2"
"MTND1P23","SLC2A5","FCN3","ANGPTL7","KLHDC7A","RSPO1","TFPI2","PRG4","CHI3L1","ACTA1","REG1A","IGKC","AMER2","XIST"
"GSTM1","COL11A1","CYP4B1","NCMAP","KANK4","NPY2R","CETP","MARCO","CHIT1","SFTPB","ALB","IGKJ4","RPS4Y1",""
"CHI3L2","CRABP2","PROK1","DAB1","RP11-561I11.3","DKK1","ADAMTS18","CCL18","SULT1C2","MYL1","PGC","IGKJ2","ZFY",""
"ADAMTS4","FCER1A","S100A8","MPZ","TF","PNLIPRP3","","GSDMA","IL1RN","CALML5","CPA1","IGKJ1","RP11-115H13.1",""
"RP4-765C7.2","SELE","MAP1LC3C","MYOC","KLB","MMP3","","CLEC4G","TM4SF19","SLN","PRSS1","IGKV4-1","PRKY",""
"RP11-343H5.4","RGS16","APOB","ALKAL2","NPR3","RP11-366L20.2","","HAS1","SPP1","KRT5","PRSS2","IGKV1-5","GYG2P1",""
"LINC01291","PTGS2","GTF2A1L","ACTG2","CSMD1","","","","TREM2","DCD","PNLIP","IGKV3-11","TTTY15",""
"PAX3","IGFN1","TFCP2L1","ST6GAL2","PSAT1","","","","PLA2G7","MYBPC1","KRT6A","IGKV3-20","USP9Y",""
"AADAC","GPR1","ABCB11","DES","SCD","","","","DCSTAMP","MYL2","KRT4","JCHAIN","DDX3Y",""
"EREG","SCG2","SLC11A1","NGEF","GPAM","","","","MS4A6E","MYH6","RHCG","IGHA2","UTY",""
"AREG","SEMA5B","SYN2","KIF1A","SAA2","","","","MMP7","MYH7","GP2","IGHG4","TMSB4Y",""
"THBS4","LRRC15","ALDH1L1","ITIH3","SAA1","","","","OLR1","MYH1","KRT13","IGHG2","NLGN4Y",""
"RPL10P9","CXCL8","ALDH1L1-AS2","CADPS","GLYAT","","","","SDS","MYH2","","IGHA1","TTTY14",""
"HLA-U","CXCL9","PTX3","FBXO40","DGAT2","","","","CCL22","TNS4","","IGHG1","TXLNGY",""
"HLA-DQA2","CXCL10","ADIPOQ","COL6A6","THRSP","","","","FCGBP","KRT15","","IGHG3","RP11-424G14.1",""
"HLA-DQB2","CXCL11","ADIPOQ-AS1","CLDN1","KRT79","","","","MMP9","KRT14","","IGHM","KDM5D",""
"TRDN","SFRP2","NAT8L","GABRA4","KRT16","","","","","KRT17","","IGHV3-23","EIF1AY",""
"DEFB1","EGR1","FGFBP2","GRIA2","ANGPTL8","","","","","DSC3","","IGLV2-14","",""
"STC1","IER3","NWD2","GFRA3","DEFB132","","","","","CKM","","IGLC1","",""
"ORM1","PI16","CSN1S1","TENM2","LBP","","","","","TNNT1","","IGLC2","",""
