"","A-1","A-2","B","C","D","E","F-1","F-2","G-1","G-2"
"MTND1P23","MTCO1P12","ANGPTL7","SLC2A5","CELA3A","ACTG2","IGKC","ACVR1C","HOXD10","XIST","RPS4Y1"
"GSTM1","FCN3","RSPO1","PLA2G2A","SPRR3","PI15","IGKJ5","CIDEC","IDO1","","ZFY"
"MYOC","MFSD2A","NTNG1","CHI3L1","REG1A","TNC","IGKJ4","ADIPOQ","HBB","","RP11-115H13.1"
"CHIT1","S100A9","HIST2H2BF","MARCO","PGC","SLN","IGKJ3","ADIPOQ-AS1","HBD","","PRKY"
"RP11-343H5.4","S100A12","CGN","SPP1","PRSS1","ACTC1","IGKJ2","NAT8L","HBA2","","TTTY15"
"C4BPA","S100A8","RORC","TIMD4","PRSS2","ACAN","IGKJ1","NWD2","HBA1","","USP9Y"
"LINC01291","ADAMTS4","IGSF9","CEMIP","PNLIP","","IGKV4-1","KLB","ADAMTS18","","DDX3Y"
"ALB","FCGR3B","ITLN1","CCL18","KRT4","","IGKV1-5","CSN1S1","SLC4A1","","UTY"
"CXCL9","SELE","ITLN2","LBP","GP2","","IGKV1-9","CTD-2353F22.2","ALAS2","","NLGN4Y"
"CXCL10","IL20","PRG4","","KRT13","","IGKV3-11","AZGP1","","","TTTY14"
"HLA-DQA2","LINC01348","FAM110C","","","","IGKV3-15","LEP","","","TXLNGY"
"HLA-DQB2","IL1R2","LINC01105","","","","IGKV3-20","FFAR4","","","RP11-424G14.1"
"PI16","IL1RL1","RPRM","","","","IGKV2-28","RBP4","","","KDM5D"
"CA3","IL1B","LRP2","","","","IGKV2-30","SCD","","","EIF1AY"
"CCL19","TNFAIP6","UPK1B","","","","IGKV1-39","GPAM","","",""
"BARX1","C2orf66","COL6A6","","","","MS4A1","SAA4","","",""
"ORM1","CXCR2","AADAC","","","","IGHA2","SAA2","","",""
"WIF1","CXCR1","CLDN1","","","","IGHG2","SAA1","","",""
"P2RX2","SLC11A1","RP11-74M11.2","","","","IGHGP","GLYAT","","",""
"CYP1A1","CCL20","KCTD8","","","","IGHA1","MYEOV","","",""
"TPSD1","PROK2","RP11-707A18.1","","","","IGHG1","DGAT2","","",""
"RP11-958N24.2","C3orf36","CXCL6","","","","IGHG3","THRSP","","",""
"NPIPB15","PTX3","BMP3","","","","IGHD","SPX","","",""
"CCDC144A","CXCL8","MGARP","","","","IGHM","GPD1","","",""
"USP32P1","CXCL1","HHIP","","","","IGHV1-2","C14orf180","","",""
"SNORD3A","CXCL3","LINC01018","","","","IGHV2-5","PLIN1","","",""
"COMP","CXCL2","FGF1","","","","IGHV3-7","CES1","","",""
"SIK1","EREG","WWC1","","","","IGHV3-15","KRT16","","",""
"C21orf33","AREG","FAM153B","","","","IGHV1-18","FASN","","",""
"GPX1P1","RP11-184M15.1","HIST1H2BG","","","","IGHV3-21","CIDEA","","",""
"","PCSK1","AC005550.3","","","","IGHV3-23","ANKRD20A5P","","",""
"","SCGN","SFRP4","","","","IGHV3-30","CYP4F35P","","",""
"","SLC16A10","IGFBP1","","","","IGHV3-33","CDH20","","",""
"","LINC00473","UPK3B","","","","IGHV4-39","ANGPTL8","","",""
"","IL6","CPA4","","","","IGHV3-48","DEFB132","","",""
"","SERPINE1","DPYS","","","","IGHV5-51","RP5-839B4.8","","",""
"","MGAM","PKHD1L1","","","","IGHV4-59","CYP4F29P","","",""
"","CTD-3247F14.2","CA9","","","","IGLV1-51","PNPLA3","","",""
"","ARC","SLC28A3","","","","IGLV1-47","","","",""
"","NR4A3","CRB2","","","","IGLV1-44","","","",""
"","RP11-613D13.8","ANXA8L1","","","","IGLV1-40","","","",""
"","FOSL1","ANXA8","","","","IGLV3-25","","","",""
"","CD163","CH17-360D5.2","","","","IGLV2-23","","","",""
"","OLR1","CH17-360D5.3","","","","IGLV3-21","","","",""
"","GPR84","KNDC1","","","","IGLV3-19","","","",""
"","RP11-54A9.1","KCNA4","","","","IGLV2-14","","","",""
"","SDS","APLNR","","","","IGLV2-11","","","",""
"","GLT1D1","MYRF","","","","IGLV2-8","","","",""
"","RNASE2","TMEM151A","","","","IGLV3-1","","","",""
"","SERPINA3","CARNS1","","","","IGLC1","","","",""
"","CTD-2033D15.3","NELL2","","","","IGLC2","","","",""
"","MMP25","DNAJC22","","","","IGLC3","","","",""
"","MT2A","KRT7","","","","","","","",""
"","MT1M","KRT8","","","","","","","",""
"","MT1JP","KRT18","","","","","","","",""
"","MT1A","HSD17B6","","","","","","","",""
"","MT1G","BICDL1","","","","","","","",""
"","MT1H","GALNT9","","","","","","","",""
"","MT1X","FGF9","","","","","","","",""
"","RP11-667K14.3","SERTM1","","","","","","","",""
"","ALOX15B","TGM1","","","","","","","",""
"","CCL2","CMA1","","","","","","","",""
"","CSF3","KCNH5","","","","","","","",""
"","RP5-1171I10.5","IGHG4","","","","","","","",""
"","RP1-193H18.3","GREM1","","","","","","","",""
"","CD300E","CHAC1","","","","","","","",""
"","SOCS3","BNC1","","","","","","","",""
"","LIPG","MSLN","","","","","","","",""
"","SERPINB2","CDH3","","","","","","","",""
"","LRG1","HP","","","","","","","",""
"","MCEMP1","ALOX15","","","","","","","",""
"","FCGBP","TBC1D3L","","","","","","","",""
"","CD177","GRB7","","","","","","","",""
"","FOSB","KRT19","","","","","","","",""
"","SIGLEC14","C1QL1","","","","","","","",""
"","SPACA6P-AS","PRR15L","","","","","","","",""
"","HAS1","DSC3","","","","","","","",""
"","FPR1","SYT4","","","","","","","",""
"","FPR2","CTD-3128G10.7","","","","","","","",""
"","FCAR","MUC16","","","","","","","",""
"","MMP9","GDF15","","","","","","","",""
"","LIF","NPHS1","","","","","","","",""
