"","A-1","A-2","B","C","D-1","D-2","E","F","G-1","G-2","H","I","J-1","J-2"
"MTND1P23","ANGPTL7","EDN2","PLA2G2A","CELA3A","CYR61","ITLN1","S100A12","CHIT1","ALKAL2","DLX1","SFTPB","RXFP1","CARTPT","XIST"
"GSTM1","CYP4B1","HIST2H2BF","CHI3L2","SPRR3","IL1RL1","ADAMTS4","FCGR3B","IGKC","HOXD8","SCG2","MYH6","ANKRD1","RPS4Y1",""
"RP4-765C7.2","S100A9","HSPA6","ACKR1","REG1A","IL1B","F5","CXCR2","IGKJ5","FOXD1","ARPP21","MYH7","KRT18","ZFY",""
"RP11-343H5.4","S100A8","RP11-373D23.2","PAPPA2","CPB1","AREG","SELE","CXCR1","IGKJ4","HOXA5","ROBO2","MYH2","ACTC1","PCDH11Y",""
"RP11-755H23.1","IL1R2","ADRA2B","PRG4","ALB","CTD-3247F14.2","RGS16","ADGRG3","IGKJ3","CNTN5","CYTL1","CKM","ACAN","PRKY",""
"LINC01291","MARCO","BHLHE40","CHI3L1","CLPS","FOS","PTGS2","CD177","IGKJ2","HOXC6","MAB21L2","MB","UNC13A","TTTY15",""
"PAX8-AS1","SLC11A1","RP11-274H2.5","G0S2","PGC","RASD1","ATF3","MMP9","IGKJ1","HOXC4","HAPLN1","","","USP9Y",""
"AC068282.3","CCR1","ESM1","GREM2","CPA1","CCL2","NR4A2","","IGKV4-1","TUSC5","MEGF10","","","DDX3Y",""
"OXTR","CCR2","SPINK1","VIT","PRSS1","SOCS3","CXCL8","","IGKV1-5","SLC6A4","POU6F2","","","UTY",""
"CXCL9","IGSF10","SCGB3A2","CIDEC","PRSS2","FOSB","CXCL1","","IGKV3-11","HOXB5","WSCD2","","","TMSB4Y",""
"CXCL10","F13A1","HIST1H2BG","WNT5A","LIPF","HAS1","CXCL2","","IGKV3-15","HOXB7","MAB21L1","","","NLGN4Y",""
"ERAP2","CNR1","HSPA1B","PTX3","PNLIP","","IL6","","IGKV3-20","TBX1","DSC3","","","TTTY14",""
"RPL10P9","LPL","VEGFA","ADIPOQ","KRT6A","","STC1","","IGKV1-39","","","","","TXLNGY",""
"ZFP57","TNC","HILPDA","APOD","KRT4","","NR4A3","","JCHAIN","","","","","RP11-424G14.1",""
"HLA-U","LCN10","CA9","MMRN1","GP2","","RND1","","SPP1","","","","","KDM5D",""
"HLA-DQA2","LCN6","C10orf10","CXCL14","CTRB2","","NR4A1","","ADAMDEC1","","","","","EIF1AY",""
"HLA-DQB2","MRC1","HBB","PI16","CTRB1","","C2CD4B","","OLR1","","","","","",""
"PI15","MMP3","HBD","MLXIPL","KRT13","","CSF3","","LYZ","","","","","",""
"PKHD1L1","CD163","ADM","LEP","","","LIF","","SDS","","","","","",""
"HPSE2","CPM","ADAMTS8","SCARA5","","","","","CTSG","","","","","",""
"BDNF","RNASE2","EGLN3","FABP4","","","","","IGHA2","","","","","",""
"RP11-109L13.1","SERPINA3","HBA2","HAS2","","","","","IGHG4","","","","","",""
"LMO7-AS1","AQP9","HBA1","AQP7","","","","","IGHG2","","","","","",""
"SLITRK1","ALOX15B","RP11-713H12.2","CNTFR","","","","","IGHGP","","","","","",""
"HS6ST3","RP1-193H18.3","RP11-1090M7.1","CCL19","","","","","IGHA1","","","","","",""
"CYP1A1","CD300E","KRT16P6","CCL21","","","","","IGHG1","","","","","",""
"NPIPA5","MCEMP1","SNORD3A","SAA2","","","","","IGHG3","","","","","",""
"RP11-958N24.2","SIGLEC10","NR1D1","SAA1","","","","","IGHD","","","","","",""
"PKD1P5","SIGLEC14","KRT16","CHRDL2","","","","","IGHM","","","","","",""
"CES1P1","FPR2","KRT17","DGAT2","","","","","IGHJ4","","","","","",""
"CLEC18A","ISM1","SOST","GPD1","","","","","IGHV1-2","","","","","",""
"NPIPB15","SMIM25","GDF15","IGF1","","","","","IGHV3-7","","","","","",""
"CCDC144A","TLR8","RP4-530I15.9","TMEM132C","","","","","IGHV3-15","","","","","",""
"USP32P1","ACE2","ALAS2","DIO3","","","","","IGHV1-18","","","","","",""
"RPL13P12","VSIG4","APLN","GREM1","","","","","IGHV3-21","","","","","",""
"USP32P2","AFF2","","CILP","","","","","IGHV3-23","","","","","",""
"CTD-2303H24.2","MT-ND6","","PLIN1","","","","","IGHV3-30","","","","","",""
"CCDC144NL-AS1","","","MT1A","","","","","IGHV3-33","","","","","",""
"TBC1D3L","","","MT1G","","","","","IGHV4-39","","","","","",""
"FAM83D","","","CALB2","","","","","IGHV3-48","","","","","",""
"CBSL","","","HP","","","","","IGHV5-51","","","","","",""
"SIK1","","","LIPG","","","","","IGHV4-59","","","","","",""
"PWP2","","","CFD","","","","","IGHV3-74","","","","","",""
"C21orf33","","","TNFSF14","","","","","HDC","","","","","",""
"AP000350.5","","","C3","","","","","CEMIP","","","","","",""
"SCUBE1","","","CTD-3128G10.7","","","","","TPSB2","","","","","",""
"GPX1P1","","","ANGPTL4","","","","","TPSD1","","","","","",""
"","","","LIPE","","","","","CCL18","","","","","",""
"","","","CPXM1","","","","","CCL4L2","","","","","",""
"","","","LBP","","","","","ADCYAP1","","","","","",""
"","","","PCK1","","","","","ACP5","","","","","",""
"","","","","","","","","APOE","","","","","",""
"","","","","","","","","APOC1","","","","","",""
"","","","","","","","","SIGLEC8","","","","","",""
"","","","","","","","","IGLV1-51","","","","","",""
"","","","","","","","","IGLV1-47","","","","","",""
"","","","","","","","","IGLV1-44","","","","","",""
"","","","","","","","","IGLV1-40","","","","","",""
"","","","","","","","","IGLV2-23","","","","","",""
"","","","","","","","","IGLV3-21","","","","","",""
"","","","","","","","","IGLV3-19","","","","","",""
"","","","","","","","","IGLV2-14","","","","","",""
"","","","","","","","","IGLV2-11","","","","","",""
"","","","","","","","","IGLV2-8","","","","","",""
"","","","","","","","","IGLV3-1","","","","","",""
"","","","","","","","","IGLC1","","","","","",""
"","","","","","","","","IGLC2","","","","","",""
"","","","","","","","","IGLC3","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
