"","A","B-1","B-2","C-1","C-2","D-1","D-2","E-1","E-2","F-1","F-2","G","H-1","H-2"
"ANGPTL7","MTND1P23","PLA2G2A","AK5","CYP4B1","GPR88","DUSP27","XIST","GREM2","CYTL1","FBXO40","GADD45G","CPB1","APOD","ADH4"
"COL11A1","ACTA1","FCN3","SLC6A17","MAP1LC3C","VCAM1","CPAMD8","","CIDEC","PROM1","","ADPRHL1","PGC","HOXA11","MTUS2"
"GSTM1","SFTPB","SPOCD1","ITLN1","GALNT15","FCER1A","RPS4Y1","","ADIPOQ","MAB21L2","","MT1A","CPA1","HOXA13","COCH"
"RP4-765C7.2","XIRP2","DAB1","LGR6","IGSF10","SELE","ZFY","","BMP5","GRIA2","","SLC7A5","PRSS1","TAC1","FAM83D"
"PRG4","MYL1","CHI3L2","MYO3B","CNR1","RGS16","PCDH11Y","","MYRF","TRIM36","","STAC2","PRSS2","FTCD",""
"RP11-343H5.4","RPL10P9","S100A9","GAD1","PDK4","PTGS2","PRKY","","PLIN1","SCGB3A2","","","KRT6A","",""
"KCNK2","MYBPC1","S100A8","GABRA4","LGI3","SCG2","TTTY15","","ZNF536","C5orf46","","","KRT4","",""
"RP11-373D23.2","MYL2","CADM3-AS1","ART3","MMP3","SERPINE2","USP9Y","","WFDC2","MRAP2","","","KRT13","",""
"LINC01291","MYH6","ACKR1","FRMD1","CD163","SEMA5B","DDX3Y","","TNMD","PENK","","","","",""
"PAX8-AS1","MYH7","ADAMTS4","HPSE2","SERPINA3","LRRC15","UTY","","","TNFRSF11B","","","","",""
"SPHKAP","MYH1","FCGR3B","OR51E2","MT1X","CXCL8","TMSB4Y","","","ATRNL1","","","","",""
"CTB-109A12.1","MYH2","PAPPA2","LUZP2","HPR","CXCL1","NLGN4Y","","","CST6","","","","",""
"CTB-47B11.3","CKM","CHI3L1","RERGL","ALOX15B","CXCL3","TTTY14","","","SYT12","","","","",""
"ZFP57","TNNT1","G0S2","VAT1L","RP1-193H18.3","CXCL2","TXLNGY","","","ADAMTS8","","","","",""
"HLA-U","MB","TPO","TUSC5","PRODH","CXCL9","RP11-424G14.1","","","ACAN","","","","",""
"LEP","","IGKC","KRT16P6","AFF2","CXCL10","KDM5D","","","KRT16","","","","",""
"STMN2","","ADRA2B","SOST","","SPP1","EIF1AY","","","KRT17","","","","",""
"ANKRD1","","DUSP2","DLX3","","SFRP2","","","","DSC3","","","","",""
"RP11-109L13.1","","IL1RL1","TBX4","","ESM1","","","","SLC14A1","","","","",""
"CYP1A1","","EN1","PDE4C","","CXCL14","","","","CYP4F11","","","","",""
"RP11-958N24.2","","MARCO","PAK5","","GFRA3","","","","","","","","",""
"PKD1P5","","ECEL1","MYLK2","","KCTD16","","","","","","","","",""
"CES1P1","","MLPH","PCP4","","HLA-DQA2","","","","","","","","",""
"NPIPB15","","DNASE1L3","CAPN6","","HLA-DQB2","","","","","","","","",""
"CCDC144A","","CPA3","","","PI16","","","","","","","","",""
"USP32P1","","TM4SF18","","","COL10A1","","","","","","","","",""
"RPL13P12","","PTX3","","","FNDC1","","","","","","","","",""
"USP32P2","","RARRES1","","","IL6","","","","","","","","",""
"CTD-2303H24.2","","PPP2R2C","","","CTD-3247F14.2","","","","","","","","",""
"SNORD3A","","JCHAIN","","","CTD-3064M3.7","","","","","","","","",""
"GFAP","","AREG","","","FAM180B","","","","","","","","",""
"UNC13A","","MMRN1","","","THY1","","","","","","","","",""
"PCK1","","EMCN","","","OLR1","","","","","","","","",""
"SIK1","","TLL1","","","TSPAN11","","","","","","","","",""
"PWP2","","GPM6A","","","RND1","","","","","","","","",""
"C21orf33","","IL7R","","","TMEM119","","","","","","","","",""
"AP000350.5","","ELOVL7","","","SDS","","","","","","","","",""
"SCUBE1","","LINC01554","","","FOS","","","","","","","","",""
"SHOX","","PCSK1","","","GPR68","","","","","","","","",""
"GPX1P1","","SPINK13","","","C2CD4B","","","","","","","","",""
"","","FLT4","","","CEMIP","","","","","","","","",""
"","","BTNL9","","","TPPP3","","","","","","","","",""
"","","ADGRF5","","","CCL2","","","","","","","","",""
"","","C6orf141","","","CSF3","","","","","","","","",""
"","","SLC16A10","","","SOCS3","","","","","","","","",""
"","","TRIL","","","FOSB","","","","","","","","",""
"","","RAMP3","","","HAS1","","","","","","","","",""
"","","CD36","","","LIF","","","","","","","","",""
"","","SEMA3A","","","MXRA5","","","","","","","","",""
"","","DLX6-AS1","","","APLN","","","","","","","","",""
"","","HILPDA","","","","","","","","","","","",""
"","","KCNH2","","","","","","","","","","","",""
"","","STC1","","","","","","","","","","","",""
"","","PI15","","","","","","","","","","","",""
"","","FABP4","","","","","","","","","","","",""
"","","PKHD1L1","","","","","","","","","","","",""
"","","GPIHBP1","","","","","","","","","","","",""
"","","CCL19","","","","","","","","","","","",""
"","","CCL21","","","","","","","","","","","",""
"","","LHX6","","","","","","","","","","","",""
"","","HMCN2","","","","","","","","","","","",""
"","","FCN1","","","","","","","","","","","",""
"","","LCN10","","","","","","","","","","","",""
"","","LCN6","","","","","","","","","","","",""
"","","ADAMTS14","","","","","","","","","","","",""
"","","HBB","","","","","","","","","","","",""
"","","HBD","","","","","","","","","","","",""
"","","SAA2","","","","","","","","","","","",""
"","","SAA1","","","","","","","","","","","",""
"","","APLNR","","","","","","","","","","","",""
"","","CHRDL2","","","","","","","","","","","",""
"","","GUCY1A2","","","","","","","","","","","",""
"","","SLN","","","","","","","","","","","",""
"","","CPM","","","","","","","","","","","",""
"","","RP11-887P2.5","","","","","","","","","","","",""
"","","IGF1","","","","","","","","","","","",""
"","","CTSG","","","","","","","","","","","",""
"","","C14orf180","","","","","","","","","","","",""
"","","IGHA2","","","","","","","","","","","",""
"","","IGHG2","","","","","","","","","","","",""
"","","IGHA1","","","","","","","","","","","",""
"","","IGHG1","","","","","","","","","","","",""
"","","IGHG3","","","","","","","","","","","",""
"","","IGHM","","","","","","","","","","","",""
"","","GREM1","","","","","","","","","","","",""
"","","HDC","","","","","","","","","","","",""
"","","CYP19A1","","","","","","","","","","","",""
"","","AQP9","","","","","","","","","","","",""
"","","CA12","","","","","","","","","","","",""
"","","ALDH1A3","","","","","","","","","","","",""
"","","HBA2","","","","","","","","","","","",""
"","","HBA1","","","","","","","","","","","",""
"","","TPSB2","","","","","","","","","","","",""
"","","TPSAB1","","","","","","","","","","","",""
"","","TPSD1","","","","","","","","","","","",""
"","","SCNN1B","","","","","","","","","","","",""
"","","HP","","","","","","","","","","","",""
"","","CCL14","","","","","","","","","","","",""
"","","CCL23","","","","","","","","","","","",""
"","","MEOX1","","","","","","","","","","","",""
"","","CD300LG","","","","","","","","","","","",""
"","","SSTR2","","","","","","","","","","","",""
"","","KIF19","","","","","","","","","","","",""
"","","ADCYAP1","","","","","","","","","","","",""
"","","ARHGAP28","","","","","","","","","","","",""
"","","LIPG","","","","","","","","","","","",""
"","","ANGPTL4","","","","","","","","","","","",""
"","","ACP5","","","","","","","","","","","",""
"","","F2RL3","","","","","","","","","","","",""
"","","PLVAP","","","","","","","","","","","",""
"","","APOE","","","","","","","","","","","",""
"","","APOC1","","","","","","","","","","","",""
"","","CPXM1","","","","","","","","","","","",""
"","","LBP","","","","","","","","","","","",""
"","","MMP9","","","","","","","","","","","",""
"","","KCNJ15","","","","","","","","","","","",""
"","","TFF3","","","","","","","","","","","",""
"","","IGLC1","","","","","","","","","","","",""
"","","IGLC2","","","","","","","","","","","",""
"","","KIAA1644","","","","","","","","","","","",""
"","","CXorf36","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
