"","A","B","C","D","E","F"
"RNF223","PLCH2","PLA2G2F","GRHL3","KDF1","SERINC2","LAD1"
"RP11-465B22.8","CAPN8","SDC1","UPK1B","HMGCS2","GOLT1A","GPR87"
"PADI3","TP63","TMEM40","SPINK1","CGN","ITGB6","NIPAL1"
"KLHDC7A","RASSF6","S100P","UPK2","RAB25","UGT1A1","AGR2"
"PLA2G2A","GRHL2","RP11-44F21.5","UPK1A","C1orf106","TMPRSS4","CHP2"
"VWA5B1","ANXA8","TMEM184A","UPK3A","CAPN13","FAM3B","SERPINB5"
"CELA3A","SYT8","GATA3-AS1","","LYPD6B","RNF128","AP1M2"
"SYTL1","CDC42BPG","GATA3","","ARL14","","POF1B"
"GJB5","PLA2G4F","FER1L4","","SPTSSB","",""
"MYCL","DUOXA1","","","SLC44A4","",""
"C1orf210","PRSS22","","","ADGRF1","",""
"TSPAN1","TNS4","","","EVX1","",""
"TACSTD2","RNF43","","","ESRP1","",""
"CYP2J2","CYP4F23P","","","MAL2","",""
"LPAR3","CTD-2626G11.2","","","C10orf99","",""
"CLCA2","","","","MUC15","",""
"CLCA4","","","","FOXA1","",""
"PLPPR4","","","","GPX2","",""
"GSTM1","","","","BICDL2","",""
"PROK1","","","","SMIM22","",""
"VTCN1","","","","ERN2","",""
"RORC","","","","ESRP2","",""
"IVL","","","","CDH1","",""
"SPRR3","","","","CTD-2008P7.9","",""
"FCRL5","","","","HNF1B","",""
"NECTIN4","","","","KRT19","",""
"FCGR3B","","","","EPN3","",""
"FMO9P","","","","TJP3","",""
"RP4-765C7.2","","","","CAMSAP3","",""
"ELF3","","","","CBLC","",""
"RP11-510N19.5","","","","RP4-568C11.4","",""
"CHI3L1","","","","CXADR","",""
"REN","","","","TMPRSS2","",""
"CTSE","","","","","",""
"RP11-343H5.4","","","","","",""
"PIGR","","","","","",""
"C1orf116","","","","","",""
"MIR205HG","","","","","",""
"LAMB3","","","","","",""
"CAPN9","","","","","",""
"ACTN2","","","","","",""
"FAM110C","","","","","",""
"XDH","","","","","",""
"SRD5A2","","","","","",""
"EPCAM","","","","","",""
"GTF2A1L","","","","","",""
"LINC01291","","","","","",""
"REG1A","","","","","",""
"CD8A","","","","","",""
"IGKC","","","","","",""
"IGKJ4","","","","","",""
"IGKJ2","","","","","",""
"IGKJ1","","","","","",""
"IGKV4-1","","","","","",""
"IGKV1-5","","","","","",""
"IGKV3-11","","","","","",""
"IGKV3-15","","","","","",""
"IGKV3-20","","","","","",""
"DUSP2","","","","","",""
"EDAR","","","","","",""
"ACOXL","","","","","",""
"TFCP2L1","","","","","",""
"DAPL1","","","","","",""
"WNT10A","","","","","",""
"AC053503.12","","","","","",""
"SGPP2","","","","","",""
"UGT1A8","","","","","",""
"UGT1A6","","","","","",""
"C2orf54","","","","","",""
"CIDEC","","","","","",""
"WNT5A","","","","","",""
"GPR15","","","","","",""
"ILDR1","","","","","",""
"PLS1","","","","","",""
"LIPH","","","","","",""
"ADIPOQ","","","","","",""
"FGFR3","","","","","",""
"CNGA1","","","","","",""
"CWH43","","","","","",""
"TMPRSS11E","","","","","",""
"JCHAIN","","","","","",""
"SOWAHB","","","","","",""
"BMP3","","","","","",""
"TACR3","","","","","",""
"HHIP","","","","","",""
"SPOCK3","","","","","",""
"ANXA10","","","","","",""
"ASB5","","","","","",""
"BHMT","","","","","",""
"ADGRV1","","","","","",""
"SLC27A6","","","","","",""
"SOWAHA","","","","","",""
"FSTL4","","","","","",""
"FBXL21","","","","","",""
"MZB1","","","","","",""
"HAND1","","","","","",""
"FOXQ1","","","","","",""
"TRIM31","","","","","",""
"HLA-DQA2","","","","","",""
"ADGRF4","","","","","",""
"FAM83B","","","","","",""
"RP3-523K23.2","","","","","",""
"KCCAT333","","","","","",""
"AC017060.1","","","","","",""
"RP1-170O19.17","","","","","",""
"EVX1-AS","","","","","",""
"TBX20","","","","","",""
"POU6F2","","","","","",""
"CLDN4","","","","","",""
"UPK3B","","","","","",""
"DLX6-AS1","","","","","",""
"LEP","","","","","",""
"CPA1","","","","","",""
"PRSS1","","","","","",""
"PRSS2","","","","","",""
"SHH","","","","","",""
"NRG1","","","","","",""
"TRPA1","","","","","",""
"ERICH5","","","","","",""
"SNX31","","","","","",""
"FAM83A","","","","","",""
"COL22A1","","","","","",""
"PSCA","","","","","",""
"LY6D","","","","","",""
"FAM83H","","","","","",""
"FAM83H-AS1","","","","","",""
"AQP3","","","","","",""
"ANKRD18B","","","","","",""
"CCL19","","","","","",""
"CCL21","","","","","",""
"GDA","","","","","",""
"RASEF","","","","","",""
"FBP1","","","","","",""
"SLC46A2","","","","","",""
"TNFSF15","","","","","",""
"LCN2","","","","","",""
"LINC01451","","","","","",""
"TACR2","","","","","",""
"COL17A1","","","","","",""
"PNLIP","","","","","",""
"DMBT1","","","","","",""
"ANO9","","","","","",""
"SAA2","","","","","",""
"SAA1","","","","","",""
"ELF5","","","","","",""
"EHF","","","","","",""
"LARGE2","","","","","",""
"OVOL1","","","","","",""
"ALDH3B2","","","","","",""
"CHRDL2","","","","","",""
"MMP7","","","","","",""
"MMP3","","","","","",""
"MMP12","","","","","",""
"TRIM29","","","","","",""
"TMEM45B","","","","","",""
"RP11-627G23.1","","","","","",""
"SCNN1A","","","","","",""
"NELL2","","","","","",""
"KRT80","","","","","",""
"KRT7","","","","","",""
"KRT5","","","","","",""
"KRT4","","","","","",""
"WIF1","","","","","",""
"GJB6","","","","","",""
"OLFM4","","","","","",""
"DHRS2","","","","","",""
"PLEK2","","","","","",""
"DEGS2","","","","","",""
"IGHA2","","","","","",""
"IGHG4","","","","","",""
"IGHG2","","","","","",""
"IGHGP","","","","","",""
"IGHA1","","","","","",""
"IGHG1","","","","","",""
"IGHG3","","","","","",""
"IGHD","","","","","",""
"IGHM","","","","","",""
"IGHV3-7","","","","","",""
"IGHV3-23","","","","","",""
"IGHV3-30","","","","","",""
"IGHV4-39","","","","","",""
"IGHV5-51","","","","","",""
"PWRN1","","","","","",""
"ACTC1","","","","","",""
"PAK6","","","","","",""
"RHOV","","","","","",""
"CYP1A1","","","","","",""
"HS3ST6","","","","","",""
"RP11-473M20.5","","","","","",""
"GP2","","","","","",""
"SCNN1G","","","","","",""
"PRSS8","","","","","",""
"SALL1","","","","","",""
"TOX3","","","","","",""
"CAPNS2","","","","","",""
"HSD11B2","","","","","",""
"CDH3","","","","","",""
"NPIPB15","","","","","",""
"HSD17B2","","","","","",""
"TUSC5","","","","","",""
"GGT6","","","","","",""
"ALOX15B","","","","","",""
"LINC00675","","","","","",""
"USP32P1","","","","","",""
"FOXN1","","","","","",""
"CCL2","","","","","",""
"CCL15","","","","","",""
"GRB7","","","","","",""
"CSF3","","","","","",""
"KRT20","","","","","",""
"KRT23","","","","","",""
"KRT13","","","","","",""
"KRT15","","","","","",""
"KRT17","","","","","",""
"PRAC1","","","","","",""
"FADS6","","","","","",""
"FOXJ1","","","","","",""
"NOTUM","","","","","",""
"ZNF750","","","","","",""
"DSC3","","","","","",""
"DSG2","","","","","",""
"SLC14A1","","","","","",""
"LIPG","","","","","",""
"SERPINB11","","","","","",""
"CYP4F22","","","","","",""
"CYP4F8","","","","","",""
"UCA1","","","","","",""
"CYP4F11","","","","","",""
"B3GNT3","","","","","",""
"GDF15","","","","","",""
"FXYD3","","","","","",""
"CXCL17","","","","","",""
"LYPD3","","","","","",""
"SULT2A1","","","","","",""
"NTF4","","","","","",""
"HAS1","","","","","",""
"NLRP2","","","","","",""
"OVOL2","","","","","",""
"ARHGAP40","","","","","",""
"CYP24A1","","","","","",""
"RBBP8NL","","","","","",""
"PCP4","","","","","",""
"C21orf33","","","","","",""
"IGLV1-51","","","","","",""
"IGLV1-47","","","","","",""
"IGLV1-40","","","","","",""
"IGLV2-23","","","","","",""
"IGLV3-21","","","","","",""
"IGLV2-14","","","","","",""
"IGLV2-11","","","","","",""
"IGLV2-8","","","","","",""
"IGLV3-1","","","","","",""
"IGLC1","","","","","",""
"IGLC2","","","","","",""
"IGLC3","","","","","",""
"WNT7B","","","","","",""
"GPX1P1","","","","","",""
"XIST","","","","","",""
"RHOXF1-AS1","","","","","",""
"VGLL1","","","","","",""
"RPS4Y1","","","","","",""
"ZFY","","","","","",""
"PRKY","","","","","",""
"TTTY15","","","","","",""
"USP9Y","","","","","",""
"DDX3Y","","","","","",""
"UTY","","","","","",""
"TMSB4Y","","","","","",""
"NLGN4Y","","","","","",""
"TTTY14","","","","","",""
"TXLNGY","","","","","",""
"RP11-424G14.1","","","","","",""
"KDM5D","","","","","",""
"EIF1AY","","","","","",""
