"","A","B","C","D","E","F","G","H","I","J","K","L-1","L-2"
"SLC1A7","MTND1P23","FHAD1","C1QA","SFN","RP11-286B14.1","SLC30A3","EGR4","DRD5","RP1-111D6.3","FSHB","KRT2","XIST","RPS4Y1"
"LPAR3","MTND2P28","VWA5B1","C1QC","GBP2","CPNE4","CYP26B1","NR4A2","RXFP1","AQP1","RP11-469N6.1","KRT1","","ZFY"
"COL24A1","MTCO1P12","FAM183A","C1QB","CHI3L2","TMEM108-AS1","LINC01821","EGR1","CTXN3","TNC","TMEM233","MYL2","","PCDH11Y"
"GSTM1","MTATP8P1","C1orf87","ADORA3","S100A9","SST","PART1","EGR2","AC009014.3","APLNR","P2RX2","MYH6","","PRKY"
"IGFN1","MTCO3P12","TCTEX1D1","FCGR1CP","S100A12","NWD2","LINC01007","NPAS4","FIBCD1","IRX3","TRAC","KRT14","","TTTY15"
"RP11-343H5.4","MTND4P12","WDR63","FCGR1A","S100A8","TMEM155","CHRNA2","NR4A1","TESPA1","PIRT","CRLF1","CKM","","USP9Y"
"SIX3","MT-TM","SPAG17","FCER1G","HSPA6","CNR1","DCSTAMP","FOSB","HS3ST4","","","","","DDX3Y"
"SFTPB","MT-TY","LRRC71","FCGR2A","HSPA7","MAS1","HPSE2","","KRT17","","","","","UTY"
"IGKC","MT-TL2","CFAP45","FCGR3A","FCGR3B","NEUROD6","PVALB","","","","","","","TMSB4Y"
"PAX8-AS1","MT-TE","LGR6","RGS1","SELE","DLX6-AS1","","","","","","","","NLGN4Y"
"LTF","MT-TP","VWA3B","IL1B","CHI3L1","TAC1","","","","","","","","TTTY14"
"CPB1","","MAP3K19","SLC11A1","ATF3","PENK","","","","","","","","TXLNGY"
"UTS2B","","CFAP65","CX3CR1","IL1RL1","CRH","","","","","","","","RP11-424G14.1"
"MEPE","","DAW1","CCR1","IL18R1","CALB1","","","","","","","","KDM5D"
"NPY2R","","IL5RA","CD86","ADAMTS9","FAM163B","","","","","","","","EIF1AY"
"RP11-597D13.7","","DLEC1","P2RY12","PLA1A","C1QL3","","","","","","","",""
"SMN2","","DNAH12","TLR2","CP","GAD2","","","","","","","",""
"CTB-1I21.1","","CFAP100","CD14","TM4SF1","SYT1","","","","","","","",""
"RPL10P9","","ZBBX","CSF1R","CXCL8","SVOP","","","","","","","",""
"PGC","","DTHD1","AIF1","CXCL1","NPTX1","","","","","","","",""
"TRGC2","","IGFBP7-AS1","HLA-DRA","CXCL2","RP11-805F19.3","","","","","","","",""
"CPA1","","TTC29","HLA-DRB5","CXCL10","PDYN","","","","","","","",""
"RP5-912I13.1","","ROPN1L","HLA-DRB6","CXCL11","SLC32A1","","","","","","","",""
"CCL19","","CAPSL","HLA-DQA1","EDN1","CBLN4","","","","","","","",""
"BX255923.3","","FAM81B","HLA-DQB1","HSPA1A","","","","","","","","",""
"RGR","","SLC27A6","HLA-DQA2","HSPA1B","","","","","","","","",""
"ATE1-AS1","","CD24","HLA-DOA","CDKN1A","","","","","","","","",""
"HBB","","CCDC170","TREM2","IL6","","","","","","","","",""
"HBD","","C6orf118","SCIN","SERPINE1","","","","","","","","",""
"KRT6A","","DNAH11","CLEC5A","ANGPT2","","","","","","","","",""
"KRT4","","C7orf57","MSR1","TNFRSF10D","","","","","","","","",""
"WIF1","","CD36","ADAM28","STC1","","","","","","","","",""
"RP11-298I3.6","","EFCAB1","VENTX","CTD-3064M3.7","","","","","","","","",""
"RN7SL2","","MAPK15","MS4A6A","ANXA1","","","","","","","","",""
"DLK1","","FAM166B","MS4A7","C10orf10","","","","","","","","",""
"IGHA1","","WDR38","C3AR1","CH25H","","","","","","","","",""
"IGHG1","","CFAP157","OLR1","PDLIM1","","","","","","","","",""
"HERC2P3","","SPAG6","ALOX5AP","BAG3","","","","","","","","",""
"TRPM1","","ARMC3","GPR183","ADM","","","","","","","","",""
"HBA2","","DYDC2","RNASE2","CD44","","","","","","","","",""
"NPIPB2","","AGBL2","SERPINA1","FOSL1","","","","","","","","",""
"RP11-958N24.2","","FOLR1","C3","CLCF1","","","","","","","","",""
"MT1H","","C11orf70","IFI30","SERPINH1","","","","","","","","",""
"NPIPB15","","C11orf88","HAMP","MPZL2","","","","","","","","",""
"ADAMTS18","","RASSF9","FCGBP","TEAD4","","","","","","","","",""
"RPL13P12","","NTS","NAPSB","CD163","","","","","","","","",""
"USP32P2","","CFAP73","SIGLEC9","CLEC4E","","","","","","","","",""
"CCL4","","FAM216B","SIGLEC10","APOLD1","","","","","","","","",""
"CCL4L2","","RP11-356K23.1","SIGLEC8","GPRC5A","","","","","","","","",""
"TBC1D3L","","CCDC33","FPR1","EMP1","","","","","","","","",""
"KRT13","","VWA3A","LAIR1","FOS","","","","","","","","",""
"MAPK8IP1P2","","MYLK3","LILRB4","SERPINA5","","","","","","","","",""
"KIF19","","RP11-467J12.4","CYBB","SERPINA3","","","","","","","","",""
"SLC14A1","","DRC7","GPR34","THBS1","","","","","","","","",""
"CYP4F24P","","DNAAF1","VSIG4","C2CD4B","","","","","","","","",""
"RPSAP58","","TEKT1","","BCL2A1","","","","","","","","",""
"PCK1","","CFAP52","","TNFRSF12A","","","","","","","","",""
"CH507-9B2.1","","SLC47A2","","IL4R","","","","","","","","",""
"CBSL","","LRRC46","","CCL2","","","","","","","","",""
"CH507-513H4.5","","DNAI2","","CSF3","","","","","","","","",""
"CH507-513H4.3","","FOXJ1","","SOCS3","","","","","","","","",""
"CYP4F29P","","TTR","","SECTM1","","","","","","","","",""
"SIK1","","CCDC114","","GADD45B","","","","","","","","",""
"PWP2","","CLIC6","","ANGPTL4","","","","","","","","",""
"C21orf33","","CFAP47","","ICAM1","","","","","","","","",""
"ICOSLG","","","","DNAJB1","","","","","","","","",""
"AP000350.5","","","","ZFP36","","","","","","","","",""
"GPX1P1","","","","GPR4","","","","","","","","",""
"ALAS2","","","","C5AR1","","","","","","","","",""
"","","","","SLC52A3","","","","","","","","",""
"","","","","CD93","","","","","","","","",""
"","","","","TGM2","","","","","","","","",""
"","","","","SLCO4A1","","","","","","","","",""
"","","","","TNFRSF6B","","","","","","","","",""
"","","","","CH507-42P11.8","","","","","","","","",""
"","","","","LIF","","","","","","","","",""
"","","","","APOL4","","","","","","","","",""
"","","","","MAFF","","","","","","","","",""
"","","","","TYMP","","","","","","","","",""
"","","","","ODF3B","","","","","","","","",""
