"","A-1","A-2","B","C","D-1","D-2","E","F","G","H-1","H-2"
"SLC1A7","MTND1P23","RAB3B","TMEM88B","HES5","C1QA","DLX6-AS1","HSPA6","DES","CPB1","XIST","RPS4Y1"
"IFI44L","MTND2P28","COL24A1","SLC45A3","IGFN1","C1QC","RELN","HSPA7","KRT2","CLPS","","ZFY"
"GSTM1","MTCO1P12","OLFM3","PAIP2B","RP11-275H4.1","C1QB","CRH","ATF3","KRT1","PGC","","PCDH11Y"
"SELE","MTCO2P12","SYT2","ERMN","C6orf223","SFN","","HSPA1A","MYL2","CPA1","","PRKY"
"RP11-343H5.4","MTATP8P1","KCNH1","LRP2","HPSE2","GBP2","","HSPA1B","MYH6","PRSS1","","GYG2P1"
"RP11-561I11.3","MTCO3P12","OR2L13","HAGLR","SLC22A6","CHI3L2","","HSPB1","MYH1","PRSS2","","TTTY15"
"BCYRN1","LPAR3","AC068490.1","MOBP","GLI1","FCGR1A","","SERPINH1","KRT14","KRT6A","","USP9Y"
"ACTG2","F3","NXPH2","TF","WIF1","S100A9","","FOS","CKM","KRT4","","DDX3Y"
"SFTPB","EFEMP1","SST","CLDN11","","S100A12","","RRAD","","KRT13","","UTY"
"PAX8-AS1","CTD-2353F22.2","NWD2","RP11-597D13.7","","S100A8","","DNAJB1","","","","TMSB4Y"
"TFCP2L1","PRSS35","CSN1S1","SH3TC2","","ADAMTS4","","","","","","NLGN4Y"
"MUC20P1","GJA1","SOWAHB","MOG","","FCER1G","","","","","","TTTY14"
"RP11-10L7.1","SLC39A12","MEPE","ZFP57","","FCGR2A","","","","","","TXLNGY"
"SMN2","C10orf105","FREM3","IP6K3","","FCGR3A","","","","","","RP11-424G14.1"
"ERAP2","RGR","RXFP1","ANLN","","FCGR3B","","","","","","KDM5D"
"EGR1","SLC1A2","PART1","RP5-912I13.1","","RGS1","","","","","","EIF1AY"
"RPL10P9","GJB6","SV2C","ST18","","CHI3L1","","","","","",""
"RP11-1026M7.2","CA12","CRHBP","LPAR1","","IL1R1","","","","","",""
"RP11-632C17__A.1","WFIKKN2","PCSK1","MIR219A2","","IL1RL1","","","","","",""
"RP1-111D6.3","ITGB4","AC009014.3","CERCAM","","IL18R1","","","","","",""
"TNC","FOXJ1","PCDHAC2","RP11-809C18.3","","IL1B","","","","","",""
"EGR2","SLC14A1","PCDHGC5","CTNNA3","","SLC11A1","","","","","",""
"HBB","SDC4","GABRG2","OPALIN","","KCNE4","","","","","",""
"HBD","TMPRSS3","KCNQ5","NKX6-2","","CX3CR1","","","","","",""
"NPAS4","MT-TY","MCHR2","FOLH1","","ADAMTS9","","","","","",""
"ACY3","MT-TS1","ROS1","CARNS1","","PLA1A","","","","","",""
"NR4A1","MT-TL2","THEMIS","SLCO1A2","","CP","","","","","",""
"P2RX2","MT-ND6","MAS1","SLC5A11","","TM4SF1","","","","","",""
"RP11-298I3.6","MT-TE","SOSTDC1","RP11-298D21.1","","CXCL8","","","","","",""
"RN7SL2","MT-TP","TAC1","EVI2A","","CXCL1","","","","","",""
"IGHA1","","LINC01007","TMEM235","","CXCL2","","","","","",""
"IGHG1","","NEFM","PIEZO2","","SPP1","","","","","",""
"HERC2P3","","PENK","MBP","","TLR2","","","","","",""
"C2CD4B","","CALB1","S1PR5","","OSMR","","","","","",""
"HBA2","","RSPO2","MAG","","CD14","","","","","",""
"NPIPB2","","C1QL3","CD22","","C4A","","","","","",""
"NPIPA5","","GAD2","GIPR","","C4B","","","","","",""
"RP11-958N24.2","","FRMPD2B","KLK6","","HLA-DRA","","","","","",""
"PKD1P5","","C11orf87","TP53INP2","","HLA-DRB5","","","","","",""
"MT1H","","STYK1","BCAS1","","HLA-DRB6","","","","","",""
"HPR","","TESPA1","GJB1","","HLA-DQA1","","","","","",""
"NPIPB15","","SYT1","PLP1","","FKBP5","","","","","",""
"ADAMTS18","","CUX2","","","CDKN1A","","","","","",""
"RPL13P12","","LINC00507","","","TREM2","","","","","",""
"USP32P2","","SERTM1","","","SCIN","","","","","",""
"CTD-2303H24.2","","PCDH8","","","IL6","","","","","",""
"MTRNR2L1","","SV2B","","","AQP1","","","","","",""
"CCL4","","CNGB1","","","SERPINE1","","","","","",""
"TBC1D3L","","GLP2R","","","HILPDA","","","","","",""
"MAPK8IP1P2","","KRT17","","","CLEC5A","","","","","",""
"RP11-178F10.3","","NPTX1","","","ANGPT2","","","","","",""
"TTR","","SYT4","","","MSR1","","","","","",""
"CYP4F24P","","HAPLN4","","","TNFRSF10D","","","","","",""
"RPSAP58","","CHGB","","","STC1","","","","","",""
"FOSB","","SLC32A1","","","CEBPD","","","","","",""
"NLRP2","","CBLN4","","","FCN1","","","","","",""
"SIRPB1","","AJ006998.2","","","C10orf10","","","","","",""
"PCK1","","NEFH","","","BAG3","","","","","",""
"CBSL","","PVALB","","","IFITM2","","","","","",""
"CH507-513H4.5","","","","","ADM","","","","","",""
"CH507-513H4.3","","","","","CD44","","","","","",""
"CBS","","","","","APLNR","","","","","",""
"SIK1","","","","","MS4A6A","","","","","",""
"PWP2","","","","","FOSL1","","","","","",""
"C21orf33","","","","","MPZL2","","","","","",""
"ICOSLG","","","","","CD163","","","","","",""
"AP000350.5","","","","","C3AR1","","","","","",""
"GPX1P1","","","","","CLEC4E","","","","","",""
"ALAS2","","","","","OLR1","","","","","",""
"","","","","","YBX3","","","","","",""
"","","","","","APOLD1","","","","","",""
"","","","","","GPRC5A","","","","","",""
"","","","","","EMP1","","","","","",""
"","","","","","ALOX5AP","","","","","",""
"","","","","","GPR183","","","","","",""
"","","","","","SERPINA1","","","","","",""
"","","","","","SERPINA3","","","","","",""
"","","","","","BCL2A1","","","","","",""
"","","","","","TNFRSF12A","","","","","",""
"","","","","","IL4R","","","","","",""
"","","","","","MT1X","","","","","",""
"","","","","","PIRT","","","","","",""
"","","","","","CCL2","","","","","",""
"","","","","","CSF3","","","","","",""
"","","","","","NGFR","","","","","",""
"","","","","","KIF19","","","","","",""
"","","","","","SOCS3","","","","","",""
"","","","","","SECTM1","","","","","",""
"","","","","","GADD45B","","","","","",""
"","","","","","C3","","","","","",""
"","","","","","ANGPTL4","","","","","",""
"","","","","","ICAM1","","","","","",""
"","","","","","IFI30","","","","","",""
"","","","","","HAMP","","","","","",""
"","","","","","ZFP36","","","","","",""
"","","","","","FCGBP","","","","","",""
"","","","","","APOC2","","","","","",""
"","","","","","GPR4","","","","","",""
"","","","","","NAPSB","","","","","",""
"","","","","","SIGLEC9","","","","","",""
"","","","","","SIGLEC8","","","","","",""
"","","","","","FPR1","","","","","",""
"","","","","","LILRB3","","","","","",""
"","","","","","LAIR1","","","","","",""
"","","","","","SLC52A3","","","","","",""
"","","","","","CD93","","","","","",""
"","","","","","TGM2","","","","","",""
"","","","","","SLCO4A1","","","","","",""
"","","","","","CH507-42P11.8","","","","","",""
"","","","","","ADAMTS1","","","","","",""
"","","","","","LIF","","","","","",""
"","","","","","HMOX1","","","","","",""
"","","","","","APOL4","","","","","",""
"","","","","","MAFF","","","","","",""
"","","","","","TYMP","","","","","",""
"","","","","","GPR34","","","","","",""
"","","","","","VSIG4","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
