"","A-1","A-2","B","C","D","E-1","E-2"
"GSTM1","MTND1P23","HTR6","NPPA","C1orf158","C1QC","XIST","RPS4Y1"
"IGFN1","MTCO1P12","GPR88","KRT2","FHAD1","C1QB","","ZFY"
"RP11-343H5.4","MTCO2P12","OLFM3","KRT1","VWA5B1","CHI3L2","","PCDH11Y"
"LINC01291","MTATP8P1","PCP4L1","MYL2","LDLRAD2","FCGR1A","","RP11-115H13.1"
"SFTPB","MTCO3P12","GPR52","MYH6","FAM183A","S100A9","","PRKY"
"IGKC","SLC1A7","SYT2","MYH1","CCDC17","S100A12","","GYG2P1"
"PAX8-AS1","NEUROG2","EGR4","MYH2","C1orf87","S100A8","","TTTY15"
"OXTR","HERC2P3","SLC5A7","CKM","TCTEX1D1","HSPA6","","USP9Y"
"LTF","PCK1","SLC4A10","","LPAR3","FCGR3A","","DDX3Y"
"CPB1","MT-TL1","RESP18","","WDR63","HSPA7","","UTY"
"RP11-451G4.2","MT-TI","SCG2","","SPAG17","FCGR3B","","TMSB4Y"
"MUC20P1","MT-TY","DCLK3","","LRRC71","SELE","","NLGN4Y"
"SMN2","MT-TL2","ENTPD3","","CFAP45","MYBPH","","TTTY14"
"RPL10P9","MT-TE","ZBED2","","RGS1","CHI3L1","","TXLNGY"
"HLA-DRB5","MT-TT","DRD3","","LGR6","IL1RL1","","RP11-424G14.1"
"PGC","MT-TP","MINDY4B","","DRC1","IL18R1","","KDM5D"
"CPA1","","GPR149","","VWA3B","IL1B","","EIF1AY"
"RP5-912I13.1","","AMBN","","MAP3K19","SLC11A1","",""
"TG","","RP11-766F14.2","","KIAA2012","PLA1A","",""
"CCL19","","RXFP1","","CATIP","CP","",""
"HBB","","ENC1","","CFAP65","CXCL8","",""
"HBD","","SV2C","","TUBA4B","CXCL1","",""
"KRT6A","","ANKRD34B","","CROCC2","CXCL10","",""
"GLI1","","PCSK1","","IL5RA","CXCL11","",""
"IGHG1","","HTR4","","DLEC1","HSPA1A","",""
"HBA2","","GABRG2","","CDHR4","HSPA1B","",""
"HBA1","","GLP1R","","DNAH12","HLA-DRB6","",""
"NPIPB2","","KCNQ5","","COL8A1","CDKN1A","",""
"RP11-958N24.2","","CNR1","","CFAP100","IL6","",""
"PKD1P5","","GPR6","","ZBBX","IGFBP3","",""
"SLC5A11","","SLC35D3","","DTHD1","SERPINE1","",""
"MT1H","","PDE10A","","SPATA18","STC1","",""
"NPIPB15","","DGKB","","IGFBP7-AS1","C10orf10","",""
"ADAD2","","TAC1","","LINC01088","CH25H","",""
"RPL13P12","","VGF","","MMRN1","FOSL1","",""
"USP32P2","","HTR5A-AS1","","TTC29","SERPINH1","",""
"CTD-2303H24.2","","NEFL","","SFRP2","CD163","",""
"SNORD3A","","PENK","","PLEKHG4B","SERPINA1","",""
"CCL4","","RP11-17A4.2","","ROPN1L","SERPINA3","",""
"CCL4L2","","CALB1","","DNAH5","BCL2A1","",""
"TBC1D3L","","GDA","","CAPSL","IL4R","",""
"KRT13","","CHAT","","FAM81B","CCL2","",""
"MAPK8IP1P2","","EGR2","","SLC27A6","CSF3","",""
"TTR","","TH","","MAK","SOCS3","",""
"CCBE1","","ANO3","","DCDC2","TNFSF14","",""
"CYP4F24P","","CHRM4","","HLA-DQA1","ANGPTL4","",""
"RPSAP58","","NPAS4","","HLA-DQB1","HAMP","",""
"SLC17A7","","C11orf87","","CD24","ZFP36","",""
"NAPSB","","SCN4B","","CCDC162P","FCGBP","",""
"SIRPB1","","STYK1","","RSPH4A","FPR1","",""
"CBSL","","WNT1","","ADGB","SLC52A3","",""
"CH507-513H4.5","","TESPA1","","RP1-111D6.3","CD93","",""
"CH507-513H4.3","","SYT1","","CCDC170","SLCO4A1","",""
"CYP4F29P","","SERTM1","","FNDC1","CH507-42P11.8","",""
"SIK1","","PCDH8","","C6orf118","LIF","",""
"PWP2","","RP11-829H16.3","","DNAH11","APOL4","",""
"C21orf33","","ANKRD63","","C7orf57","MAFF","",""
"ICOSLG","","AGBL1","","CD36","VSIG4","",""
"AP000350.5","","LINC02137","","CLEC5A","","",""
"GPX1P1","","VAT1L","","EFCAB1","","",""
"ALAS2","","RP11-416I2.1","","C8orf34","","",""
"","","NPTX1","","TNFRSF11B","","",""
"","","SYT4","","COL22A1","","",""
"","","NLRP2","","MAPK15","","",""
"","","PDYN","","EPPK1","","",""
"","","NNAT","","FAM166B","","",""
"","","SLC32A1","","SPAG8","","",""
"","","CBLN4","","C9orf135","","",""
"","","SYTL5","","ANXA1","","",""
"","","HTR2C","","NR4A3","","",""
"","","PNMA5","","PTPN3","","",""
"","","","","TNC","","",""
"","","","","WDR38","","",""
"","","","","CFAP157","","",""
"","","","","CFAP77","","",""
"","","","","SPAG6","","",""
"","","","","ARMC3","","",""
"","","","","ARMC4","","",""
"","","","","C10orf105","","",""
"","","","","DYDC2","","",""
"","","","","CFAP43","","",""
"","","","","DCDC1","","",""
"","","","","CD44","","",""
"","","","","AGBL2","","",""
"","","","","APLNR","","",""
"","","","","FOLR1","","",""
"","","","","CCDC81","","",""
"","","","","C11orf70","","",""
"","","","","C11orf88","","",""
"","","","","BARX2","","",""
"","","","","PZP","","",""
"","","","","CD69","","",""
"","","","","NR4A1","","",""
"","","","","RASSF9","","",""
"","","","","NTS","","",""
"","","","","CFAP54","","",""
"","","","","CFAP73","","",""
"","","","","DNAH10","","",""
"","","","","STOML3","","",""
"","","","","FAM216B","","",""
"","","","","NEK5","","",""
"","","","","GPR183","","",""
"","","","","RP11-569D9.5","","",""
"","","","","LRRC9","","",""
