"","A","B","C","D-1","D-2","E","F","G","H-1","H-2","I-1","I-2"
"TNFRSF18","MTND1P23","C1orf127","CELA3B","C1QA","NPC1L1","CYR61","VCAM1","FLG2","CCDC144A","KRT17P2","LINC01597","XIST"
"CLCNKA","MTND2P28","SMPDL3B","CELA3A","C1QC","","HSPA6","CFH","TNNT2","USP32P1","USP32P2","RPS4Y1",""
"RP5-1092A3.4","MTCO1P12","RGS8","CRNN","C1QB","","ATF3","FMOD","ACTG2","","CTD-2303H24.2","RP11-414C23.1",""
"CCDC163","MTCO3P12","ITPR1","SPRR3","F3","","EGR4","LTBP1","DES","","CCDC144B","ZFY",""
"SLC1A7","MTND4P12","KIT","REG1B","S100A9","","EGR1","CYP1B1","TNNT3","","","PRKY",""
"GSTM1","MTCO1P40","SV2C","REG1A","S100A8","","HIST1H2BG","MARCO","KRT2","","","TTTY15",""
"TSPAN2","MT-CO1","PPP1R17","IGKC","ADAMTS4","","HSPA1A","COL3A1","KRT1","","","USP9Y",""
"RP4-765C7.2","MT-TS1","CA8","CPB1","FCGR3A","","HSPA1B","IGFBP2","MYL2","","","DDX3Y",""
"RGS1","","CALB1","ALB","HSPA7","","HSPB1","COL6A3","MYH6","","","UTY",""
"RP11-343H5.4","","SLC6A5","FGA","FCGR3B","","VGF","SLC6A20","MYH7","","","TMSB4Y",""
"HSD11B1","","GNG13","CLPS","PTGS2","","EGR3","C7","MYH1","","","NLGN4Y",""
"GCSAML","","CACNA1G","PGC","CHI3L1","","NR4A3","TGFBI","MYH2","","","TTTY14",""
"OR2L13","","PRKCG","CPA2","IL1RL1","","KLF4","DSP","KRT14","","","TXLNGY",""
"POMC","","SLC32A1","CPA1","IL18R1","","EGR2","TBX18","CKM","","","RP11-424G14.1",""
"BCYRN1","","NRK","PRSS1","IL1B","","NPAS4","PLN","MB","","","KDM5D",""
"LINC01291","","","PRSS2","TFCP2L1","","SERPINH1","CTGF","","","","EIF1AY",""
"SFTPB","","","CYP11B1","SLC11A1","","NR4A1","AEBP1","","","","",""
"ESPNL","","","ORM1","KCNE4","","RP11-1100L3.8","SLC13A4","","","","",""
"RP11-384L8.1","","","LIPF","SLC6A11","","HSPH1","COL14A1","","","","",""
"MOBP","","","PNLIP","ADAMTS9","","FOS","OGN","","","","",""
"SERBP1P3","","","SAA1","PLA1A","","C2CD4B","VIM","","","","",""
"COL6A4P2","","","KRT6A","CP","","RRAD","ACTA2","","","","",""
"MUC20P1","","","KRT5","TM4SF1","","JUNB","IGF2","","","","",""
"AC141928.1","","","KRT4","CXCL8","","DNAJB1","SLC22A6","","","","",""
"MUC7","","","PLA2G1B","CXCL1","","FOSB","MGP","","","","",""
"ART3","","","IGHA1","CXCL2","","PPP1R15A","MEDAG","","","","",""
"SFRP2","","","IGHG1","OSMR","","","FBLN5","","","","",""
"HAND2","","","PRM2","IER3","","","THBS1","","","","",""
"HAND2-AS1","","","GP2","FKBP5","","","ISLR","","","","",""
"CTD-2353F22.2","","","HP","CDKN1A","","","MYH11","","","","",""
"SMN2","","","CTRB2","IL6","","","MYOCD","","","","",""
"GTF2H2","","","CTRB1","AQP1","","","COL1A1","","","","",""
"RP11-195E2.1","","","KRT13","CCDC129","","","CNN1","","","","",""
"PCSK1","","","","IGFBP3","","","CPAMD8","","","","",""
"RPL10P9","","","","PDK4","","","CPXM1","","","","",""
"PRL","","","","AZGP1","","","MYL9","","","","",""
"HCP5B","","","","SERPINE1","","","PTGIS","","","","",""
"MICB","","","","HILPDA","","","","","","","",""
"HLA-DRB5","","","","ANGPT2","","","","","","","",""
"C6orf141","","","","TNFRSF10D","","","","","","","",""
"COL21A1","","","","STC1","","","","","","","",""
"RP11-632C17__A.1","","","","CEBPD","","","","","","","",""
"RP1-111D6.3","","","","GEM","","","","","","","",""
"RP3-470B24.5","","","","SLC39A12","","","","","","","",""
"KIF25-AS1","","","","CH25H","","","","","","","",""
"KIF25","","","","PDLIM1","","","","","","","",""
"NEUROD6","","","","HPSE2","","","","","","","",""
"TRBC2","","","","PRLHR","","","","","","","",""
"PRSS55","","","","IFITM2","","","","","","","",""
"OPRK1","","","","IFITM3","","","","","","","",""
"PENK","","","","ADM","","","","","","","",""
"TG","","","","CD44","","","","","","","",""
"RP11-438B23.2","","","","C11orf96","","","","","","","",""
"LINGO2","","","","APLNR","","","","","","","",""
"FAM95C","","","","FOSL1","","","","","","","",""
"RP11-262H14.3","","","","LRRC32","","","","","","","",""
"ADGRF5P1","","","","ZBTB16","","","","","","","",""
"ANKRD20A4","","","","MPZL2","","","","","","","",""
"KIF12","","","","CD163","","","","","","","",""
"AGAP7P","","","","YBX3","","","","","","","",""
"AGAP14","","","","APOLD1","","","","","","","",""
"AGAP12P","","","","GPRC5A","","","","","","","",""
"SFTPA1","","","","EMP1","","","","","","","",""
"OPALIN","","","","GJB2","","","","","","","",""
"PLPP4","","","","GJB6","","","","","","","",""
"LINC01561","","","","SLC24A4","","","","","","","",""
"RP11-323P17.2","","","","SERPINA1","","","","","","","",""
"HBB","","","","SERPINA3","","","","","","","",""
"HBD","","","","RASL12","","","","","","","",""
"GPR83","","","","VASN","","","","","","","",""
"RP11-469N6.1","","","","MT2A","","","","","","","",""
"RP11-22B23.1","","","","MT1M","","","","","","","",""
"AC091814.2","","","","MT1A","","","","","","","",""
"OLR1","","","","MT1G","","","","","","","",""
"TAS2R64P","","","","CRISPLD2","","","","","","","",""
"DDX11","","","","CCL2","","","","","","","",""
"WIF1","","","","PNMT","","","","","","","",""
"LYZ","","","","CSF3","","","","","","","",""
"SLITRK6","","","","GFAP","","","","","","","",""
"RP11-298I3.6","","","","ITGB4","","","","","","","",""
"BDKRB2","","","","SOCS3","","","","","","","",""
"DLK1","","","","LAMA1","","","","","","","",""
"HERC2P3","","","","AQP4","","","","","","","",""
"RP11-23P13.6","","","","SLC14A1","","","","","","","",""
"LMAN1L","","","","GADD45B","","","","","","","",""
"CPLX3","","","","ANGPTL4","","","","","","","",""
"RPL9P9","","","","ICAM1","","","","","","","",""
"WASIR2","","","","ZFP36","","","","","","","",""
"HBA2","","","","GPR4","","","","","","","",""
"HBA1","","","","HIF3A","","","","","","","",""
"RP11-20I23.13","","","","FPR1","","","","","","","",""
"ZG16B","","","","CD93","","","","","","","",""
"NPIPA5","","","","TGM2","","","","","","","",""
"AC138969.4","","","","SDC4","","","","","","","",""
"RP11-958N24.2","","","","CH507-42P11.8","","","","","","","",""
"PKD1P5","","","","ADAMTS1","","","","","","","",""
"HERC2P4","","","","LIF","","","","","","","",""
"HPR","","","","APOL4","","","","","","","",""
"NPIPB15","","","","MAFF","","","","","","","",""
"WFDC1","","","","","","","","","","","",""
"FAM92B","","","","","","","","","","","",""
"FAM157C","","","","","","","","","","","",""
"RPL13P12","","","","","","","","","","","",""
"TBC1D3L","","","","","","","","","","","",""
"LRRC37A4P","","","","","","","","","","","",""
"MAPK8IP1P2","","","","","","","","","","","",""
"RP11-259G18.3","","","","","","","","","","","",""
"GH1","","","","","","","","","","","",""
"AC139099.7","","","","","","","","","","","",""
