"","A","B","C","D","E-1","E-2","F","G","H-1","H-2","I-1","I-2","J-1","J-2"
"HES5","MTND1P23","CELA3A","C1QA","CYR61","COL24A1","TXNIP","CASQ2","FLG2","ADAMTS4","CARTPT","SH2D1B","LINC01833","XIST","RPS4Y1"
"PADI4","MTND2P28","CRNN","C1QC","ATF3","SYT2","AQP1","FMOD","TNNI1","SLC45A3","RP11-469N6.1","MEPE","SIX3","","ZFY"
"SLC1A7","MTCO1P12","SPRR3","C1QB","NR4A2","EGR4","PDK4","COL3A1","ACTG2","PAIP2B","","RXFP1","MSX2","","PCDH11Y"
"GSTM1","MTCO2P12","REG1A","SFN","APOLD1","SST","C10orf105","COL8A1","DES","LRP2","","AC009014.3","HGF","","PRKY"
"GSTM5","MTATP8P1","CPB1","GBP2","NR4A1","SOWAHB","HBB","C7","KRT2","HAGLR","","THEMIS","RGR","","GYG2P1"
"RP4-765C7.2","MTCO3P12","CLPS","VCAM1","FOS","FREM3","HBD","DSP","KRT1","KCNH8","","COL22A1","MT1H","","TTTY15"
"IGFN1","MT-TM","PGC","CHI3L2","CCL4","HTR1A","HERC2P3","FHL5","MYL2","MOBP","","HS3ST2","FOXJ1","","USP9Y"
"RP11-343H5.4","MT-TL2","CPA2","FCGR1A","PCK1","PCSK1","HBA2","PLN","MYH6","CLDN11","","IL17REL","","","DDX3Y"
"RP11-561I11.3","MT-TE","CPA1","S100A9","CH507-42P11.8","EGR1","KIF19","SLC13A4","MYH1","SPP1","","","","","UTY"
"POMC","MT-TP","PRSS1","S100A12","","DLX6-AS1","ITGB4","OGN","MYH2","RP11-597D13.7","","","","","TMSB4Y"
"BCYRN1","","PRSS2","S100A8","","TAC1","SLC14A1","OMD","KRT14","SH3TC2","","","","","NLGN4Y"
"LINC01291","","PNLIP","FCER1G","","VGF","ALAS2","ACTA2","DSC3","NIPAL4","","","","","TTTY14"
"SFTPB","","KRT6A","FCGR2A","","LINC01007","","SLC16A12","CKM","MOG","","","","","TXLNGY"
"IGKC","","KRT4","HSPA6","","RELN","","IGF2","","ZFP57","","","","","RP11-424G14.1"
"SULT1C2","","GP2","FCGR3A","","RP11-87E22.2","","MGP","","PACRG-AS3","","","","","KDM5D"
"PAX8-AS1","","KRT13","HSPA7","","DUSP4","","GJB2","","LINC01299","","","","","EIF1AY"
"TFCP2L1","","","FCGR3B","","CRH","","PTGDR","","LPAR1","","","","",""
"CX3CR1","","","SELE","","C1QL3","","MYH11","","MIR219A2","","","","",""
"SLC6A20","","","RGS1","","FRMPD2B","","FOXC2","","CERCAM","","","","",""
"LTF","","","MYBPH","","EGR2","","FAM20A","","CTNNA3","","","","",""
"RP11-275H4.1","","","CHI3L1","","NPAS4","","SLPI","","ADAMTS14","","","","",""
"MUC20P1","","","IL1R2","","LINC00507","","","","OPALIN","","","","",""
"RP11-10L7.1","","","IL1R1","","SERTM1","","","","NKX6-2","","","","",""
"CTD-2353F22.2","","","IL1RL1","","PCDH8","","","","FOLH1","","","","",""
"SMN2","","","IL18R1","","CNGB1","","","","MYRF","","","","",""
"RPL10P9","","","IL1B","","CALB2","","","","CARNS1","","","","",""
"PRL","","","SLC11A1","","FOSB","","","","RP11-259K15.2","","","","",""
"HLA-DRB5","","","KCNE4","","SLC32A1","","","","PRIMA1","","","","",""
"HLA-DQB1","","","ADAMTS9","","CBLN4","","","","GREM1","","","","",""
"HLA-DQB2","","","PLA1A","","","","","","SLC5A11","","","","",""
"RP11-632C17__A.1","","","CP","","","","","","RP11-298D21.1","","","","",""
"RP1-111D6.3","","","TM4SF1","","","","","","ASPA","","","","",""
"KIF25-AS1","","","CXCL8","","","","","","NGFR","","","","",""
"KIF25","","","CXCL1","","","","","","TMEM235","","","","",""
"SCARA5","","","CXCL2","","","","","","PIEZO2","","","","",""
"TG","","","CXCL10","","","","","","MBP","","","","",""
"RP11-262H14.3","","","OSMR","","","","","","S1PR5","","","","",""
"TNC","","","EDN1","","","","","","MAG","","","","",""
"AGAP7P","","","HSPA1A","","","","","","CD22","","","","",""
"APLNR","","","HSPA1B","","","","","","GIPR","","","","",""
"SLC22A6","","","C4A","","","","","","KLK6","","","","",""
"ACY3","","","C4B","","","","","","BCAS1","","","","",""
"RERGL","","","HLA-DRA","","","","","","CH507-9B2.1","","","","",""
"WIF1","","","HLA-DQA1","","","","","","GJB1","","","","",""
"P2RX2","","","FKBP5","","","","","","","","","","",""
"RP11-298I3.6","","","CDKN1A","","","","","","","","","","",""
"IGHA1","","","RP11-302L19.3","","","","","","","","","","",""
"IGHG1","","","SCIN","","","","","","","","","","",""
"IGHM","","","IL6","","","","","","","","","","",""
"CA12","","","HSPB1","","","","","","","","","","",""
"RP11-20I23.13","","","FGL2","","","","","","","","","","",""
"NPIPB2","","","SERPINE1","","","","","","","","","","",""
"NPIPA5","","","HILPDA","","","","","","","","","","",""
"RP11-958N24.2","","","ANGPT2","","","","","","","","","","",""
"PKD1P5","","","MSR1","","","","","","","","","","",""
"NPIPB15","","","TNFRSF10D","","","","","","","","","","",""
"ADAMTS18","","","STC1","","","","","","","","","","",""
"FAM157C","","","CEBPD","","","","","","","","","","",""
"PIRT","","","BAALC-AS1","","","","","","","","","","",""
"RPL13P12","","","CTD-3064M3.7","","","","","","","","","","",""
"USP32P2","","","C10orf10","","","","","","","","","","",""
"CTD-2303H24.2","","","SRGN","","","","","","","","","","",""
"CCL3L3","","","CH25H","","","","","","","","","","",""
"CCL4L2","","","PDLIM1","","","","","","","","","","",""
"TBC1D3L","","","BAG3","","","","","","","","","","",""
"MAPK8IP1P2","","","IFITM2","","","","","","","","","","",""
"WFIKKN2","","","IFITM3","","","","","","","","","","",""
"GH1","","","ADM","","","","","","","","","","",""
"RP11-178F10.3","","","CD44","","","","","","","","","","",""
"TTR","","","C11orf96","","","","","","","","","","",""
"CYP4F24P","","","MS4A6A","","","","","","","","","","",""
"SLC5A5","","","FOSL1","","","","","","","","","","",""
"RPSAP58","","","SERPINH1","","","","","","","","","","",""
"LINC01535","","","MPZL2","","","","","","","","","","",""
"NLRP2","","","CD163","","","","","","","","","","",""
"SIRPB1","","","CLEC4E","","","","","","","","","","",""
"RBBP8NL","","","OLR1","","","","","","","","","","",""
"CBSL","","","YBX3","","","","","","","","","","",""
"CYP4F29P","","","GPRC5A","","","","","","","","","","",""
"SIK1","","","EMP1","","","","","","","","","","",""
"PWP2","","","GPR183","","","","","","","","","","",""
"C21orf33","","","SERPINA1","","","","","","","","","","",""
"ICOSLG","","","SERPINA3","","","","","","","","","","",""
"SERPIND1","","","THBS1","","","","","","","","","","",""
"AP000350.5","","","C2CD4B","","","","","","","","","","",""
"SIRPAP1","","","BCL2A1","","","","","","","","","","",""
"GPX1P1","","","TNFRSF12A","","","","","","","","","","",""
"RHOXF1-AS1","","","IL4R","","","","","","","","","","",""
"RHOXF1","","","MT1A","","","","","","","","","","",""
"PNMA6B","","","MT1X","","","","","","","","","","",""
"","","","CRISPLD2","","","","","","","","","","",""
