"","A","B","C","D-1","D-2","E-1","E-2","F-1","F-2","G","H","I-1","I-2"
"PADI4","MTND1P23","HES5","C1QA","SFN","SYT2","SH2D1B","MSX2","PAIP2B","CARTPT","SST","KRT2","XIST","RPS4Y1"
"SLC1A7","MTND2P28","GSTM5","C1QC","SPOCD1","KCNH1","SMYD1","RP1-111D6.3","LRP2","RP11-469N6.1","VGF","KRT1","","ZFY"
"VCAM1","MTCO1P12","RP11-275H4.1","C1QB","GBP3","RP11-399B17.1","MEPE","MT1H","HAGLR","","CRH","MYL2","","PCDH11Y"
"GSTM1","MTCO2P12","WIF1","LAPTM5","GBP1","NXPH2","AC009014.3","","MOBP","","EGR2","MYH6","","PRKY"
"RP11-343H5.4","MTATP8P1","FOXJ1","FCGR1CP","GBP2","SLC4A10","THEMIS","","CLDN11","","NPAS4","MYH1","","GYG2P1"
"RP11-561I11.3","MTCO3P12","AC067969.2","FCGR1A","F3","SOWAHB","SEMA3E","","ZFP57","","NR4A1","KRT14","","TTTY15"
"LINC01833","MTND4P12","","CD84","CHI3L2","FREM3","HS3ST2","","LINC01299","","","CKM","","USP9Y"
"BCYRN1","MTRNR2L1","","FCER1G","S100A9","HTR1A","","","LPAR1","","","","","DDX3Y"
"SFTPB","MTCO1P40","","FCGR2A","S100A12","RGS7BP","","","MIR219A2","","","","","UTY"
"PAX8-AS1","MT-TL1","","FCGR3A","S100A8","PCSK1","","","CTNNA3","","","","","TMSB4Y"
"LTF","MT-TY","","RGS1","ADAMTS4","PCDHAC2","","","ADAMTS14","","","","","NLGN4Y"
"CPB1","MT-TE","","PTPRC","HSPA6","PCDHGC5","","","OPALIN","","","","","TTTY14"
"MUC20P1","","","CX3CR1","HSPA7","GABRG2","","","CARNS1","","","","","TXLNGY"
"SMN2","","","CCR1","FCGR3B","MCHR2","","","SLC5A11","","","","","RP11-424G14.1"
"TGFBI","","","CD86","SELE","MAS1","","","MBP","","","","","KDM5D"
"RPL10P9","","","P2RY12","CHI3L1","NEUROD6","","","MAG","","","","","EIF1AY"
"PGC","","","KLHL6","ATF3","DLX6-AS1","","","KLK6","","","","",""
"RP11-632C17__A.1","","","FYB","IL1R1","TAC1","","","BCAS1","","","","",""
"TRGC2","","","CD14","IL1RL1","LINC01007","","","CH507-9B2.1","","","","",""
"CPA1","","","CSF1R","IL18R1","RELN","","","GJB1","","","","",""
"PRSS2","","","AIF1","IL1B","RP11-87E22.2","","","","","","","",""
"TG","","","HLA-DRA","TFCP2L1","NEFM","","","","","","","",""
"RP11-262H14.3","","","HLA-DRB5","SLC11A1","C1QL3","","","","","","","",""
"TNC","","","HLA-DRB6","KCNE4","GAD2","","","","","","","",""
"APLNR","","","HLA-DQA1","OTOS","FRMPD2B","","","","","","","",""
"ACY3","","","HLA-DQB1","ADAMTS9","CHRM4","","","","","","","",""
"KRT6A","","","HLA-DMB","PLA1A","GRM5","","","","","","","",""
"KRT4","","","TREM2","CP","HTR3B","","","","","","","",""
"RP11-298I3.6","","","SCIN","TM4SF1","STYK1","","","","","","","",""
"IGHA1","","","MSR1","CXCL8","SVOP","","","","","","","",""
"IGHG1","","","ADAM28","CXCL1","LINC00507","","","","","","","",""
"HERC2P3","","","MS4A6A","CXCL2","SERTM1","","","","","","","",""
"TPSD1","","","MS4A4A","SPP1","PCDH8","","","","","","","",""
"NPIPB2","","","MS4A7","ETNPPL","CNGB1","","","","","","","",""
"NPIPA5","","","C3AR1","TLR2","HAPLN4","","","","","","","",""
"RP11-958N24.2","","","CLEC7A","CTD-2353F22.2","CHGB","","","","","","","",""
"PKD1P5","","","OLR1","OSMR","SLC32A1","","","","","","","",""
"NPIPB15","","","ALOX5AP","LINC01554","CBLN4","","","","","","","",""
"ADAMTS18","","","GPR183","IRF1","NEFH","","","","","","","",""
"PIRT","","","IRF8","HSPA1A","","","","","","","","",""
"RPL13P12","","","C3","HSPA1B","","","","","","","","",""
"USP32P2","","","HAMP","C4A","","","","","","","","",""
"CTD-2303H24.2","","","FCGBP","C4B","","","","","","","","",""
"CCL3L3","","","APOC2","CDKN1A","","","","","","","","",""
"CCL4L2","","","NAPSB","GJA1","","","","","","","","",""
"TBC1D3L","","","SIGLEC9","IL6","","","","","","","","",""
"KRT13","","","SIGLEC8","AQP1","","","","","","","","",""
"MAPK8IP1P2","","","LAIR1","MYO1G","","","","","","","","",""
"RP11-178F10.3","","","LILRB1","HSPB1","","","","","","","","",""
"RPSAP58","","","LILRB4","HGF","","","","","","","","",""
"LINC01535","","","ITGB2","PDK4","","","","","","","","",""
"NLRP2","","","GPR34","SERPINE1","","","","","","","","",""
"SIRPB1","","","VSIG4","HILPDA","","","","","","","","",""
"RBBP8NL","","","","ANGPT2","","","","","","","","",""
"CBSL","","","","TNFRSF10D","","","","","","","","",""
"CH507-513H4.5","","","","STC1","","","","","","","","",""
"CH507-513H4.3","","","","TNFRSF11B","","","","","","","","",""
"CYP4F29P","","","","CTD-3064M3.7","","","","","","","","",""
"SIK1","","","","SLC39A12","","","","","","","","",""
"PWP2","","","","C10orf10","","","","","","","","",""
"C21orf33","","","","SRGN","","","","","","","","",""
"ICOSLG","","","","C10orf105","","","","","","","","",""
"AP000350.5","","","","RGR","","","","","","","","",""
"SIRPAP1","","","","CH25H","","","","","","","","",""
"GPX1P1","","","","BAG3","","","","","","","","",""
"PNMA6B","","","","IFITM2","","","","","","","","",""
"","","","","IFITM3","","","","","","","","",""
"","","","","HBB","","","","","","","","",""
"","","","","HBD","","","","","","","","",""
"","","","","ADM","","","","","","","","",""
"","","","","CD44","","","","","","","","",""
"","","","","RARRES3","","","","","","","","",""
"","","","","FOSL1","","","","","","","","",""
"","","","","SERPINH1","","","","","","","","",""
"","","","","MPZL2","","","","","","","","",""
"","","","","CD163","","","","","","","","",""
"","","","","CLEC4E","","","","","","","","",""
"","","","","YBX3","","","","","","","","",""
"","","","","APOLD1","","","","","","","","",""
"","","","","GPRC5A","","","","","","","","",""
"","","","","EMP1","","","","","","","","",""
"","","","","GJB6","","","","","","","","",""
"","","","","LCP1","","","","","","","","",""
"","","","","PAPLN","","","","","","","","",""
"","","","","FOS","","","","","","","","",""
"","","","","SERPINA1","","","","","","","","",""
"","","","","SERPINA3","","","","","","","","",""
"","","","","C2CD4B","","","","","","","","",""
"","","","","CA12","","","","","","","","",""
"","","","","BCL2A1","","","","","","","","",""
"","","","","HBA2","","","","","","","","",""
"","","","","TNFRSF12A","","","","","","","","",""
