"","A","B-1","B-2","C","D","E","F","G","H","I-1","I-2"
"SLC1A7","MTND1P23","GABRD","CHRNA2","C1orf158","SFN","POU3F1","S100A9","RP11-295M18.6","KRT2","XIST","RPS4Y1"
"GSTM1","MTCO1P12","RAB3B","","VWA5B1","CHI3L2","COL24A1","S100A12","OSR1","KRT1","","ZFY"
"HSPA6","MTCO3P12","ST6GALNAC5","","FAM183A","FCGR3A","COL5A2","S100A8","COL6A3","MYL2","","PCDH11Y"
"RP11-343H5.4","MT-TY","MCOLN3","","C1orf87","HSPA7","RUFY4","SELE","RP11-92A5.2","MYH1","","PRKY"
"EGR4","MT-TL2","RP11-286B14.1","","WDR63","RGS1","DRD5","IL1RL1","NPY2R","MYH2","","GYG2P1"
"LINC01291","MT-TE","OLFM3","","SPAG17","CHI3L1","RP11-60A8.1","CXCL8","ADAMTS16","CKM","","TTTY15"
"SFTPB","MT-TP","RGS4","","LRRC71","IL1B","CTXN3","CXCL1","SCGN","","","USP9Y"
"PAX8-AS1","","TNNT2","","CFAP45","SLC11A1","RP11-13P5.2","CXCL10","TARID","","","DDX3Y"
"LTF","","CAMK1G","","VWA3B","CP","FNDC1","CXCL11","XXyac-YM21GA2.7","","","UTY"
"RPL10P9","","CHRM3","","MAP3K19","HLA-DQA2","KCNK9","IL6","NEUROG3","","","TMSB4Y"
"HSPA1A","","GREM2","","CATIP","CLEC5A","FIBCD1","SERPINE1","RP11-343J3.2","","","NLGN4Y"
"HSPA1B","","VSNL1","","CFAP65","TNC","ST8SIA2","STC1","SCART1","","","TTTY14"
"ULBP1","","OTOF","","TUBA4B","CD163","HS3ST2","FOSL1","TSPAN18","","","TXLNGY"
"KIF25-AS1","","SLC30A3","","CROCC2","OLR1","ABCC12","MPZL2","COL2A1","","","RP11-424G14.1"
"WNT2","","CHRNA1","","IL5RA","GPR183","RPRML","GPRC5A","METTL7B","","","KDM5D"
"CPA1","","NEUROD1","","DLEC1","SERPINA3","HAPLN4","C2CD4B","P2RX2","","","EIF1AY"
