"","A-1","A-2","B","C-1","C-2","D","E","F-1","F-2","G","H","I-1","I-2"
"MTND1P23","HES5","SFN","C1orf158","DIRAS3","ADAMTS4","BARHL2","LHX9","LINC01833","OTX1","EGR4","KRT2","XIST","RPS4Y1"
"MTCO1P12","","CHI3L2","FHAD1","PTGER3","LRP2","SYT6","ESM1","SIX3","SHOX2","EGR1","KRT1","","ZFY"
"MTCO3P12","","FCGR1A","VWA5B1","NR5A2","HAGLR","PITX2","CRHBP","RXFP1","CHRNA2","LINC00473","MYL2","","PCDH11Y"
"SLC1A7","","S100A9","FAM183A","KISS1","MOBP","QRFPR","NPVF","","OTX2","SERPINE1","MYH1","","PRKY"
"CYR61","","S100A12","CFAP57","RD3","RP11-597D13.7","SV2C","CALB1","","PVALB","EGR3","MYH2","","TTTY15"
"GSTM1","","S100A8","C1orf87","POMC","AZGP1","ANKRD34B","C1QL3","","","ARC","CKM","","USP9Y"
"INSRR","","FCGR3A","C1orf141","CNGA3","RP5-912I13.1","SLC35D3","NTS","","","EGR2","","","DDX3Y"
"HSPA6","","SELE","LPAR3","DLX1","ADARB2-AS1","TAC1","PARPBP","","","NPAS4","","","UTY"
"HSPA7","","CHI3L1","WDR63","DLX2","CARNS1","SLC26A4-AS1","PMCH","","","NR4A1","","","TMSB4Y"
"PRG4","","IL1R2","C1orf194","ECEL1","SLC5A11","RSPO2","CBLN1","","","FOSB","","","NLGN4Y"
"RGS1","","IL1RL1","SPAG17","TRH","NGFR","GDA","RP11-491F9.3","","","CH507-42P11.8","","","TTTY14"
"RP11-343H5.4","","IL1B","RORC","AGTR1","DNAH17-AS1","LMX1B","HCRT","","","","","","TXLNGY"
"SFTPB","","SLC11A1","LRRC71","SST","MBP","SLC18A2","PDYN","","","","","","RP11-424G14.1"
"SLC5A7","","ADAMTS9","CFAP45","CCKAR","MAG","GPR83","LINC00890","","","","","","KDM5D"
"PAX8-AS1","","ADAMTS9-AS1","TEKT4","NPY2R","KLK6","WIF1","","","","","","","EIF1AY"
"TBR1","","CP","VWA3B","CTD-2314G24.2","BCAS1","SFTA3","","","","","","",""
"CX3CR1","","CXCL8","MAP3K19","ISL1","LINC00323","NKX2-1","","","","","","",""
"SOX14","","CXCL1","KIAA2012","FAM159B","GJB1","HDC","","","","","","",""
"P2RY12","","SCIN","CATIP","CARTPT","","MCTP2","","","","","","",""
"CXCL10","","IL6","CFAP65","OTP","","CRYM","","","","","","",""
"CXCL11","","FOSL1","TUBA4B","PCSK1","","","","","","","","",""
"SLC6A3","","MPZL2","CROCC2","ADRA1B","","","","","","","","",""
"SMN2","","CD163","IL5RA","SCGN","","","","","","","","",""
"RPL10P9","","GPRC5A","CDHR4","GLP1R","","","","","","","","",""
"HSPA1A","","RNASE2","DNAH12","SIM1","","","","","","","","",""
"HLA-DRB5","","SERPINA3","CFAP100","GPR6","","","","","","","","",""
"HLA-DQA2","","C2CD4A","RP11-203H19.2","NPY","","","","","","","","",""
"VIP","","CCL2","ZBBX","PPP1R17","","","","","","","","",""
"CCDC129","","CSF3","DTHD1","CALCR","","","","","","","","",""
"CPA1","","SOCS3","IGFBP7-AS1","TFPI2","","","","","","","","",""
"CLEC5A","","HAMP","TTC29","DLX6-AS1","","","","","","","","",""
"TG","","NAPSB","ROPN1L","DLX6","","","","","","","","",""
"CCL19","","FPR1","CAPSL","DLX5","","","","","","","","",""
"SLC18A3","","LIF","FAM81B","VGF","","","","","","","","",""
"HBB","","APOL4","MAK","FEZF1","","","","","","","","",""
"HBD","","VSIG4","CCDC162P","FEZF1-AS1","","","","","","","","",""
"SLC17A6","","","TRDN","CPA4","","","","","","","","",""
"ACY3","","","MYB","PENK","","","","","","","","",""
"SERPINH1","","","ADGB","CRH","","","","","","","","",""
"OLR1","","","C6orf118","NR5A1","","","","","","","","",""
"RP11-298I3.6","","","DNAH11","HMX3","","","","","","","","",""
"FOXG1","","","C7orf57","HMX2","","","","","","","","",""
"HBA1","","","CD36","TH","","","","","","","","",""
"NPIPB2","","","EFCAB1","CALCB","","","","","","","","",""
"RP11-958N24.2","","","MAPK15","GAL","","","","","","","","",""
"MT1H","","","DNAI1","TAC3","","","","","","","","",""
"NPIPB15","","","FAM166B","GSX1","","","","","","","","",""
"ADAMTS18","","","C9orf135","C14orf39","","","","","","","","",""
"RPL13P12","","","PTPN3","SIX6","","","","","","","","",""
"USP32P2","","","ADGRD2","DLK1","","","","","","","","",""
"TBC1D3L","","","WDR38","RTL1","","","","","","","","",""
"KRT13","","","CFAP157","TMEM114","","","","","","","","",""
"MAPK8IP1P2","","","CFAP77","CNGB1","","","","","","","","",""
"NPTX1","","","SPAG6","AGRP","","","","","","","","",""
"RP11-672L10.2","","","ARMC3","OXT","","","","","","","","",""
"ADCYAP1","","","DYDC2","AVP","","","","","","","","",""
"TTR","","","CFAP43","GHRH","","","","","","","","",""
"ONECUT3","","","C11orf16","CYP24A1","","","","","","","","",""
"ICAM5","","","AGBL2","C22orf42","","","","","","","","",""
"SLC17A7","","","FOLR1","DGKK","","","","","","","","",""
"KLK7","","","C11orf88","IRS4","","","","","","","","",""
"PCK1","","","PZP","ZCCHC12","","","","","","","","",""
"CBSL","","","RASSF9","ARHGAP36","","","","","","","","",""
"CH507-513H4.5","","","CFAP73","BRS3","","","","","","","","",""
"CH507-513H4.3","","","CCDC60","GPR101","","","","","","","","",""
"SIK1","","","STOML3","GABRE","","","","","","","","",""
"PWP2","","","FAM216B","GABRQ","","","","","","","","",""
"C21orf33","","","ATP4B","PNMA5","","","","","","","","",""
"ICOSLG","","","TTC6","","","","","","","","","",""
"AP000350.5","","","RP11-356K23.1","","","","","","","","","",""
"GPX1P1","","","GRAMD2","","","","","","","","","",""
"ARX","","","CCDC33","","","","","","","","","",""
"ALAS2","","","NHLRC4","","","","","","","","","",""
"RHOXF1","","","DNAH3","","","","","","","","","",""
"MT-TM","","","VWA3A","","","","","","","","","",""
"MT-TE","","","SDR42E2","","","","","","","","","",""
"","","","MYLK3","","","","","","","","","",""
"","","","RP11-467J12.4","","","","","","","","","",""
"","","","DRC7","","","","","","","","","",""
"","","","FAM92B","","","","","","","","","",""
"","","","TEKT1","","","","","","","","","",""
"","","","DNAH2","","","","","","","","","",""
"","","","CFAP52","","","","","","","","","",""
"","","","SLC47A2","","","","","","","","","",""
"","","","LRRC46","","","","","","","","","",""
"","","","DNAI2","","","","","","","","","",""
"","","","FOXJ1","","","","","","","","","",""
"","","","CRLF1","","","","","","","","","",""
"","","","CCDC114","","","","","","","","","",""
"","","","TNNI3","","","","","","","","","",""
"","","","DNAAF3","","","","","","","","","",""
"","","","CLIC6","","","","","","","","","",""
"","","","UMODL1-AS1","","","","","","","","","",""
"","","","LRRC74B","","","","","","","","","",""
"","","","ODF3B","","","","","","","","","",""
"","","","COL4A6","","","","","","","","","",""
