"","A-1","A-2","B","C","D","E","F-1","F-2","G","H","I"
"GSTM1","MTND1P23","TNFRSF8","CORT","NPPA","C1QC","C1orf87","XIST","RPS4Y1","S100A9","CHI3L1","HSPA6"
"RP11-343H5.4","MTND2P28","HTR6","TACR1","ACTA1","C1QB","CHI3L2","","ZFY","S100A12","IL1RL1","HSPA7"
"LINC01291","MTCO1P12","RAB3B","SLC5A7","KRT2","FCGR3A","RP1-111D6.3","","PCDH11Y","S100A8","IL18R1","RGS1"
"SFTPB","MTCO2P12","ERICH3","SPHKAP","KRT1","IL1B","AQP1","","RP11-115H13.1","FCGR3B","ADAMTS9","CXCL8"
"PAX8-AS1","MTATP8P1","GPR88","ECEL1","MYL2","CD163","TNC","","PRKY","SLC11A1","PLA1A","HSPA1A"
"CX3CR1","MTCO3P12","OLFM3","RP11-451G4.2","MYH6","HAMP","C10orf105","","GYG2P1","BCL2A1","CP","HSPA1B"
"SERBP1P3","SLC1A7","PCP4L1","SST","CKM","FCGBP","RGR","","TTTY15","FPR1","CXCL1","SERPINE1"
"CPB1","NEUROG2","GPR52","AC009014.3","MB","NAPSB","APLNR","","USP9Y","MMP9","CXCL2","SERPINH1"
"P2RY12","MTND4P12","TDRD5","NPY","","VSIG4","","","DDX3Y","","CDKN1A","NR4A1"
"RPL10P9","HERC2P3","FAM163A","CHAT","","","","","UTY","","IL6","GPR183"
"PGC","MT1G","RGS8","SLC18A3","","","","","TMSB4Y","","STC1","FOS"
"RP11-632C17__A.1","MT1H","NMNAT2","HSD11B2","","","","","NLGN4Y","","C10orf10","C2CD4B"
"IGFBP3","MTRNR2L1","SYT2","MC4R","","","","","TTTY14","","FOSL1","CCL4"
"CPA1","SLC14A1","GREM2","PVALB","","","","","TXLNGY","","MPZL2",""
"RP5-912I13.1","MT-TL1","MYT1L","","","","","","RP11-424G14.1","","CLEC4E",""
"EFCAB1","MT-TI","VSNL1","","","","","","KDM5D","","GPRC5A",""
"TG","MT-TM","EGR4","","","","","","EIF1AY","","SERPINA5",""
"CCL19","MT-TY","DUSP2","","","","","","","","SERPINA3",""
"NR4A3","MT-TS1","SLC4A10","","","","","","","","CCL2",""
"ADARB2-AS1","MT-TH","ZNF804A","","","","","","","","CSF3",""
"HBB","MT-TL2","CDK5R2","","","","","","","","SOCS3",""
"HBD","MT-TE","RESP18","","","","","","","","ANGPTL4",""
"OLR1","MT-TT","SCG2","","","","","","","","ICAM1",""
"KRT6A","MT-TP","NGEF","","","","","","","","ZFP36",""
"KRT4","","SAG","","","","","","","","SLC52A3",""
"RP11-298I3.6","","SYN2","","","","","","","","CD93",""
"IGHG1","","DCLK3","","","","","","","","SLCO4A1",""
"TRPM1","","ENTPD3","","","","","","","","CH507-42P11.8",""
"CHRM5","","SYNPR","","","","","","","","LIF",""
"HBA2","","ROBO2","","","","","","","","APOL4",""
"HBA1","","DRD3","","","","","","","","MAFF",""
"NPIPB2","","UPK1B","","","","","","","","",""
