"","A","B","C","D","E","F","G","H"
"MTND1P23","GABRD","ACTA1","CHD5","CPNE4","SLC6A7","HSPA7","S100A9","RPS4Y1"
"MTCO1P12","NEUROD1","KRT2","SH2D5","LMX1B","GRIA1","SLC11A1","S100A8","ZFY"
"MTCO3P12","FAT2","KRT1","EPHA8","DRGX","GABRB2","CLEC5A","ACKR1","PRKY"
"SLC1A7","GABRA6","MYL2","RAB3B","EBF3","GABRA1","ST14","SELE","TTTY15"
"GSTM1","SLC13A4","MYH1","ERICH3","PCDH8","FAM153B","CD163","IL1RL1","USP9Y"
"MPZ","CRTAM","KRT14","CELF3","CNGB1","FAM153C","RNASE2","ADAMTS9","DDX3Y"
"HSPA6","PRR35","CKM","CHRNB2","HOXB8","GRM4","ALOX15B","ADAMTS9-AS1","UTY"
"RGS1","CRYM","","PCP4L1","PDYN","GRM1","CTD-3128G10.7","CXCL8","TMSB4Y"
"CHIT1","CDH15","","CACNA1E","","SRRM3","HAMP","CXCL1","NLGN4Y"
"RP11-343H5.4","SLC22A31","","CAMK1G","","LINC00599","FCGBP","CXCL2","TTTY14"
"IGKC","TTR","","CHRM3","","MAL2","NAPSB","IL6","TXLNGY"
"CNGA3","SLC17A7","","GREM2","","KCNK9","VSIG4","STC1","RP11-424G14.1"
"IL1B","","","MYT1L","","KCNT1","","GPRC5A","KDM5D"
"DCLK3","","","VSNL1","","SRRM4","","MEDAG","EIF1AY"
"CX3CR1","","","KCNK3","","GALNT9","","CSF3",""
"MME","","","SLC30A3","","CKMT1B","","SOCS3",""
"CXCL10","","","BCL11A","","CBLN1","","SLCO4A1",""
"CXCL11","","","SLC4A10","","RP11-491F9.3","","LIF",""
"RPL10P9","","","GAD1","","LHX1","","",""
"HSPA1A","","","MARCH4","","NEUROD2","","",""
"HSPA1B","","","CDK5R2","","RBFOX3","","",""
"HLA-DQA2","","","PTPRN","","NPTX1","","",""
"HLA-DQB2","","","SPHKAP","","SLC1A6","","",""
"MLIP","","","CPNE9","","XKR7","","",""
"LGSN","","","CAMKV","","","","",""
"KIF25-AS1","","","SYNPR","","","","",""
"NUPR2","","","SST","","","","",""
"NPTX2","","","C4orf50","","","","",""
"SERPINE1","","","GABRA4","","","","",""
"RP5-912I13.1","","","MAB21L2","","","","",""
"EBF2","","","GLRA3","","","","",""
"TG","","","UBE2QL1","","","","",""
"MAPK15","","","RAB3C","","","","",""
"TYRP1","","","SV2C","","","","",""
"CCL19","","","ANKRD34B","","","","",""
"ADARB2-AS1","","","GABRG2","","","","",""
"SLC18A3","","","TLX3","","","","",""
"SFRP5","","","CPLX2","","","","",""
"HBB","","","SNCB","","","","",""
"HBD","","","PACSIN1","","","","",""
"ACY3","","","MRAP2","","","","",""
"FOLH1B","","","TMEM196","","","","",""
"PRPH","","","TMEM130","","","","",""
"PMEL","","","ACTL6B","","","","",""
"MYO1A","","","ACHE","","","","",""
"GPR183","","","CHRM2","","","","",""
"RP11-298I3.6","","","CLEC2L","","","","",""
"IGHA1","","","HTR5A","","","","",""
"IGHG1","","","PNOC","","","","",""
"TRPM1","","","ZMAT4","","","","",""
"CHRM5","","","ANK1","","","","",""
