"","A","B","C","D","E","F","G","H"
"MTCO3P12","CHD5","ACTA1","ECEL1","MTND1P23","C1QB","S100A9","LGR6","ZFY"
"GSTM1","PADI1","KRT2","SST","MTCO1P12","FCGR1A","S100A12","OXTR","PCDH11Y"
"CHI3L2","EPHA8","KRT1","PENK","MT-TS1","FCGR3A","S100A8","SLC6A11","PRKY"
"HSPA6","TTC39A","MYL2","CALB1","MT-TH","IL1B","SELE","F2RL2","TTTY15"
"RGS1","RAB3B","MYH6","SYTL5","MT-TL2","SLC11A1","IL1RL1","RGR","USP9Y"
"CHI3L1","ST6GALNAC5","CKM","PNMA5","MT-TE","SCIN","ADAMTS9","SFRP5","DDX3Y"
"RP11-343H5.4","OLFM3","","","MT-TT","ANKRD22","CP","PRLHR","UTY"
"SIX3","SLC6A17","","","MT-TP","CD163","CXCL8","CA12","TMSB4Y"
"LTF","FAM19A3","","","","RNASE2","CXCL1","","NLGN4Y"
"MME","CHRNB2","","","","SERPINA1","IL6","","TXLNGY"
"AC007106.1","PCP4L1","","","","BCL2A1","NR4A3","","RP11-424G14.1"
"CXCL10","RGS4","","","","HAMP","FOSL1","","KDM5D"
"CXCL11","LMX1A","","","","FCGBP","MPZL2","",""
"RP11-10L7.1","TDRD5","","","","NAPSB","THBS1","",""
"PITX2","RGS8","","","","FPR1","CSF3","",""
"MAB21L2","SYT2","","","","VSIG4","SOCS3","",""
"EGR1","CAMK1G","","","","","SLCO4A1","",""
"RPL10P9","CHRM3","","","","","LIF","",""
"PRL","VSNL1","","","","","","",""
"HSPA1A","SDC1","","","","","","",""
"HSPA1B","REEP1","","","","","","",""
"KCNQ5","EN1","","","","","","",""
"KIF25-AS1","CYP27C1","","","","","","",""
"NPTX2","DAPL1","","","","","","",""
"CPA1","CDK5R2","","","","","","",""
"SNX31","PTPRN","","","","","","",""
"TG","SCG2","","","","","","",""
"CCL19","RP11-314B1.2","","","","","","",""
"HBB","CPNE9","","","","","","",""
"HBD","SYN2","","","","","","",""
"NR4A1","CCK","","","","","","",""
"NTS","CAMKV","","","","","","",""
"RP11-298I3.6","CADPS","","","","","","",""
"SYNDIG1L","SYNPR","","","","","","",""
"SERPINA3","ROBO2","","","","","","",""
"TRPM1","RP11-389G6.3","","","","","","",""
"CHRM5","PLCXD2","","","","","","",""
"HDC","CLSTN2","","","","","","",""
"C2CD4B","AGTR1","","","","","","",""
"CRABP1","RP11-316N24.2","","","","","","",""
"HBA2","NSG1","","","","","","",""
"HBA1","BEND4","","","","","","",""
"NPIPB2","GABRA4","","","","","","",""
"RP11-958N24.2","SLC10A4","","","","","","",""
"CRYM","EPHA5","","","","","","",""
"MT1H","GALNTL6","","","","","","",""
"NPIPB15","GLRA3","","","","","","",""
"ADAMTS18","SLC6A3","","","","","","",""
"RPL13P12","HCN1","","","","","","",""
"USP32P2","FST","","","","","","",""
"CCL2","RAB3C","","","","","","",""
"TBC1D3L","SV2C","","","","","","",""
"KRT13","ANKRD34B","","","","","","",""
"TTR","PCSK1","","","","","","",""
"FOSB","CTXN3","","","","","","",""
"SLC17A7","RELL2","","","","","","",""
