"","A","B","C","D","E","F"
"GSTM1","CELA3A","PLCH2","KLHDC7A","G0S2","IGKC","PRKY"
"SELE","REG1A","ESPN","ERICH3","RP11-407P15.2","IGKJ5","TTTY15"
"RP11-343H5.4","PRSS1","C1orf64","PDZK1","SLC19A3","IGKJ4","USP9Y"
"LINC01291","PRSS2","KDF1","GLRA3","CIDEC","IGKJ3","DDX3Y"
"CSN1S1","PNLIP","CD164L2","CUX2","ADIPOQ","IGKJ2","UTY"
"HBD","GP2","EDN2","DHRS2","ADIPOQ-AS1","IGKJ1","NLGN4Y"
"MYEOV","","TMEM125","","NWD2","IGKV4-1","TXLNGY"
"MMP3","","C1orf210","","KLB","IGKV1-5","RP11-424G14.1"
"C2CD4B","","TTC22","","LEP","IGKV1-9","KDM5D"
"CYP1A1","","TACSTD2","","RBP4","IGKV3-11",""
"NPIPB15","","HOOK1","","LGALS12","IGKV1-12",""
"USP32P1","","AK5","","DGAT2","IGKV3-15",""
"SIK1","","KIAA1324","","GPD1","IGKV1-16",""
"GPX1P1","","VTCN1","","C14orf180","IGKV1-17",""
"MTND1P23","","HMGCS2","","PLIN1","IGKV3-20",""
"PLA2G2A","","BNIPL","","TUSC5","IGKV2-24",""
"SMYD1","","CGN","","RP1-193H18.3","IGKV1-27",""
"SLC26A3","","S100A14","","CIDEA","IGKV2-28",""
"SYNPO2L","","RAB25","","PLIN4","IGKV2-30",""
"GLYAT","","IGSF9","","SLC7A10","IGKV1-33",""
"WIF1","","NECTIN4","","RP5-839B4.8","IGKV1-39",""
"OLFM4","","LAD1","","PCK1","JCHAIN",""
"DLK1","","ELF3","","","IGHA2",""
"IGHD","","RP11-510N19.5","","","IGHA1",""
"ALOX15B","","PIGR","","","IGHM",""
"KLK3","","C1orf116","","","IGHJ4",""
"LBP","","C4BPA","","","IGHV1-2",""
"CBLN4","","MIR205HG","","","IGHV2-5",""
"EDN3","","CAPN8","","","IGHV3-7",""
"XIST","","SLC35F3","","","IGHV3-11",""
"RPS4Y1","","CAPN13","","","IGHV3-15",""
"ZFY","","EPCAM","","","IGHV1-18",""
"RP11-115H13.1","","AC008268.1","","","IGHV3-21",""
"TTTY14","","FER1L5","","","IGHV3-23",""
"EIF1AY","","TFCP2L1","","","IGHV3-30",""
"","","LYPD6B","","","IGHV3-33",""
"","","ITGB6","","","IGHV4-39",""
"","","LRP2","","","IGHV1-46",""
"","","C2orf72","","","IGHV3-48",""
"","","RAB17","","","IGHV5-51",""
"","","OXTR","","","IGHV4-59",""
"","","LTF","","","IGHV3-74",""
"","","CACNA1D","","","IGLV6-57",""
"","","FAM3D","","","IGLV1-51",""
"","","ILDR1","","","IGLV1-47",""
"","","CPHL1P","","","IGLV1-44",""
"","","LIPH","","","IGLV1-40",""
"","","TP63","","","IGLV3-25",""
"","","ATP13A5","","","IGLV2-23",""
"","","PROM1","","","IGLV3-21",""
"","","SLC34A2","","","IGLV3-19",""
"","","FDCSP","","","IGLV2-14",""
"","","RASSF6","","","IGLV2-11",""
"","","SHROOM3","","","IGLV2-8",""
"","","ARHGEF38","","","IGLV3-1",""
"","","RP11-311D14.1","","","IGLC1",""
"","","EGF","","","IGLC2",""
