"","A","B-1","B-2","C-1","C-2","D-1","D-2","E","F","G-1","G-2"
"PCSK9","ACTA1","XIST","RPS4Y1","E2F2","ANGPTL1","MAN1C1","RP11-180C1.1","COL11A1","REG1A","ALPL","RPLP0P2"
"L1TD1","KRT1","","ZFY","CLSPN","AGT","PODN","CXCL5","B3GALT2","CPB1","CADM3",""
"GSTM1","MYBPC1","","PRKY","CDCA8","LRP1B","SLC1A7","AREG","KIF26B","CPA1","CADM3-AS1",""
"TXNIP","MYH7","","TTTY15","CDC20","ZNF385B","DAB1","TFPI2","TSPAN18","PRSS1","ACKR1",""
"RP4-765C7.2","ACTC1","","USP9Y","KIF2C","ACKR4","KCND3","CSF3","DIO2","PRSS2","IGFBP2",""
"RP11-343H5.4","CKM","","DDX3Y","RAD54L","APOD","DPT","","PIEZO2","GP2","EDIL3",""
"LINC01291","MB","","UTY","ORC1","C1QTNF7","FMO3","","","","CNR1",""
"HAPLN1","","","NLGN4Y","DEPDC1","COL21A1","FMO2","","","","ELN",""
"RPL10P9","","","TTTY14","IQGAP3","COL14A1","FMO1","","","","LEP",""
"HLA-U","","","TXLNGY","NUF2","TG","FMOD","","","","STMN2",""
"NPTX2","","","KDM5D","KIF14","OGN","PRELP","","","","IGF2",""
"CHRM2","","","EIF1AY","NEK2","ASPN","STUM","","","","MFAP5",""
"LCN2","","","","DTL","LRRN4CL","GDF7","","","","ITGA11",""
"GATA3","","","","CENPF","RHOJ","APOB","","","","ACAN",""
"KRT6A","","","","RRM2","OMG","LBH","","","","CRLF1",""
"RP11-958N24.2","","","","CENPA","APOL4","INHBB","","","","COMP",""
"CES1P1","","","","NCAPH","","SCN1A","","","","PPP1R14A",""
"NPIPB15","","","","BUB1","","PDE1A","","","","SUSD2",""
"CCDC144A","","","","CKAP2L","","SLC40A1","","","","POM121L9P",""
"USP32P1","","","","SPC25","","PLCL1","","","","",""
"RPL13P12","","","","HJURP","","PTH1R","","","","",""
"CTD-2303H24.2","","","","AC112721.2","","LSAMP","","","","",""
"PSG5","","","","SGO1","","TNFSF10","","","","",""
"PSG4","","","","KIF15","","PPARGC1A","","","","",""
"SIRPB1","","","","TACC3","","ADH1B","","","","",""
"CBSL","","","","NCAPG","","RANBP3L","","","","",""
"C21orf33","","","","MND1","","GPX3","","","","",""
"TBX1","","","","TRIP13","","INMT","","","","",""
"AP000350.5","","","","DEPDC1B","","PLXNA4","","","","",""
"RP11-706O15.3","","","","CCNB1","","RARRES2","","","","",""
"GPX1P1","","","","LMNB1","","BHLHE22","","","","",""
"MTND1P23","","","","KIF20A","","DAPK1","","","","",""
