"","A","B-1","B-2","C","D","E","F","G-1","G-2","H-1","H-2"
"MTND1P23","CELA3A","C1QA","DLGAP1-AS5","LINC01225","BEND5","MARK1","IGKJ5","SH3RF3","CECR7","XIST","RPS4Y1"
"NBPF3","REG1A","C1QB","","LINC01226","IL18RAP","AC013444.1","IGKJ3","GUCY1A3","","","ZFY"
"L1TD1","CPB1","CHI3L1","","TBX15","CD28","IGHG4","IGKJ2","RP11-588K22.2","","","PRKY"
"SLC44A5","CLPS","ADD2","","XCL1","SATB1","IGHG2","IGKV4-1","GUCY1B3","","","TTTY15"
"LINC01781","PGC","SPP1","","PRRX1","UST","IGHGP","IGKV1-5","EFNA5","","","USP9Y"
"GSTM1","CPA1","ADAMDEC1","","CDC42BPA","SH2D4A","IGHG1","IGKV1-6","NRCAM","","","DDX3Y"
"FCRL3","PRSS1","MMP12","","MYO1B","KLHL14","IGHG3","IGKV1-8","RIMBP2","","","UTY"
"HSPA6","PRSS2","LYZ","","CHL1","","EYA2","IGKV1-9","NR2F2","","","TMSB4Y"
"RP4-765C7.2","PNLIP","MATK","","TRIM71","","","IGKV3-11","DSC3","","","ANOS2P"
"RP11-343H5.4","GP2","MMP9","","CDCP1","","","IGKV1-12","DSC2","","","NLGN4Y"
"C1orf115","CTRB2","","","MUC13","","","IGKV3-15","FFAR2","","","TXLNGY"
"MARC2","","","","SUCNR1","","","IGKV1-16","BTBD3","","","RP11-424G14.1"
"EFR3B","","","","DCHS2","","","IGKV1-17","FIRRE","","","KDM5D"
"SIX3","","","","PRLR","","","IGKV3-20","","","","EIF1AY"
"LINC01291","","","","RNF180","","","IGKV1-27","","","",""
"GNLY","","","","TINAG","","","IGKV2-28","","","",""
"ANKRD36BP2","","","","THEMIS","","","IGKV2-30","","","",""
"IGKC","","","","SAMD5","","","IGKV1-33","","","",""
"IGKJ4","","","","STEAP2","","","IGKV1-39","","","",""
"IGKJ1","","","","BHLHE22","","","IGHJ3","","","",""
"GPAT2","","","","CYP7B1","","","IGHJ2","","","",""
"ZAP70","","","","RP11-1D12.2","","","IGHV1-2","","","",""
"SEPT10","","","","HNF4G","","","IGHV4-4","","","",""
"SOWAHC","","","","GDA","","","IGHV2-5","","","",""
"IL1A","","","","COL5A1","","","IGHV3-7","","","",""
"PAX8-AS1","","","","PARD3","","","IGHV3-64D","","","",""
"SCN3A","","","","ZNF503","","","IGHV3-11","","","",""
"ZNF804A","","","","SHANK2","","","IGHV3-13","","","",""
"ADAM23","","","","AMOTL1","","","IGHV3-15","","","",""
"EOMES","","","","MMP7","","","IGHV1-18","","","",""
"CMTM7","","","","POU2F3","","","IGHV3-20","","","",""
"ROBO1","","","","LMO3","","","IGHV3-21","","","",""
"TPRG1","","","","SOX5","","","IGHV3-23","","","",""
"P3H2","","","","ASCL1","","","IGHV1-24","","","",""
"EVC2","","","","LINC00462","","","IGHV4-28","","","",""
"EVC","","","","EGLN3","","","IGHV4-34","","","",""
"UCHL1","","","","C14orf105","","","IGHV4-39","","","",""
"UGT2B17","","","","MMP15","","","IGHV3-43","","","",""
"UGT2B15","","","","DLGAP1","","","IGHV1-46","","","",""
"CXCL9","","","","BMP2","","","IGHV3-48","","","",""
"CXCL10","","","","KCNJ15","","","IGHV3-49","","","",""
"SHROOM3","","","","MAP7D2","","","IGHV5-51","","","",""
"MIR4458HG","","","","","","","IGHV3-53","","","",""
"CCDC152","","","","","","","IGHV4-59","","","",""
"ADGRV1","","","","","","","IGHV4-61","","","",""
"IL12B","","","","","","","IGHV3-66","","","",""
"GABRB2","","","","","","","IGHV3-74","","","",""
"RPL10P9","","","","","","","IGLV4-69","","","",""
"FAM153A","","","","","","","IGLV1-51","","","",""
"BTNL9","","","","","","","IGLV1-47","","","",""
"NRN1","","","","","","","IGLV1-44","","","",""
"HLA-V","","","","","","","IGLV1-40","","","",""
"HLA-DQA2","","","","","","","IGLV3-25","","","",""
"HLA-DQB2","","","","","","","IGLV2-23","","","",""
"MDGA1","","","","","","","IGLV3-21","","","",""
"T","","","","","","","IGLV3-19","","","",""
"SCIN","","","","","","","IGLV2-14","","","",""
"CPA4","","","","","","","IGLV2-11","","","",""
"GIMAP4","","","","","","","IGLV2-8","","","",""
"RP11-134O21.1","","","","","","","IGLV3-1","","","",""
"TOX","","","","","","","IGLJ1","","","",""
"CDH17","","","","","","","IGLC1","","","",""
"TG","","","","","","","","","","",""
"C8orf31","","","","","","","","","","",""
"CNTLN","","","","","","","","","","",""
"CDC20P1","","","","","","","","","","",""
"RNF183","","","","","","","","","","",""
