"","A-1","A-2","B","C","D","E","F","G-1","G-2","H-1","H-2","I"
"GSTM1","MTND1P23","HBB","PADI2","PLA2G2A","REG1A","EVX2","XIRP1","XIST","RPS4Y1","ANGPTL7","CYP4B1","ADAMTS4"
"RP4-765C7.2","MTCO1P12","SLN","SFN","CHI3L1","CPB1","HOXD13","FGF5","","ZFY","","S100A9","SELE"
"RP11-343H5.4","","HBA2","SERINC2","MARCO","PGC","ISL1","MMP3","","PRKY","","S100A8","ATF3"
"RP11-755H23.1","","HBA1","EPHA10","CHRDL2","CPA1","RSPO2","MMP12","","TTTY15","","IL1R2","NPPC"
"LINC01291","","","GUCA2A","RP11-864N7.4","PRSS1","GLB1L3","TNFRSF12A","","USP9Y","","IL1B","CXCL8"
"PAX8-AS1","","","BEST4","CTD-3128G10.7","PRSS2","P2RX1","FAM83D","","DDX3Y","","SLC11A1","AREG"
"ADIPOQ","","","TSPAN1","","PNLIP","PRND","","","UTY","","CIDEC","EGR1"
"LRRC15","","","CLCA1","","KRT4","","","","TMSB4Y","","PDK4","IL6"
"CXCL9","","","CLCA4","","GP2","","","","NLGN4Y","","CD163","SERPINE1"
"PLEKHG4B","","","KIAA1324","","KRT13","","","","TTTY14","","SERPINA1","EGR3"
"ADAMTS16","","","EPS8L3","","","","","","TXLNGY","","MT1JP","NR4A3"
"CTB-109A12.1","","","HMGCS2","","","","","","RP11-424G14.1","","MT1A","RP11-613D13.8"
"CTB-47B11.3","","","CGN","","","","","","KDM5D","","MT1G","FOSL1"
"RPL10P9","","","S100A14","","","","","","EIF1AY","","MT1X","RND1"
"HLA-DQA2","","","RAB25","","","","","","","","ALOX15B","FOS"
"AC093627.8","","","IGSF9","","","","","","","","LRG1","THBS1"
"PENK","","","SLAMF7","","","","","","","","CD177","CTD-2033D15.2"
"PI15","","","ITLN1","","","","","","","","","CTD-2033D15.3"
"CCL19","","","GPA33","","","","","","","","","CSF3"
"PGM5-AS1","","","C1orf106","","","","","","","","","SOCS3"
"SAA1","","","LAD1","","","","","","","","","FOSB"
"WT1","","","ELF3","","","","","","","","","HAS1"
"MS4A2","","","PIGR","","","","","","","","",""
"RP11-109L13.1","","","LAMB3","","","","","","","","",""
"MYBPC1","","","CAPN8","","","","","","","","",""
"P2RX2","","","LEFTY1","","","","","","","","",""
"CTSG","","","CAPN9","","","","","","","","",""
"CYP1A1","","","RRM2","","","","","","","","",""
"TPSB2","","","SDC1","","","","","","","","",""
"TPSAB1","","","EPCAM","","","","","","","","",""
"TPSD1","","","DQX1","","","","","","","","",""
"RP11-958N24.2","","","HK2","","","","","","","","",""
