"","A-1","A-2","B","C-1","C-2","D","E","F-1","F-2","G","H","I-1","I-2","J","K","L-1","L-2"
"MTND1P23","PLA2G2A","CDHR3","CELA3A","FCN3","SPAG17","KLF17","ELAVL4","PTGFR","BRINP3","CRNN","S100A12","SUSD4","CXCL14","IGKC","MAS1L","MMP3","XIST"
"GSTM1","CHI3L2","RP4-568B10.1","REG1A","CYP4B1","LINC01133","SMYD1","RAB3B","RGS4","ESRRG","SPRR3","ADAMTS4","GDF7","WT1","JCHAIN","MS4A2","RPS4Y1",""
"RP4-765C7.2","S100A9","SHANK2","CPB1","RD3","G0S2","CHRM2","PTPRN","LGR6","LINC01954","SPRR2A","HSPA6","ST6GAL2","CPXM1","IGHA2","CMA1","ZFY",""
"RP11-343H5.4","S100A8","","ALB","MAP1LC3C","CNGA3","TEX15","SCG2","GREM2","KCNF1","S100A14","FCGR3B","GADL1","","IGHG4","CTSG","PRKY",""
"RP11-755H23.1","FCGR3A","","PGC","GTF2A1L","SERPINE2","PSD","KIF1A","POU3F3","LHCGR","CAPN14","SELE","CNTN3","","IGHG2","HDC","TTTY15",""
"LINC01291","CHI3L1","","CPA1","GALNT15","LRRC15","RP11-1069G10.1","SST","KY","DPP10","IL1RN","PRG4","ASB5","","IGHA1","TPSB2","USP9Y",""
"PAX8-AS1","IL1R2","","PRSS1","PCDHAC2","ADAMTS16","RBFOX3","CARTPT","MASP1","KCNJ3","SPINK5","ATF3","HSPB3","","IGHG1","TPSD1","DDX3Y",""
"ADH4","MARCO","","PRSS2","FKBP5","DACT2","NPTX1","LIX1","PCDH10","HTR2B","MUC21","RP11-373D23.2","CNTNAP2","","IGHG3","RP11-616M22.5","UTY",""
"RPL10P9","SLC11A1","","LIPF","EPHA7","SFRP4","","HMP19","GRIA2","PITX2","PSCA","NR4A2","SLCO5A1","","IGHM","","TMSB4Y",""
"ZFP57","CIDEC","","PNLIP","DNAH11","TLL2","","CPLX2","CTD-2314G24.2","SLC27A6","LCN2","CXCL8","ITGA8","","IGLC1","","NLGN4Y",""
"HLA-U","ITIH3","","GP2","PDK4","SLN","","SCGN","ISL1","RIMS1","A2ML1","CXCL1","TACR2","","","","TTTY14",""
"HLA-DQA2","PTX3","","","SLC26A3","PTHLH","","VIP","PITX1","MUC15","KRT6A","EGR1","MTUS2","","","","TXLNGY",""
"HLA-DQB2","RARRES1","","","AARD","LUM","","NPY","C5orf66-AS1","TRPC6","KRT4","LINC00473","HS6ST3","","","","RP11-424G14.1",""
"CD24","ADIPOQ","","","GADD45G","P2RX2","","NEFL","FAM153B","PTPRQ","KRT78","IL6","ACTC1","","","","KDM5D",""
"FNDC1","PCSK1","","","LINC00702","C16orf89","","STMN2","RP11-844P9.2","TBX5-AS1","SCEL","SERPINE1","CA12","","","","EIF1AY",""
"AC093627.8","RBP4","","","OLAH","TPPP3","","SLC18A3","RP11-844P9.6","FOXG1","RHCG","EGR3","SCUBE1","","","","",""
"PENK","SAA2","","","SVILP1","CCL11","","INA","GATA4","GABRA5","KRT13","STC1","GRPR","","","","",""
"PI15","SAA1","","","RP11-21L23.2","MXRA5","","GAL","JPH1","CACNG4","KRT16","CCL19","","","","","",""
"CHRDL2","DGAT2","","","ZBTB16","CAPN6","","PHOX2A","RSPO2","GREB1L","NCCRP1","NR4A3","","","","","",""
"RP11-864N7.4","CD163","","","RP11-753H16.3","","","HTR3A","BARX1","WISP2","CNFN","EGR2","","","","","",""
"RP11-109L13.1","PKP2","","","MYZAP","","","NELL2","RP11-887P2.5","EDN3","TGM3","HBB","","","","","",""
"KRT2","GPD1","","","ACSM3","","","NOS1","GREM1","SH2D1A","","HBD","","","","","",""
"MYH7","RNASE2","","","ALOX15B","","","NGB","GRIN2A","","","RP11-613D13.8","","","","","",""
"CYP1A1","PLIN1","","","PNMT","","","CHGA","HOXB-AS3","","","FOSL1","","","","","",""
"NPIPA5","MT1A","","","RP1-193H18.3","","","CHRNA3","NMRK2","","","RND1","","","","","",""
"RP11-958N24.2","MT1G","","","LINC00163","","","VAT1L","GATA5","","","NR4A1","","","","","",""
"PKD1P5","MT1X","","","AP000350.5","","","PIRT","TCEAL6","","","RP11-1100L3.8","","","","","",""
"CES1P1","HP","","","AFF2","","","RP11-672L10.2","RP6-24A23.7","","","FOS","","","","","",""
"NPIPB15","TUSC5","","","","","","ADCYAP1","ADGRG4","","","CTD-2033D15.2","","","","","",""
"USP6","ABCC3","","","","","","SYT4","","","","C2CD4B","","","","","",""
"MYH1","COMP","","","","","","GRP","","","","HBA2","","","","","",""
"CCDC144A","FCGBP","","","","","","ATP1A3","","","","HBA1","","","","","",""
"USP32P1","FPR1","","","","","","","","","","CCL2","","","","","",""
"RPL13P12","PCK1","","","","","","","","","","CCL18","","","","","",""
"USP32P2","VSIG4","","","","","","","","","","CSF3","","","","","",""
"CTD-2303H24.2","","","","","","","","","","","SOCS3","","","","","",""
"SNORD3A","","","","","","","","","","","TNFSF14","","","","","",""
"TBC1D3L","","","","","","","","","","","CTD-3128G10.7","","","","","",""
"KRT24","","","","","","","","","","","FOSB","","","","","",""
"GFAP","","","","","","","","","","","HAS1","","","","","",""
