"","A-1","A-2","B","C-1","C-2","D-1","D-2","E-1","E-2","F","G","H","I","J-1","J-2"
"MTND1P23","LINC01345","GREM1","PADI1","PLA2G2A","SPAG17","CELA3A","GFAP","RP5-1198O20.4","BRINP3","RAB3B","TNNI1","IGKC","CPA3","XIST","RPS4Y1"
"MTCO1P12","LHCGR","CA12","SFN","FCN3","CRABP2","REG1A","","KLF17","LINC01954","PTPRN","ACTA1","IGHA2","MAS1L","","ZFY"
"MTCO3P12","SMYD1","","CLCA4","CYP4B1","SUSD4","CPB1","","ADAMTS4","KCNF1","SCG2","NEB","IGHG2","MS4A2","","PRKY"
"MYOM3","SCUBE3","","CRNN","CHI3L2","ST6GAL2","ALB","","SELE","GDF7","KIF1A","XIRP2","IGHA1","CMA1","","TTTY15"
"GSTM1","COL22A1","","CRCT1","S100A9","SERPINE2","CLPS","","PRG4","HTR2B","CARTPT","TNNC1","IGHG1","CTSG","","USP9Y"
"RP4-765C7.2","RP11-753H16.3","","SPRR3","S100A8","MASP1","PGC","","G0S2","ASB5","HMP19","ANKRD1","IGHG3","HDC","","DDX3Y"
"RP11-343H5.4","RP11-1069G10.1","","SPRR1B","FCGR3A","SFRP2","CPA1","","ATF3","HSPB3","CPLX2","NRAP","IGHM","TPSB2","","UTY"
"RP11-755H23.1","P2RX1","","SPRR2D","CHI3L1","ADAMTS16","PRSS1","","RP11-373D23.2","RIMS1","SCGN","KRT2","","TPSAB1","","TMSB4Y"
"GTF2A1L","RBFOX3","","SPRR2A","RD3","CTB-109A12.1","PRSS2","","INHBB","LINC00702","VIP","MYBPC1","","TPSD1","","NLGN4Y"
"LINC01291","CST5","","SPRR2E","MAP1LC3C","CTB-47B11.3","LIPF","","NR4A2","ITGA8","NPY","MYL2","","RP11-616M22.5","","TTTY14"
"CNGA3","","","S100A14","IL1R2","DACT2","PNLIP","","CXCL8","TACR2","NEFM","MYH6","","RP11-672L10.2","","TXLNGY"
"PAX8-AS1","","","CAPN14","MARCO","SFRP4","GP2","","CXCL1","MUC15","NEFL","MYH7","","ADCYAP1","","RP11-424G14.1"
"CIDEC","","","IL1RN","SLC11A1","CDHR3","CTRB2","","CXCL14","PTPRQ","STMN2","MYH1","","LIF","","KDM5D"
"EPHB1","","","TMPRSS11B","GALNT15","RP4-568B10.1","CTRB1","","LINC00473","HS6ST3","SLC18A3","MYH2","","","","EIF1AY"
"ADIPOQ","","","SPINK5","PTX3","XKR4","","","IL6","ADPRHL1","INA","CKM","","","",""
"LRRC15","","","MUC21","RARRES1","SLCO5A1","","","EGR3","ACTC1","GAL","TNNT1","","","",""
"EGR1","","","CD24","RP11-184M15.1","PMP2","","","STC1","CACNG4","HTR3A","","","","",""
"RPL10P9","","","PSCA","SLC7A11","SHANK2","","","CCL19","LINC00163","NOS1","","","","",""
"FAM153B","","","LCN2","RP11-357D18.1","SLN","","","NR4A3","SCUBE1","NGB","","","","",""
"PRL","","","A2ML1","STC2","RP11-158I9.5","","","EGR2","GRPR","CHGA","","","","",""
"ZFP57","","","KRT6A","F13A1","PTHLH","","","CH25H","PAGE4","CHRNA3","","","","",""
"HLA-DQA2","","","KRT5","C4A","LUM","","","HBB","SH2D1A","VAT1L","","","","",""
"HLA-DQB2","","","KRT4","FKBP5","P2RX2","","","HBD","","PIRT","","","","",""
"AC093627.8","","","KRT78","AC145676.2","GRIN2A","","","C11orf96","","GRP","","","","",""
"SERPINE1","","","SCEL","PDK4","TPPP3","","","FOSL1","","ATP1A3","","","","",""
"CHRM2","","","RHCG","NAMPT","WFDC1","","","RND1","","ARHGAP36","","","","",""
"ALKAL1","","","KRT24","SLC26A3","NPTX1","","","NR4A1","","","","","","",""
"RSPO2","","","KRT13","AARD","ACSBG2","","","THBS1","","","","","","",""
"RP11-613D13.8","","","KRT15","LINC01235","MB","","","CTD-2033D15.2","","","","","","",""
"RP11-109L13.1","","","KRT19","GADD45G","MXRA5","","","CTD-2033D15.3","","","","","","",""
"RP11-1100L3.8","","","KRT16","LCN10","CAPN6","","","C2CD4B","","","","","","",""
"FOS","","","SBSN","AKR1C1","","","","HBA2","","","","","","",""
"GABRA5","","","NCCRP1","OLAH","","","","HBA1","","","","","","",""
"CYP1A1","","","CNFN","SVILP1","","","","RASD1","","","","","","",""
"NPIPA5","","","TGM3","NAMPTP1","","","","CCL2","","","","","","",""
"RP11-958N24.2","","","PI3","MKI67","","","","CCL18","","","","","","",""
"PKD1P5","","","CYP4F29P","SAA2","","","","CSF3","","","","","","",""
"CES1P1","","","","SAA1","","","","SOCS3","","","","","","",""
"NPIPB15","","","","CHRDL2","","","","LIPG","","","","","","",""
"TUSC5","","","","RP11-864N7.4","","","","TNFSF14","","","","","","",""
"USP6","","","","MMP3","","","","CTD-3128G10.7","","","","","","",""
"CCDC144A","","","","ZBTB16","","","","ANGPTL4","","","","","","",""
"USP32P1","","","","CD163","","","","HAS1","","","","","","",""
"RPL13P12","","","","RNASE2","","","","CPXM1","","","","","","",""
"USP32P2","","","","SERPINA3","","","","CH507-42P11.8","","","","","","",""
"CTD-2303H24.2","","","","ACSM3","","","","","","","","","","",""
"SNORD3A","","","","MT1M","","","","","","","","","","",""
"TBC1D3L","","","","MT1A","","","","","","","","","","",""
"GH1","","","","MT1G","","","","","","","","","","",""
"CYP4F24P","","","","MT1X","","","","","","","","","","",""
"CYP4F11","","","","HP","","","","","","","","","","",""
"F2RL3","","","","ALOX15B","","","","","","","","","","",""
"COMP","","","","PNMT","","","","","","","","","","",""
"FOSB","","","","GREB1L","","","","","","","","","","",""
"FAM83D","","","","FCGBP","","","","","","","","","","",""
"PCK1","","","","FPR1","","","","","","","","","","",""
"PCP4","","","","VSIG4","","","","","","","","","","",""
"SIK1","","","","AFF2","","","","","","","","","","",""
"PWP2","","","","","","","","","","","","","","",""
"C21orf33","","","","","","","","","","","","","","",""
"AP000350.5","","","","","","","","","","","","","","",""
"GPX1P1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
