"","A-1","A-2","B-1","B-2","C","D","E-1","E-2","F","G","H","I-1","I-2","J","K-1","K-2"
"MTND1P23","HES5","C1QC","ANGPTL7","PLA2G2A","NPPA","RSPO1","CA14","CRLF1","SPRR3","ADAMTS4","CACNA1E","BMP10","THBS4","IGKC","XIST","RPS4Y1"
"MTCO1P12","HIST2H2BF","C1QB","LRRC77P","CHI3L2","NPPB","CGN","B3GALT2","COMP","SFTPB","SELE","XIRP1","CYP4F62P","","IGKV3-20","","ZFY"
"MTCO3P12","HSPA6","FCN3","GRXCR2","S100A12","RP5-934G17.6","ITLN1","LGR6","","CPB1","PTGS2","RP11-766F14.2","CYP4F30P","","JCHAIN","","PRKY"
"GSTM1","RP11-373D23.2","CYP4B1","KCNK17","S100A8","LRRC38","PRG4","LINC01105","","PGC","ATF3","ABRA","SLC5A12","","IGHA2","","TTTY15"
"HMGCS2","BHLHE40","IL1R2","XKR4","ACKR1","ACTA1","LRP2","LINC01880","","CPA1","DUSP2","GJD2","HAMP","","IGHG4","","USP9Y"
"FCGR3B","KLHL40","MARCO","SLITRK6","ELF3","LINC01411","CLDN1","RP11-121C2.3","","PRSS1","TNFAIP6","CTC-296K1.4","","","IGHG2","","DDX3Y"
"RGS1","RP11-274H2.5","TUBA3E","SEC14L5","CHI3L1","RP11-309L24.4","WWC1","SPINK2","","PRSS2","NR4A2","PRR32","","","IGHA1","","UTY"
"TNNI1","ALB","TUBA3D","MIR133A1HG","HK2","ANKRD2","FAM153B","ETNPPL","","PNLIP","CXCL8","","","","IGHG1","","NLGN4Y"
"REN","ESM1","DHRS9","EMILIN3","IL1RL1","ATP1B4","FAM153A","LRRC14B","","KRT6A","CXCL1","","","","IGHG3","","TTTY14"
"RP11-343H5.4","HAPLN1","SLC11A1","AGTR2","GALNT15","","UPK3B","GLP1R","","KRT4","CXCL3","","","","IGHM","","TXLNGY"
"TPO","NIPAL4","CIDEC","","PTX3","","CA9","VWDE","","GP2","EREG","","","","IGLC1","","RP11-424G14.1"
"ACTG2","HSPA1A","ADIPOQ","","RARRES1","","SLC28A3","SOSTDC1","","KRT13","AREG","","","","IGLC2","","KDM5D"
"IL1B","HSPA1B","F13A1","","CXCL6","","ANXA8L1","GPR22","","","EGR1","","","","IGLC3","","EIF1AY"
"PAX8-AS1","C6orf223","SCGN","","SPP1","","ANXA8","LRRN3","","","IRF4","","","","","",""
"SCG2","FNDC1","RP11-114G11.5","","CYP21A1P","","KRT7","LGI3","","","LINC00473","","","","","",""
"MYL3","SFRP4","LEP","","CYP21A2","","BICDL1","KLHL38","","","IL6","","","","","",""
"CLDN18","HILPDA","GPIHBP1","","SERPINE1","","TGM1","SFRP5","","","INHBA","","","","","",""
"CP","RP11-309L24.2","LCN10","","PI15","","GREM1","SYT13","","","TAC1","","","","","",""
"MUC20P1","STC1","LCN6","","TNFRSF11B","","BNC1","OVOS2","","","EGR3","","","","","",""
"UGT2B4","ASPN","MRC1","","CCL19","","MSLN","RP11-81H14.2","","","ARC","","","","","",""
"CXCL9","LCN2","RBP4","","TNC","","CALB2","FAM216B","","","NR4A3","","","","","",""
"CXCL10","HBB","LYVE1","","CHRDL2","","ALOX15","SMOC1","","","EGR2","","","","","",""
"MAB21L2","HBD","SAA2","","SERPINA3","","KRT19","SSTR5-AS1","","","FOSL1","","","","","",""
"SFRP2","FGF23","SAA1","","CA12","","SYT4","GHRH","","","OLR1","","","","","",""
"CXCL14","SLC2A3","LGALS12","","MT1A","","MUC16","TSPEAR","","","GPRC5A","","","","","",""
"RPL10P9","CHMP4BP1","DGAT2","","MT1G","","KLK11","","","","PTHLH","","","","","",""
"ZFP57","HBA2","THRSP","","MT1X","","CPXM1","","","","RND1","","","","","",""
"HLA-U","HBA1","CD163","","HP","","LRRN4","","","","NR4A1","","","","","",""
"HLA-DQA2","CCDC144NL-AS1","GPD1","","CCL11","","SLPI","","","","BDKRB1","","","","","",""
"BMP5","NR1D1","RNASE2","","CCL18","","","","","","THBS1","","","","","",""
"COL9A1","DNAJB1","PLIN1","","CD300E","","","","","","CCL2","","","","","",""
"VGLL2","GDF15","TUSC5","","LAMA1","","","","","","CSF3","","","","","",""
"WBSCR17","RP4-530I15.9","ALOX15B","","LIPG","","","","","","SOCS3","","","","","",""
"PDK4","APCDD1L","RP1-193H18.3","","LRG1","","","","","","FOSB","","","","","",""
"PENK","MXRA5","FCGBP","","TNFSF14","","","","","","HAS1","","","","","",""
"STMN2","ALAS2","SIGLEC10","","CTD-3128G10.7","","","","","","CH507-42P11.8","","","","","",""
"LINC01235","","PCK1","","ANGPTL4","","","","","","SIK1","","","","","",""
"IGFBPL1","","VSIG4","","CD177","","","","","","LIF","","","","","",""
"AQP2","","MT-TY","","LBP","","","","","","","","","","","",""
"KRT2","","MT-TE","","","","","","","","","","","","","",""
"STAB2","","","","","","","","","","","","","","","",""
"MYL2","","","","","","","","","","","","","","","",""
"LINC01629","","","","","","","","","","","","","","","",""
"RP11-7F17.1","","","","","","","","","","","","","","","",""
"CYP1A1","","","","","","","","","","","","","","","",""
"NPIPA5","","","","","","","","","","","","","","","",""
"RP11-958N24.2","","","","","","","","","","","","","","","",""
"NPIPB15","","","","","","","","","","","","","","","",""
"USP6","","","","","","","","","","","","","","","",""
"CCDC144A","","","","","","","","","","","","","","","",""
"USP32P1","","","","","","","","","","","","","","","",""
"RPL13P12","","","","","","","","","","","","","","","",""
"USP32P2","","","","","","","","","","","","","","","",""
"CTD-2303H24.2","","","","","","","","","","","","","","","",""
"SNORD3A","","","","","","","","","","","","","","","",""
"TBC1D3L","","","","","","","","","","","","","","","",""
"SOST","","","","","","","","","","","","","","","",""
"CYP4F24P","","","","","","","","","","","","","","","",""
"PWP2","","","","","","","","","","","","","","","",""
"C21orf33","","","","","","","","","","","","","","","",""
"ICOSLG","","","","","","","","","","","","","","","",""
"AP000350.5","","","","","","","","","","","","","","","",""
"GPX1P1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
