"","A","B-1","B-2","C","D","E","F-1","F-2","G-1","G-2","H-1","H-2"
"GSTM1","MTND1P23","NPPA","MYOC","PLA2G2A","CYP4B1","REG1A","RP11-767I20.1","XIST","TNFRSF4","LPAR3","CA14","GAP43"
"ITLN1","MTCO1P12","NPPB","CXCL14","SLAMF1","GALNT15","ALB","RPS4Y1","","CYR61","HMGCS2","LINC01880","RP11-309L24.4"
"TNNI1","MTCO3P12","ACTA1","RET","ELF3","SCGN","PGC","ZFY","","ADAMTS4","CH17-472G23.4","CPNE4","TNC"
"RP11-343H5.4","MTCO1P40","MARCO","DLK1","CHI3L1","PKHD1L1","CPA1","PRKY","","HSPA6","HFE2","SMCO1","ADAM12"
"SFTPB","MT-TY","DHRS9","EMILIN3","IL1R2","LCN10","PRSS1","TTTY15","","SELE","F5","AC007126.1","LIPG"
"PAX8-AS1","MT-TS1","XIRP1","","IL1RL1","SFRP5","PRSS2","USP9Y","","PTGS2","C1orf105","RP11-121C2.3",""
"CIDEC","","HOPX","","RARRES1","","KRT6A","DDX3Y","","RGS1","LAD1","LRRC14B",""
"PRSS45","","RP11-766F14.2","","AREG","","KRT4","UTY","","ATF3","RYR2","CTD-2083E4.7",""
"PRSS44","","RP11-309L24.2","","PDK4","","KRT13","TTTY14","","RP11-373D23.2","LINC01105","LINC02208",""
"ADIPOQ","","SLCO5A1","","PI15","","","TXLNGY","","DUSP2","APOB","CCRL1P1",""
"UGT2B4","","ABRA","","CCL19","","","RP11-424G14.1","","NR4A2","SMYD1","SFRP1",""
"EREG","","TNFRSF11B","","SERPINA3","","","KDM5D","","ADAMTS9-AS1","TMEM182","RP11-1081M5.2",""
"RPL10P9","","ANKRD1","","CCL18","","","EIF1AY","","PTX3","AC013275.2","RP11-1081M5.3",""
"FAM153B","","ANKRD2","","TNFSF14","","","","","CXCL8","TUBA3E","RP11-1081M5.1",""
"FAM153A","","CD163","","ANGPTL4","","","","","CXCL1","TUBA3D","TCF24",""
"ZFP57","","POSTN","","CD177","","","","","CXCL3","XIRP2","LCNL1",""
