"","A","B","C","D","E","F","G-1","G-2","H","I","J"
"MTND1P23","AGMAT","CELA3A","C1QA","RP11-96L14.9","SFN","MFSD2A","RP11-550H2.2","SSTR5-AS1","FCRL5","RPS4Y1","ZFY"
"MTCO1P12","RNF186","CPB1","C1QC","CYP4A11","ADAMTS4","REG3G","NTNG1","","IGKC","ZFY-AS1","PRKY"
"MTCO3P12","DIO1","CLPS","C1QB","CYP4A22","INHBB","REG1A","NPHS2","","IGKJ5","RP11-115H13.1","USP9Y"
"ANGPTL7","FAM151A","PRSS1","MARCO","LINC01702","CCL20","LTF","CHI3L1","","IGKJ4","GYG2P1","DDX3Y"
"PLA2G2A","ANGPTL3","PRSS2","MS4A4A","AGT","PTX3","RARRES1","AC074286.1","","IGKJ3","TTTY15","UTY"
"FCN3","SYT6","PNLIP","CD163","UGT1A9","IL6","SLC34A2","PCOLCE2","","IGKJ2","TMSB4Y","TXLNGY"
"EDN2","HAO2","","CD300E","SLC2A2","SERPINE1","FGB","RP11-752D24.2","","IGKJ1","TTTY14","RP11-424G14.1"
"SLC44A5","PKLR","","CD209","CPN2","VGF","FGA","TRIM50","","IGKV4-1","EIF1AY","KDM5D"
"GSTM1","FMO1","","SIGLEC10","SLC17A1","PI15","FGG","CALB1","","IGKV1-5","",""
"HIST2H2BF","CACNA1E","","SIGLEC1","SLC17A3","FOSL1","C2","CRB2","","IGKV3-11","",""
"S100A12","PM20D1","","VSIG4","MCCD1","C2CD4A","C4A","PTPRO","","IGKV3-15","",""
"ACKR1","FCAMR","","","GDA","ANGPTL4","TRPV5","DDN","","IGKV3-20","",""
"HSPA6","LINC01874","","","CYP27B1","F2RL3","LCN2","PTPRQ","","IGKV2-28","",""
"SELE","NAT8","","","SLC47A2","","HABP2","LINC01055","","IGKV1-39","",""
"CFHR1","NAT8B","","","LBP","","SAA2","CRABP1","","JCHAIN","",""
"REN","FABP1","","","PCK1","","SAA1","SLC12A3","","MZB1","",""
"RP11-343H5.4","UPP2","","","","","NNMT","RPS24P17","","MS4A1","",""
"CR2","AGXT","","","","","OLFM4","SOST","","IGHA2","",""
"KCNK2","SLC22A13","","","","","GPX2","LINC01896","","IGHG4","",""
"LINC01291","COL6A4P2","","","","","SERPINA3","NPHS1","","IGHG2","",""
"IL1RL1","RP11-451G4.2","","","","","MEGF11","KLK1","","IGHGP","",""
"NR4A2","ALB","","","","","HP","KLK6","","IGHA1","",""
"WNT10A","AFM","","","","","LRG1","KLK7","","IGHG1","",""
"ECEL1","RP11-622A1.2","","","","","TNFSF14","","","IGHG3","",""
"C2orf54","CTD-3080P12.3","","","","","C3","","","IGHD","",""
"MUC13","SLC6A19","","","","","CTD-3128G10.7","","","IGHM","",""
"CPA3","LINC01020","","","","","SLPI","","","IGHJ4","",""
"CP","AGXT2","","","","","NKAIN4","","","FAM30A","",""
"TMEM207","TMEM174","","","","","FLJ16779","","","IGHV1-2","",""
"UGT2A1","BHMT","","","","","CITED1","","","IGHV3-7","",""
"EGF","CTXN3","","","","","","","","IGHV3-15","",""
"SFRP2","SLC36A2","","","","","","","","IGHV1-18","",""
"SPINK1","SLC34A1","","","","","","","","IGHV3-21","",""
"RPL10P9","SLC22A7","","","","","","","","IGHV3-23","",""
"PRL","RP11-397G17.1","","","","","","","","IGHV3-30","",""
"HLA-DQA2","GSTA2","","","","","","","","IGHV4-39","",""
"HLA-DQB2","GSTA1","","","","","","","","IGHV5-51","",""
"PGC","RP3-335E1.1","","","","","","","","IGHV4-59","",""
"RP11-30P6.6","PLG","","","","","","","","IGLV6-57","",""
"CNR1","RP11-503C24.6","","","","","","","","IGLV1-51","",""
"RSPO3","RP11-90P13.1","","","","","","","","IGLV1-47","",""
"AGR2","HECW1","","","","","","","","IGLV1-44","",""
"SFRP4","DDC","","","","","","","","IGLV1-40","",""
"EPO","LINC01510","","","","","","","","IGLV3-25","",""
"AKR1B10","ASB15","","","","","","","","IGLV2-23","",""
"RP13-452N2.1","DPYS","","","","","","","","IGLV3-21","",""
"PKHD1L1","ALDOB","","","","","","","","IGLV3-19","",""
"SLC30A8","SLC34A3","","","","","","","","IGLV2-14","",""
"CYP11B1","CALML3-AS1","","","","","","","","IGLV2-11","",""
"CCL19","CALML3","","","","","","","","IGLV2-8","",""
"CCL21","A1CF","","","","","","","","IGLV3-1","",""
"NR4A3","PRAP1","","","","","","","","IGLC1","",""
"FCN2","SLC5A12","","","","","","","","IGLC2","",""
"LIPF","GLYATL1","","","","","","","","IGLC3","",""
"MUC6","SLC22A6","","","","","","","","","",""
"H19","SLC22A8","","","","","","","","","",""
"HBB","SLC22A11","","","","","","","","","",""
"HBD","SLC22A12","","","","","","","","","",""
"GUCY2EP","FOLH1B","","","","","","","","","",""
"DRD2","APOC3","","","","","","","","","",""
"MFAP5","GPD1","","","","","","","","","",""
"ATP12A","SLC39A5","","","","","","","","","",""
"POSTN","PAH","","","","","","","","","",""
"GUCY1B2","DAO","","","","","","","","","",""
"MYH6","HPD","","","","","","","","","",""
"GREM1","PROZ","","","","","","","","","",""
"HDC","RNF212B","","","","","","","","","",""
"CYP1A1","CPNE6","","","","","","","","","",""
"HBA2","RP11-369C8.1","","","","","","","","","",""
"HBA1","TCL6","","","","","","","","","",""
"TPSB2","GATM","","","","","","","","","",""
"TPSAB1","STRA6","","","","","","","","","",""
"NPIPB2","RP11-76I7.1","","","","","","","","","",""
"UMOD","CTD-2194A8.2","","","","","","","","","",""
"HPR","CTD-3076M17.1","","","","","","","","","",""
"NPIPB15","ACSM2B","","","","","","","","","",""
"USP32P1","CHP2","","","","","","","","","",""
"CCL23","SLC5A2","","","","","","","","","",""
"G6PC","MT1G","","","","","","","","","",""
"C1QL1","MT1H","","","","","","","","","",""
"GH1","CLEC18A","","","","","","","","","",""
"CYP4F11","CLEC18C","","","","","","","","","",""
"PSG4","NECAB2","","","","","","","","","",""
"FOSB","SLC13A2","","","","","","","","","",""
"CYP24A1","PIPOX","","","","","","","","","",""
"CH507-152C13.3","RP1-56K13.5","","","","","","","","","",""
"SIK1","LINC00671","","","","","","","","","",""
"C21orf33","KCNH6","","","","","","","","","",""
"WNT7B","APOH","","","","","","","","","",""
"RP11-706O15.3","ENPP7","","","","","","","","","",""
"GPX1P1","CYP4F3","","","","","","","","","",""
"ALAS2","CYP4F2","","","","","","","","","",""
"XIST","PRODH2","","","","","","","","","",""
"NLGN4Y","CYP2B6","","","","","","","","","",""
"","ASPDH","","","","","","","","","",""
"","HNF4A-AS1","","","","","","","","","",""
"","SLC13A3","","","","","","","","","",""
"","CHRNA4","","","","","","","","","",""
"","MIOX","","","","","","","","","",""
"","XPNPEP2","","","","","","","","","",""
