"","A-1","A-2","B","C","D","E","F","G","H","I-1","I-2"
"MTND1P23","CFAP74","PLA2G2A","CELA3B","C1QA","HIST2H2BF","ACTA1","IRF4","DEFA3","FAM83A-AS1","PZP","RPS4Y1"
"MTCO3P12","FNDC5","RAB3B","CELA3A","C1QC","HSPA6","SFTPB","FOXQ1","CA1","MT1M","XIST","ZFY"
"GSTM1","CYP4A11","MAB21L3","REG1B","C1QB","PTGS2","KRT1","PPP1R3G","HBB","MT1JP","","RP11-115H13.1"
"CFHR3","CYP4A22","CRP","REG1A","FCN3","ATF3","MYBPC1","AKAP12","HBD","MT1A","","PRKY"
"CFHR1","FAM151A","PAPPA2","CPB1","CD5L","NR4A2","MYL2","IGFBP1","HBA2","MT1DP","","TTTY15"
"RP11-343H5.4","MROH7","MYBPH","CLPS","MARCO","CPS1-IT1","MYH6","EPO","HBA1","MT1F","","USP9Y"
"FCAMR","NBPF13P","CHI3L1","PGC","CRHBP","CXCL8","MYH7","SERPINE1","SLC4A1","MT1H","","DDX3Y"
"SULT1C2","CA14","SUSD4","CPA2","TIMD4","SLED1","CKM","HILPDA","ALAS2","","","UTY"
"AC068282.3","PKLR","AC010969.1","CPA1","LYVE1","EGR1","","FOSL1","","","","NLGN4Y"
"UPP2","RHBG","IL1RL1","PRSS1","CD163","HSPA1A","","FGF23","","","","TTTY14"
"VIL1","USH2A","CCL20","PRSS2","CLEC1B","HSPA1B","","SDS","","","","TXLNGY"
"ACKR3","SRD5A2","CIDEC","LIPF","TOP2A","NR4A3","","CHAC1","","","","RP11-424G14.1"
"SLITRK3","UGT1A9","LINC02158","PNLIP","VSIG4","NR4A1","","GDF15","","","","KDM5D"
"UGT2B17","MROH2A","MUC13","GP2","IL13RA2","FOS","","CH507-42P11.8","","","","EIF1AY"
"UGT2A1","RP11-263G22.1","S100P","CTRB2","","CTD-2033D15.2","","MAFF","","","",""
"MUC7","ESPNL","SPP1","CTRB1","","FOSB","","APLN","","","",""
"CXCL13","C2orf54","DNAH5","","","FGF21","","","","","",""
"CLGN","AC104809.2","SPINK1","","","LIF","","","","","",""
"CTD-3080P12.3","UROC1","LINC01010","","","","","","","","",""
"TENM2","RP11-372E1.4","RP13-143G15.4","","","","","","","","",""
"PRL","FETUB","BHLHA15","","","","","","","","",""
"HLA-DQA2","LINC00885","NPTX2","","","","","","","","",""
"IP6K3","GBA3","LCN2","","","","","","","","",""
"MLIP","UGT2B15","RET","","","","","","","","",""
"RP11-30P6.6","UGT2B10","KNDC1","","","","","","","","",""
"MUC3A","UGT2B27P","PHLDA2","","","","","","","","",""
"AKR1B10","SULT1E1","CALCA","","","","","","","","",""
"AOC1","HSD17B13","SAA3P","","","","","","","","",""
"AC021218.2","ADH4","SAA2","","","","","","","","",""
"LINC02153","ADH1A","SAA1","","","","","","","","",""
"XKR9","ADH1C","C11orf96","","","","","","","","",""
"CCAT1","CMBL","RP11-1036E20.7","","","","","","","","",""
"RBMXP2","BHMT","APOA4","","","","","","","","",""
"CCL19","CTC-505O3.2","AVPR1A","","","","","","","","",""
"HKDC1","LECT2","SLC7A1","","","","","","","","",""
"CYP26A1","NPY6R","DIO3","","","","","","","","",""
"MUC5B","CTC-558O2.1","AHNAK2","","","","","","","","",""
"LRRC55","RP11-39H3.2","C2CD4A","","","","","","","","",""
"MYEOV","GNMT","FAM169B","","","","","","","","",""
"RP11-817J15.3","GSTA7P","TNFRSF12A","","","","","","","","",""
"ASCL1","GSTA2","RP11-77H9.6","","","","","","","","",""
"LINC00598","GSTA1","SOCS1","","","","","","","","",""
"DHRS2","LGSN","TMC5","","","","","","","","",""
"TRIM9","GCK","VAC14-AS1","","","","","","","","",""
"AMN","PEG10","RASD1","","","","","","","","",""
"IGHG3","CYP3A7","SOCS3","","","","","","","","",""
"GREM1","CYP3A4","MAPK4","","","","","","","","",""
"ZG16B","CYP3A43","HAMP","","","","","","","","",""
