"","A","B","C-1","C-2","D","E","F-1","F-2","G","H-1","H-2"
"MTND1P23","TTLL10","PLA2G2A","NCMAP","VCAM1","SPRR3","IGKV6-21","IL1R2","APLNR","DEFA4","XIST","RPS4Y1"
"EDN2","CFAP74","MYOC","MFSD2A","HIST2H2BF","REG1A","IGKV2-24","CCL20","","DEFA3","","ZFY"
"GSTM1","C1orf158","SFRP2","CHIAP2","ADAMTS4","CPB1","IGKV2D-29","CXCL5","","MMP8","","PRKY"
"ITLN1","TEKT2","PI16","CHIA","SELE","PRL","IGHA2","ABCC8","","OLFM4","","TTTY15"
"TNR","FAM183A","ADCYAP1","FMO5","PTGS2","CPA1","IGHG4","SAA2","","MPO","","USP9Y"
"RP11-343H5.4","TSPAN1","CPXM1","CHIT1","NEURL3","PRSS1","IGHA1","SAA1","","PRTN3","","DDX3Y"
"LINC01291","LDLRAD1","","SLC26A9","PTX3","PRSS2","IGHD","HP","","CEACAM8","","UTY"
"RP11-77A13.1","C1orf87","","PIGR","ALB","KRT6A","IGHV6-1","KRT16P2","","BPI","","NLGN4Y"
"GPR15","ERICH3","","C4BPA","CXCL8","GP2","IGHV1-2","CD177","","","","TTTY14"
"CTD-3080P12.3","C1orf194","","SFTPB","CXCL10","","IGHV1-3","LBP","","","","TXLNGY"
"BTNL3","SPAG17","","AC008268.1","CXCL11","","IGHV4-4","PI3","","","","RP11-424G14.1"
"HLA-DQA2","CCDC190","","TMEM163","HIST1H2BH","","IGHV2-5","","","","","KDM5D"
"BRINP1","DRC1","","SCN1A","HSPA1A","","IGHV5-10-1","","","","","EIF1AY"
"MMP1","SRD5A2","","LRP2","HSPA1B","","IGHV1-18","","","","",""
"NTM","DNAH6","","CCDC141","IL6","","IGHV3-20","","","","",""
"SLCO1A2","VWA3B","","SLC6A20","HILPDA","","IGHV3-21","","","","",""
"MYH7","MAP3K19","","LAMP3","STC1","","IGHV1-24","","","","",""
"CYP1A1","KIAA2012","","FGFBP1","PI15","","IGHV2-26","","","","",""
"RP11-958N24.2","CFAP65","","SLC34A2","CA1","","IGHV3-30","","","","",""
"NPIPB15","TUBA4B","","HHIP","CCL19","","IGHV3-33","","","","",""
"CCDC144A","CROCC2","","FGA","HBB","","IGHV4-39","","","","",""
"USP32P1","AC104809.2","","FGG","HBD","","IGHV3-48","","","","",""
"CTD-2303H24.2","SRGAP3-AS2","","F11","RND1","","IGHV5-51","","","","",""
"SLC6A4","CDHR4","","SLCO4C1","IFNG","","IGHV4-59","","","","",""
"TBC1D3L","DNAH12","","DPCR1","RP11-291I6.2","","IGHV1-69","","","","",""
"CLEC4M","SNTN","","PGC","GREM1","","IGHV1-69D","","","","",""
"FOSB","HHLA2","","C6orf223","C2CD4A","","IGHV2-70","","","","",""
"SIK1","CFAP100","","ADGRF1","C2CD4B","","IGLV4-69","","","","",""
"C21orf33","RP11-203H19.2","","ROS1","HBA2","","IGLV8-61","","","","",""
"GPX1P1","ZBBX","","AGR2","HBA1","","IGLV6-57","","","","",""
"","SOX2","","AZGP1","MT1A","","IGLV10-54","","","","",""
"","MUC4","","LHFPL3-AS2","SNORD3A","","IGLV9-49","","","","",""
"","CFAP99","","CFTR","CCL2","","IGLV1-47","","","","",""
"","PROM1","","LGI3","CCL11","","IGLV7-46","","","","",""
"","CXCL6","","SFTPC","CSF3","","IGLV5-45","","","","",""
"","TTC29","","SDR16C5","SLC4A1","","IGLV1-44","","","","",""
"","C5orf49","","ATP6V0D2","LIPG","","IGLV1-40","","","","",""
"","CAPSL","","RP11-238K6.1","SERPINB2","","IGLV3-27","","","","",""
"","CCNO","","SLC46A2","CTD-3128G10.7","","IGLV3-25","","","","",""
"","FAM81B","","HKDC1","HAS1","","IGLV3-21","","","","",""
"","SCGB3A2","","SFTPA2","LIF","","IGLV3-19","","","","",""
"","FABP6","","SFTPA1","ALAS2","","IGLV2-18","","","","",""
"","SCGB3A1","","SFTPD","","","IGLV2-11","","","","",""
"","STMND1","","ANKRD1","","","IGLV3-10","","","","",""
"","ANKRD66","","CRTAC1","","","IGLV3-9","","","","",""
"","GSTA2","","DMBT1","","","IGLV2-8","","","","",""
"","GSTA1","","ELF5","","","IGLV3-1","","","","",""
"","ADGB","","RP11-476D10.1","","","IGLC7","","","","",""
"","C6orf118","","RMST","","","","","","","",""
"","C7orf57","","SLC5A8","","","","","","","",""
"","ABCA13","","PLA2G1B","","","","","","","",""
"","RPL13AP17","","FREM2","","","","","","","",""
"","CDHR3","","CPB2","","","","","","","",""
"","EFCAB1","","PLA2G4E","","","","","","","",""
"","PSCA","","PLA2G4F","","","","","","","",""
"","C9orf24","","RASGRF1","","","","","","","",""
"","DNAI1","","IRX6","","","","","","","",""
"","FAM166B","","SLC22A31","","","","","","","",""
"","C9orf135","","ALOX15B","","","","","","","",""
"","MORN5","","PNMT","","","","","","","",""
"","WDR38","","FUT3","","","","","","","",""
"","CFAP157","","CXCL17","","","","","","","",""
"","CFAP77","","NAPSA","","","","","","","",""
"","CCDC187","","PCSK2","","","","","","","",""
"","SPAG6","","AP000350.5","","","","","","","",""
"","ARMC3","","LL22NC03-N95F10.1","","","","","","","",""
"","ENKUR","","PLA2G3","","","","","","","",""
"","MSMB","","AGTR2","","","","","","","",""
"","FRMPD2","","SLC6A14","","","","","","","",""
"","DYDC2","","","","","","","","","",""
"","CFAP43","","","","","","","","","",""
"","PLEKHS1","","","","","","","","","",""
"","CFAP46","","","","","","","","","",""
"","MUC5AC","","","","","","","","","",""
"","MUC5B","","","","","","","","","",""
"","C11orf16","","","","","","","","","",""
"","MS4A8","","","","","","","","","",""
"","SCGB1A1","","","","","","","","","",""
"","C11orf88","","","","","","","","","",""
"","TMPRSS4","","","","","","","","","",""
"","TSPAN19","","","","","","","","","",""
"","LRRIQ1","","","","","","","","","",""
"","PLEKHG7","","","","","","","","","",""
