"","A-1","A-2","B-1","B-2","C","D-1","D-2","E","F","G-1","G-2"
"MTND1P23","DRAXIN","PM20D1","PLA2G2A","PTCH2","CELA3A","PTGER3","GABRG1","ACTA1","IGKC","XIST","RPS4Y1"
"MTCO1P12","SPOCD1","ETNPPL","FCN3","CRABP2","SPRR3","DPT","","SFTPB","IGKJ4","","ZFY"
"PCSK9","CFHR3","SLC36A2","CYP4B1","FCER1A","REG1A","MYOC","","MYL1","IGKJ2","","PRKY"
"GSTM1","CFHR1","MGAM2","TACSTD2","ADAMTS4","CPB1","PRG4","","TG","IGKJ1","","TTTY15"
"HIST2H2BF","UCN2","CNTF","CHI3L2","SELE","PGC","G0S2","","ANKRD1","IGKV4-1","","USP9Y"
"HORMAD1","GAP43","AP001350.4","S100A9","FMO1","CPA1","CIDEC","","NRAP","IGKV1-5","","DDX3Y"
"RP4-765C7.2","RP11-275H4.1","DGAT2","S100A8","RGS16","PRSS1","PCOLCE2","","KRT2","IGKV3-20","","UTY"
"RP11-343H5.4","FGF5","KCNA1","CHI3L1","PTGS2","PRSS2","ADIPOQ","","KRT1","JCHAIN","","TMSB4Y"
"RP11-527D7.1","HLA-DRB5","FAIM2","CAMK1G","LHCGR","LIPF","KLB","","MYBPC1","IGHA2","","NLGN4Y"
"GTF2A1L","TFAP2B","KCTD4","HSD11B1","LRRTM1","PNLIP","LVRN","","MYL2","IGHG4","","TTTY14"
"ACTG2","NEFL","SLITRK1","MAP1LC3C","EDAR","KRT6A","LEP","","MYH6","IGHG2","","TXLNGY"
"LINC01291","RASEF","RP11-23P13.6","IL1R2","LINC00607","KRT4","PRRT4","","MYH7","IGHGP","","RP11-424G14.1"
"SULT1C2","MGAT4C","SHISA9","KCNJ3","CX3CR1","GP2","FABP4","","MYH1","IGHA1","","KDM5D"
"PAX8-AS1","CPXM1","CHP2","SLC11A1","CXCL9","CTRB2","AQP7","","MYH2","IGHG1","","EIF1AY"
"MARCO","","KLK6","TIMP4","CXCL10","CTRB1","RBP4","","CKM","IGHG3","",""
"AC068282.3","","KLK7","GALNT15","SFRP2","KRT13","LGALS12","","MYBPC2","IGHM","",""
