"","A","B-1","B-2","C-1","C-2","D","E","F","G-1","G-2","H","I","J-1","J-2"
"GSTM1","MTND1P23","HES5","PLA2G2A","LINC00982","PAPPA2","CELA3A","DMBX1","CYR61","NR1I3","CX3CR1","IGKC","CASR","XIST","RPS4Y1"
"NUP210L","KRT5","LHX3","ADAMTS4","PRDM16","T","SPRR3","BSND","ATF3","PCP4L1","CTD-3080P12.3","IGKV4-1","SPINK2","","ZFY"
"RP11-343H5.4","KRT2","","SELE","FCN3","GHRHR","REG1A","MYBPHL","RP11-373D23.2","AREG","APLNR","IGKV1-5","GNRHR","","PRKY"
"LINC01291","KRT1","","MYBPH","GRIK3","SEPT14","CPB1","CHIA","EGR4","H19","MAG","IGKV3-20","UGT2A1","","TTTY15"
"PAX8-AS1","MYL2","","CHI3L1","PODN","HAL","CLPS","TSHB","DUSP2","C2CD4A","CD22","JCHAIN","CGA","","USP9Y"
"AC068282.3","KRT14","","AGT","SLC1A7","RP11-554D14.8","PGC","LMX1A","NR4A2","SCNN1G","","IGHA2","FSHB","","DDX3Y"
"ACKR4","","","IL1RL1","LEPR","RP11-554D14.6","CPA1","CTSE","NPPC","PNMT","","IGHG2","MMP13","","UTY"
"MUC20P1","","","SLC11A1","AK5","LINC00598","PRSS1","AVPR1B","HADHAP1","RP11-672L10.2","","IGHA1","KRT40","","TMSB4Y"
"MUC7","","","SLC34A2","GPR88","GH2","PRSS2","POMC","LINC00473","ADCYAP1","","IGHG1","PPP1R27","","NLGN4Y"
"IBSP","","","SULT1E1","CHI3L2","CSH1","LIPF","LINC01267","EGR3","","","IGHG3","MC2R","","TTTY14"
"ESM1","","","CXCL8","CASQ2","CSHL1","PNLIP","ARPP21","ARC","","","IGHM","RAX2","","TXLNGY"
"RP11-195E2.1","","","CXCL2","BCAN","GH1","KRT6A","SYNPR","NR4A3","","","BPIFA1","TGFBR3L","","RP11-424G14.1"
"CARTPT","","","TREM1","ATP1A2","CD79B","KRT4","IRX4","EGR2","","","IGLV2-14","LHB","","KDM5D"
"RPL10P9","","","IL6","HSPA6","RP5-984P4.6","RHCG","HSPB3","NPAS4","","","IGLC1","NRK","","EIF1AY"
"PRL","","","SERPINE1","HSPA7","","GP2","RP11-91H12.1","NR4A1","","","IGLC2","","",""
"HLA-U","","","DEFB1","PRRX1","","KRT13","CRISP2","FOSB","","","IGLC3","","",""
"HLA-DQA2","","","STC1","TNN","","","AKR1B10","SIK1","","","","","",""
"HLA-DQB2","","","LCN2","ANGPTL1","","","MNX1","","","","","","",""
"NPY","","","UCN3","HMCN1","","","RSPO2","","","","","","",""
"CSMD1","","","ANKRD1","PRG4","","","CEL","","","","","","",""
"PENK","","","SAA2","RGS1","","","CELP","","","","","","",""
"CA1","","","SAA1","GPR37L1","","","GATA3-AS1","","","","","","",""
"CALB1","","","C11orf96","KCNK2","","","GPHA2","","","","","","",""
"SLC30A8","","","FOSL1","LEFTY2","","","GAL","","","","","","",""
"AGAP7P","","","NNMT","OSR1","","","TRIM29","","","","","","",""
"HBD","","","CD163","CYP1B1","","","OVOS2","","","","","","",""
"OTOG","","","GPRC5A","LHCGR","","","ASCL1","","","","","","",""
"NTS","","","KRT7","ACTG2","","","CUX2","","","","","","",""
"NPIPA5","","","KRT7-AS","SFTPB","","","PHF2P2","","","","","","",""
"RP11-958N24.2","","","MEDAG","SCN1A","","","HS3ST6","","","","","","",""
"ANKRD26P1","","","SERPINA3","B3GALT1","","","CHRNE","","","","","","",""
"NPIPB15","","","FGF7","FRZB","","","CRHR1","","","","","","",""
"USP32P1","","","MT1M","PLCL1","","","SPPL2C","","","","","","",""
"RPL13P12","","","MT1A","FZD5","","","PMAIP1","","","","","","",""
"USP32P2","","","HP","FN1","","","CDH7","","","","","","",""
"CTD-2303H24.2","","","CSF3","SCN5A","","","RP4-737E23.2","","","","","","",""
"SNORD3A","","","TNS4","SEMA3G","","","C20orf166-AS1","","","","","","",""
"TBC1D3L","","","KRT17","AGTR1","","","RP5-983L19.2","","","","","","",""
"SLC4A1","","","SOCS3","CPA3","","","","","","","","","",""
"MAPK8IP1P2","","","LRG1","CP","","","","","","","","","",""
"CYP4F24P","","","ANGPTL4","P2RY1","","","","","","","","","",""
