"","A-1","A-2","B-1","B-2","C","D","E-1","E-2","F","G","H","I","J","K-1","K-2"
"MTND1P23","RP11-465B22.8","CD163","PADI1","CAPN13","PLA2G2A","CELA3A","RAB3B","ASB5","FCRL5","ACTA1","ACTN2","TGM4","MUC13","SLITRK3","ESM1"
"GSTM1","MIR205HG","","PADI3","TFCP2L1","SPOCD1","REG1A","HMGCS2","HSPB3","IGKC","MYL1","CXCL13","SLC6A19","ORM1","NEFM",""
"TNNI1","FOXI1","","CLCA2","S100P","CHI3L2","CPB1","SLC45A3","AKR1B10","IGKJ5","XIRP1","PITX2","GSTA1","ORM2","WT1",""
"RP11-343H5.4","HIST1H2BF","","CLCA4","TMPRSS11E","ADAMTS4","CLPS","AC092635.1","SCARA5","IGKJ4","TNNC1","HAPLN1","AGR2","RP5-1031D4.3","MFAP5",""
"LINC01291","HIST1H4E","","VTCN1","RP11-115D19.1","CHI3L1","CPA1","AC016730.1","CHRDL2","IGKJ3","PI16","FBXL21","PSCA","MT1G","SERTM1",""
"CXCL10","HIST1H2BH","","ELF3","PGC","LINC00473","PRSS1","OTX1","RP11-864N7.4","IGKJ2","TRDN","BMP5","NXPE4","MT1H","GREM1",""
"LIX1","CYP2W1","","RP11-510N19.5","RP11-395B7.2","IL6","PRSS2","FAR2P1","MMP3","IGKJ1","ANKRD1","VSTM2A","SLC39A2","SLC6A14","ACTC1",""
"PRL","RP11-569G13.3","","PIGR","MUC12","SERPINE1","LIPF","CYP4F62P","FAM83D","IGKV4-1","NRAP","CA3","PLA2G4D","","",""
"HLA-DQA2","TBC1D3L","","CAPN8","KRT7","FGL1","PNLIP","CYP4F30P","WISP2","IGKV1-5","TNNT3","H19","SERPINB11","","",""
"CGA","KC6","","LINC02009","KRT7-AS","CCL19","CTRB2","FAR2P3","","IGKV3-11","MYL2","NELL2","CYP4F8","","",""
"PCA3","SLC14A1","","LTF","KRT5","SAA2","","FAR2P4","","IGKV3-15","MYH6","TBX5","TFF1","","",""
"MUC6","LINC01896","","FAM3D","GCNT3","SAA1","","KLF2P4","","IGKV3-20","MYH7","C1QL1","","","",""
"HBB","SALL3","","MUC4","SCNN1G","SERPINA3","","TUBA3D","","IGKV1-39","MYH2","TBX4","","","",""
"GAL","NTF4","","SLC34A2","KRT16P6","CSF3","","DPP4","","JCHAIN","CKM","KCNQ2","","","",""
"CTSG","","","CXCL8","KRT16P2","","","TIMM8AP1","","MS4A1","MYBPC2","MLC1","","","",""
"CHGA","","","CXCL1","RP11-58O9.2","","","PDE11A","","IGHA2","TNNT1","","","","",""
"HBA2","","","GABRP","TNS4","","","PCGEM1","","IGHG4","","","","","",""
"PRM2","","","SCGB3A1","KRT23","","","FEV","","IGHG2","","","","","",""
"NPIPB15","","","TRIM31","KRT15","","","TRPM8","","IGHGP","","","","","",""
"CCDC144A","","","ADGRF1","KRT17","","","ANO7","","IGHA1","","","","","",""
"USP32P1","","","SHH","DSCAM-AS1","","","HGD","","IGHG1","","","","","",""
"USP32P2","","","GSDMC","","","","EFCAB12","","IGHG3","","","","","",""
"SNORD3A","","","LY6D","","","","CPNE4","","IGHD","","","","","",""
"GH1","","","LCN2","","","","RPL7P16","","IGHM","","","","","",""
"ADCYAP1","","","ANXA8","","","","ACPP","","IGHV1-18","","","","","",""
"CYP4F22","","","PLEKHS1","","","","RP11-33A14.1","","IGHV3-23","","","","","",""
"CYP4F24P","","","DMBT1","","","","CWH43","","IGHV3-30","","","","","",""
"COMP","","","MUC5B","","","","RP11-452C8.1","","IGHV4-39","","","","","",""
"NLRP2","","","SCGB1A1","","","","PCAT4","","IGHV5-51","","","","","",""
"SEMG1","","","MMP7","","","","LINC01207","","IGLV1-40","","","","","",""
"SEMG2","","","TMPRSS4","","","","HADHAP1","","IGLV3-25","","","","","",""
"SIK1","","","PCDH8","","","","IRX4","","IGLV2-23","","","","","",""
"C21orf33","","","OLFM4","","","","CARTPT","","IGLV3-21","","","","","",""
"AP000350.5","","","GPX2","","","","SPDEF","","IGLV3-19","","","","","",""
