"","A-1","A-2","B-1","B-2","C","D","E-1","E-2","F","G-1","G-2","H"
"MTND1P23","CA6","ANGPTL7","PLA2G2A","COL6A5","CELA3A","CHI3L2","HIST2H2BF","FLG2","ADAMTS4","LINC01698","XIST","IGKC"
"EDN2","CLCNKA","AADACL3","PROK1","CCL19","SPRR3","LCE3D","HIST1H1E","LCE5A","SELE","SRY","","IGKV1-5"
"SLC44A5","PADI2","PADI3","MAP1LC3C","KRT2","REG1A","SPRR2D","HIST1H4E","CRCT1","IL6","RPS4Y1","","IGKV3-20"
"GSTM1","KIAA1324","OXCT2","APOB","MUC16","SFTPB","SPRR2A","HIST1H2BG","LINC00302","FOSL1","ZFY","","JCHAIN"
"HORMAD1","VTCN1","COL11A1","TIMP4","","CPB1","SPRR2B","HIST1H2AE","LCE2D","CCL2","PRKY","","IGHA2"
"HSPA6","HMGCS2","HAO2","GALNT15","","ALB","SPRR2E","HIST1H1D","LCE2C","CSF3","TTTY15","","IGHG2"
"FCGR3B","F5","HSD3B1","PTX3","","PGC","SPRR2G","","LCE2B","SOCS3","USP9Y","","IGHA1"
"RP4-765C7.2","ADORA1","TCHH","ADH6","","CPA1","S100A9","","LCE2A","","DDX3Y","","IGHG1"
"RP11-343H5.4","PIGR","SPRR4","GPX3","","PRSS1","S100A8","","KPRP","","UTY","","IGHG3"
"ATF3","G0S2","PRR9","STC2","","PRSS2","S100A7A","","LCE1F","","TMSB4Y","","IGLC1"
"LINC01291","CHRM3","S100A3","PDK4","","PNLIP","S100A7","","LCE1E","","NLGN4Y","","IGLC2"
"CXCL9","DNER","PKLR","DKK1","","GP2","CCL20","","LCE1D","","TTTY14","","IGLC3"
"RP11-195E2.1","C2orf72","VSIG8","MMP3","","HP","GDA","","LCE1C","","TXLNGY","",""
"RPL10P9","C2orf82","TNN","ZBTB16","","KRT13","LCN2","","LCE1B","","RP11-424G14.1","",""
"HLA-U","CIDEC","PM20D1","CD163","","","ATP12A","","LCE1A","","KDM5D","",""
"MDGA1","LTF","CAPN8","TMEM63C","","","SERPINB4","","LCE6A","","EIF1AY","",""
"ABCB5","ALDH1L1","MYCN","MT1A","","","SERPINB3","","RP1-20N18.10","","","",""
"SP8","ADIPOQ","LYG2","BEST2","","","WFDC12","","LOR","","","",""
"AC003090.1","PROM1","SLC38A3","F2RL3","","","PI3","","ASPRV1","","","",""
"TYRP1","SLC34A2","COL6A6","VSIG4","","","","","IL37","","","",""
"CA9","MUC7","CHST2","","","","","","SPINK7","","","",""
"TUBBP5","GRIA2","LRRC15","","","","","","PSORS1C2","","","",""
"HBB","FOXI1","GABRA4","","","","","","RNASE7","","","",""
"RP11-20D14.6","GABRP","TMPRSS11E","","","","","","UPK1A","","","",""
"GUCY1B2","SPDEF","CTNND2","","","","","","PSG4","","","",""
"FOS","CRISP3","SLCO4C1","","","","","","","","","",""
"CYP1A1","CCDC129","PDE6A","","","","","","","","","",""
"TPSD1","LEP","FGF18","","","","","","","","","",""
"NPIPA5","ATP6V0A4","LY6G6D","","","","","","","","","",""
"RP11-958N24.2","TMEM213","PI16","","","","","","","","","",""
"MT4","PIP","ROS1","","","","","","","","","",""
"NPIPB15","FABP4","FABP7","","","","","","","","","",""
"CCDC144A","ADCY8","FNDC1","","","","","","","","","",""
"USP32P1","OBP2B","PNLDC1","","","","","","","","","",""
"RPL13P12","LRRC26","SFRP4","","","","","","","","","",""
