"","A","B","C-1","C-2","D","E-1","E-2","F","G-1","G-2","H","I"
"MTND1P23","CA6","PADI3","PLA2G2A","RRM2","CHI3L2","RPTN","ADAMTS4","SPRR3","LINC01698","XIST","SFTPB","IGKC"
"PADI1","HMGCS2","COL11A1","CYP4B1","COL6A5","SPRR2D","FLG","SELE","CPB1","SRY","","MYL1","JCHAIN"
"EDN2","F5","HAO2","PROK1","TYRP1","SPRR2A","FLG2","PTGS2","ALB","RPS4Y1","","MYL2","IGHA2"
"SLC44A5","ADORA1","TCHH","PRG4","KRT73","SPRR2B","LCE5A","COL3A1","PGC","ZFY","","MYH6","IGHG2"
"GSTM1","LTF","SPRR4","G0S2","KRT2","SPRR2E","CRCT1","CCDC80","CPA1","RP11-115H13.1","","MYH7","IGHA1"
"HORMAD1","SLC34A2","SPRR1A","MAP1LC3C","PMEL","SPRR2F","LCE3E","COL6A6","PRSS1","PRKY","","MYH1","IGHG1"
"FCGR3B","MUC7","SPRR1B","ALKAL2","CRABP1","SPRR2C","LCE3D","LRRC15","PRSS2","TTTY15","","MYH2","IGHG3"
"MYOC","GRIA2","PRR9","SLC11A1","SLC47A2","SPRR2G","LCE2D","CXCL2","PNLIP","USP9Y","","CKM","IGHM"
"RP4-765C7.2","FOXI1","S100A3","CIDEC","OTOP3","S100A9","LCE2C","CXCL9","KRT4","DDX3Y","","","IGLC1"
"RP11-343H5.4","SPDEF","TNN","TIMP4","NPTX1","S100A8","LCE2B","SFRP2","GP2","UTY","","","IGLC2"
"ACTA1","CRISP3","PM20D1","GALNT15","MATN4","S100A7","LCE2A","PI16","HP","TMSB4Y","","","IGLC3"
"LINC01291","TMEM213","PDE6A","ITIH3","MXRA5Y","CCL20","C1orf68","FNDC1","KRT13","NLGN4Y","","",""
"RPL10P6","PIP","LY6G6D","KLF15","","AKR1B10","KPRP","IL6","","TTTY14","","",""
"DES","ADCY8","RP11-459E5.1","PTX3","","LCN2","LCE1F","SFRP4","","TXLNGY","","",""
"MUC20P1","LRRC26","FAM83A","ADIPOQ","","HEPHL1","LCE1E","COL1A2","","RP11-424G14.1","","",""
"RP11-195E2.1","SCGB2A1","GLDC","LINC01088","","TMPRSS4","LCE1D","COL26A1","","KDM5D","","",""
"RPL10P9","SCGB1D2","LHX2","SPP1","","ATP12A","LCE1C","CCL19","","EIF1AY","","",""
"FAM153B","SCGB2A2","ELOVL3","PCSK1","","PI3","LCE1B","CCL21","","","","",""
"ZFP57","PRR4","FADS2","GPX3","","CYP24A1","LCE1A","APLNR","","","","",""
"HLA-V","AQP5","CST6","STC2","","","LCE6A","THY1","","","","",""
"HLA-U","KRT7","GAL","CNR1","","","RP1-20N18.10","LUM","","","","",""
"MDGA1","KRT7-AS","KRTAP5-10","PDK4","","","LOR","CMA1","","","","",""
"RP11-632C17__A.1","DCD","MOGAT2","SERPINE1","","","APOB","CTSG","","","","",""
"FABP7","MUCL1","THRSP","LEP","","","IL37","GREM1","","","","",""
"ABCB5","CLDN10","GPRC5D","FABP4","","","PSAPL1","HDC","","","","",""
"RP11-775L16.1","RHCG","KRT86","LCN10","","","SULT1E1","C2CD4B","","","","",""
"XKR9","SLC13A2","KRT81","LCN6","","","HSD17B13","CCL2","","","","",""
"ARC","RP11-690G19.4","KRT83","DKK1","","","UGT3A2","CCL13","","","","",""
"CA9","KRT19","KRT85","RBP4","","","SPINK7","COL1A1","","","","",""
"GDA","LINC01152","KRT82","SAA2","","","DNAH8","SOCS3","","","","",""
"TUBBP5","SLC14A1","KRT75","SAA1","","","RP1-124C6.1","CLEC4G","","","","",""
"MSMB","RHPN2","KRT6B","LGALS12","","","AC003090.1","CPXM1","","","","",""
"HBB","SCGB1B2P","KRT6C","MMP3","","","ZBTB16","SIGLEC1","","","","",""
"NELL1","WFDC3","KRT6A","CD163","","","TMEM63C","APLN","","","","",""
"RP11-20D14.6","SERHL2","KRT71","GPD1","","","SORD2P","","","","","",""
"HRK","","KRT74","PPP1R1A","","","SCNN1G","","","","","",""
"GUCY1B2","","KRT79","RP11-366L20.2","","","MT4","","","","","",""
"FOS","","COCH","SERPINA3","","","LINC02137","","","","","",""
"ACTC1","","DPEP1","CYP19A1","","","BEST2","","","","","",""
"CYP1A1","","KRT25","CILP","","","UPK1A","","","","","",""
