"","A","B","C","D"
"MTND1P23","RP11-465B22.8","CNR2","JCHAIN","RPS4Y1"
"GSTM1","TMEM82","LINC01781","IGHA2","ZFY"
"RP11-343H5.4","IL22RA1","FCRL3","IGHA1","PRKY"
"LINC01291","EDN2","FCRL2","IGHV1-3","TTTY15"
"ADIPOQ","GUCA2B","FCRL1","IGHV7-4-1","USP9Y"
"PRL","GUCA2A","FCRLA","IGHV4-39","DDX3Y"
"HBB","C1orf210","LINC01857","IGLV8-61","UTY"
"USP32P1","TSPAN1","LINC01215","IGLV10-54","NLGN4Y"
"AIM1L","SLC5A9","TLR10","IGLV7-46","BCORP1"
"PDZK1IP1","CLCA1","BANK1","IGLV2-18","TXLNGY"
"FAM151A","EPS8L3","BLK","IGLV2-11","RP11-424G14.1"
"CLCA4","REG4","RP11-148O21.4","","KDM5D"
"HSD3B2","PDZK1","RP11-148O21.2","",""
"HSD3B1","CGN","PAX5","",""
"HMGCS2","IGSF9","MS4A1","",""
"PKLR","GPA33","RP11-428G5.5","",""
"ITLN1","RP11-116D2.1","RP11-693J15.5","",""
"ITLN2","APOB","FAM30A","",""
"FMO1","CAPN13","RP11-876N24.1","",""
"MROH3P","XDH","CD19","",""
"CTSE","SLC3A1","TBC1D27","",""
"PIGR","EPCAM","TNFRSF13B","",""
"SLC30A10","FABP1","CLEC17A","",""
"LYPD8","CPO","FAM129C","",""
"PLB1","VIL1","CD79A","",""
"NAT8B","IHH","VPREB3","",""
"REG3G","ALPI","TNFRSF13C","",""
"REG1B","UGT1A10","","",""
"REG1A","UGT1A1","","",""
"REG3A","SLC6A20","","",""
"SMYD1","FAM3D","","",""
"SULT1C3","ADGRG7","","",""
"LCT","HHLA2","","",""
"GCG","FLJ22763","","",""
"TM4SF20","NR1I2","","",""
"KCNJ13","MUC13","","",""
"CIDEC","PLS1","","",""
"RETNLB","MME","","",""
"RBP2","SI","","",""
"TM4SF4","LRRC31","","",""
"AADAC","SLC2A2","","",""
"LINC00955","LIPH","","",""
"SLC34A2","AC007126.1","","",""
"UGT2B17","GBA3","","",""
"UGT2B15","UGT2A3","","",""
"UGT2B7","ATOH1","","",""
"SULT1E1","MTTP","","",""
"PITX2","ENPEP","","",""
"PART1","FABP2","","",""
"SPINK1","SLC9A3","","",""
"FABP6","SLC6A19","","",""
"ATP10B","TMEM171","","",""
"TRIM31","F2RL1","","",""
"TRIM40","SLC23A1","","",""
"C6orf222","CDX1","","",""
"ADGRF1","CTB-127C13.1","","",""
"GSTA2","CDHR2","","",""
"GSTA1","BTNL8","","",""
"VNN1","BTNL3","","",""
"AGR2","SLC17A4","","",""
"CHRM2","TRIM15","","",""
"PRSS2","SLC44A4","","",""
"DPP6","MEP1A","","",""
"DEFA6","TINAG","","",""
"DEFA5","SMLR1","","",""
"SPINK4","IYD","","",""
"RP11-63P12.7","TMEM184A","","",""
"XXyac-YM21GA2.7","SCIN","","",""
"LCN2","AGR3","","",""
"PNLIPRP2","DDC","","",""
"DMBT1","CLDN3","","",""
"HRASLS2","CLDN4","","",""
"NXPE1","HEPACAM2","","",""
"NTS","CYP3A5","","",""
"MYBPC1","CYP3A4","","",""
"OLFM4","MUC3A","","",""
"GPX2","MUC17","","",""
"SERPINA1","MOGAT3","","",""
"SLC28A2","SLC26A3","","",""
"CA7","SLC13A1","","",""
"NPIPB15","AKR1B10","","",""
"C17orf78","MGAM","","",""
"G6PC","MGAM2","","",""
"PYY","AOC1","","",""
"B4GALNT2","HNF4G","","",""
"KCNH6","CDH17","","",""
"OTOP2","FER1L6","","",""
"GALR2","LRRC19","","",""
"ENPP7","GDA","","",""
"NPTX1","ALDOB","","",""
"CCL25","ENTPD8","","",""
"BEST2","TUBAL3","","",""
"CYP4F2","A1CF","","",""
"CYP4F11","HKDC1","","",""
"CEACAM5","PLA2G12B","","",""
"CEACAM6","CYP2C18","","",""
"CEACAM20","CYP2C19","","",""
"SULT2A1","CYP2C9","","",""
"PI3","MTND4P20","","",""
"PCK1","COL17A1","","",""
"TMPRSS15","CLRN3","","",""
"LINC00479","PRAP1","","",""
"TFF1","NLRP6","","",""
"CLDN2","CDHR5","","",""
"PLA2G2D","MUC2","","",""
"FCRL4","SYT8","","",""
"CR2","SLC5A12","","",""
"FDCSP","MS4A8","","",""
"CXCL13","MS4A10","","",""
"CCL19","MIR194-2HG","","",""
"MMP1","C11orf86","","",""
"MMP12","TBX10","","",""
"TCL1A","MOGAT2","","",""
"IGHG4","B3GNT6","","",""
"IGHD","APOA4","","",""
"IGHM","APOC3","","",""
"ADAMDEC1","APOA1","","",""
"IGHV5-10-1","TMPRSS4","","",""
"XIST","TREH","","",""
"TMSB4Y","PDZD3","","",""
"TTTY14","TMEM45B","","",""
"EIF1AY","APOBEC1","","",""
"","GUCY2C","","",""
"","METTL7B","","",""
"","SLC39A5","","",""
"","MYO1A","","",""
"","MYRFL","","",""
"","SLC17A8","","",""
"","CDX2","","",""
"","SLC15A1","","",""
"","SLC10A2","","",""
"","MIA2","","",""
"","AC007182.6","","",""
"","AMN","","",""
"","PHGR1","","",""
"","PPP1R14D","","",""
"","PLA2G4F","","",""
"","C15orf48","","",""
"","GCNT3","","",""
"","SLC51B","","",""
"","SLC28A1","","",""
"","ANPEP","","",""
"","BICDL2","","",""
"","CASP16P","","",""
"","TMC5","","",""
"","ANKS4B","","",""
"","ERN2","","",""
"","CHP2","","",""
"","SLC5A11","","",""
"","SULT1A2","","",""
"","ZG16","","",""
"","PRSS8","","",""
"","HSD11B2","","",""
"","RP11-71L14.3","","",""
"","CDH1","","",""
"","MARVELD3","","",""
"","HSD17B2","","",""
"","DPEP1","","",""
"","GGT6","","",""
"","TM4SF5","","",""
"","SLC52A1","","",""
"","CLDN7","","",""
"","SLC13A2","","",""
"","SLC6A4","","",""
"","TMIGD1","","",""
"","KRT20","","",""
"","KRT19","","",""
"","PRR15L","","",""
"","TMEM92","","",""
"","LINC00483","","",""
"","FADS6","","",""
"","MEP1B","","",""
"","MISP","","",""
"","SMIM24","","",""
"","CREB3L3","","",""
"","FUT6","","",""
"","FUT3","","",""
"","CYP4F3","","",""
"","B3GNT3","","",""
"","HAPLN4","","",""
"","TM6SF2","","",""
"","SLC7A9","","",""
"","FCGBP","","",""
"","CYP2B6","","",""
"","FAM83E","","",""
"","CEACAM18","","",""
"","HNF4A","","",""
"","HNF4A-AS1","","",""
"","ABCC13","","",""
"","FAM3B","","",""
"","TMPRSS2","","",""
"","SLC5A1","","",""
