"","A","B","C","D-1","D-2","E","F","G","H","I-1","I-2"
"MTND1P23","CELA3B","C1QC","PODN","PCSK9","HIST2H2BF","SPTA1","CRP","ACTA1","RRM2","XIST","RPS4Y1"
"MTCO1P12","CELA3A","C1QB","ACTG2","TMIGD3","RGS16","CHI3L1","ALB","KRT1","IGKJ5","","ZFY"
"PLA2G2D","REG1B","CD5L","SPP1","TCHH","CXCL8","TMCC2","FGB","MYH6","IGKJ4","","PRKY"
"RHD","REG1A","MARCO","SMOC2","S100A12","HIST1H2BF","CAMP","FGA","MYH7","IGKJ2","","TTTY15"
"CYR61","CLPS","TIMD4","SAA1","LINC01127","HIST1H2BH","GYPA","FGG","CKM","IGKJ1","","USP9Y"
"COL11A1","CPA2","CCL18","ACTC1","IL1R2","HSPA1A","TRIM10","PGC","MB","IGKV4-1","","DDX3Y"
"GSTM1","PRSS1","COLEC12","FBLN1","TIMP4","HSPA1B","RHAG","LIPF","","IGKV1-5","","UTY"
"RP4-765C7.2","PRSS2","SIGLEC12","GPC3","ZDHHC19","CCL19","CRISP3","KRT4","","IGKV1-6","","TMSB4Y"
"CFHR1","PNLIP","","","RP11-184M15.1","ADRA2A","ABCA13","KRT13","","IGKV3-7","","NLGN4Y"
"RP11-343H5.4","GP2","","","SLC1A3","","PRRT4","","","IGKV1-9","","TTTY14"
"CLEC4F","","","","ANKRD34B","","DEFA4","","","IGKV3-11","","BCORP1"
"LINC01291","","","","ARG1","","DEFA3","","","IGKV1-12","","TXLNGY"
"IL1RL1","","","","CCL24","","CA1","","","IGKV1-13","","RP11-424G14.1"
"SULT1C2","","","","MGAM","","HEMGN","","","IGKV3-15","","KDM5D"
"PAX8-AS1","","","","MGAM2","","ORM1","","","IGKV1-16","","TTTY10"
"AC068282.3","","","","MSR1","","LCN2","","","IGKV1-17","","EIF1AY"
"SPHKAP","","","","OLAH","","IFIT1B","","","IGKV3-20","",""
"ECEL1","","","","ANKRD22","","HBB","","","IGKV6-21","",""
"GPR15","","","","MS4A6E","","HBD","","","IGKV2-24","",""
"CPN2","","","","FOLR3","","HBG2","","","IGKV1-27","",""
"LRRC15","","","","CD163","","PRG3","","","IGKV2-28","",""
"GABRA2","","","","SERPINA3","","PRG2","","","IGKV2-29","",""
"FDCSP","","","","LINC02207","","TCN1","","","IGKV2-30","",""
