"","A-1","A-2","B","C","D","E-1","E-2"
"GSTM1","RP11-465B22.8","SMYD1","LINC00982","IGKC","GHRL","XIST","RPS4Y1"
"RP11-343H5.4","KLHDC7A","ASB5","AKR7A3","IGKJ5","SST","","ZFY"
"PRL","NR0B2","CARTPT","RAP1GAP","IGKJ4","GC","","PRKY"
"PTGS2","KDF1","CHRM2","CELA3A","IGKJ3","MS4A8","","TTTY15"
"CXCL5","SMPDL3B","PENK","NCMAP","IGKJ2","CHGA","","USP9Y"
"PRSS1","TMEM125","CTNNA3","GUCA2B","IGKJ1","MT1G","","DDX3Y"
"OLFM4","C1orf210","TACR2","KIAA1324","IGKV4-1","MT1H","","UTY"
"SLC28A2","PDZK1IP1","CHRDL2","CHIA","IGKV1-5","RBPJL","","NLGN4Y"
"GP2","EPS8L3","FAT3","HMGCS2","IGKV1-6","","","TTTY14"
"NPIPB15","RAB25","KCNA1","FMO5","IGKV1-9","","","TXLNGY"
"CEACAM5","IGSF9","LMAN1L","RORC","IGKV3-11","","","RP11-424G14.1"
"FOSB","C1orf106","CPLX3","MFSD4A","IGKV1-12","","","KDM5D"
"","LAD1","CHRNA3","SLC26A9","IGKV3-15","","","EIF1AY"
"","ELF3","GRP","ESRRG","IGKV1-16","","",""
"","CTSE","LINC00890","LINC01105","IGKV1-17","","",""
"","PIGR","PNCK","AC008268.1","IGKV3-20","","",""
"","C1orf116","","LRRC31","IGKV2-24","","",""
"","LAMB3","","UGT2B15","IGKV1-27","","",""
"","CAPN8","","ETNPPL","IGKV2-28","","",""
"","CAPN9","","FGB","IGKV2-30","","",""
"","CAPN13","","FGA","IGKV1-33","","",""
"","EPCAM","","FGG","IGKV1-39","","",""
"","GKN2","","SLC9A3","JCHAIN","","",""
"","GKN1","","IRX2","IGHA2","","",""
"","REG1A","","CCNO","IGHA1","","",""
"","REG3A","","TMEM171","IGHD","","",""
"","SLC9A4","","SPDEF","IGHM","","",""
"","SLC9A2","","PGC","IGHJ4","","",""
"","SULT1C2","","GSTA2","IGHV1-2","","",""
"","RP11-67L14.1","","GSTA1","IGHV1-3","","",""
"","TFCP2L1","","FUT9","IGHV4-4","","",""
"","LYPD6B","","FRMD1","IGHV2-5","","",""
"","IHH","","TRIM50","IGHV3-7","","",""
"","LTF","","BHLHA15","IGHV5-10-1","","",""
"","FAM3D","","AZGP1","IGHV3-11","","",""
"","HGD","","CPA2","IGHV3-15","","",""
"","MUC13","","GATA4","IGHV1-18","","",""
"","CLDN18","","RP11-656G20.1","IGHV3-21","","",""
"","AADAC","","PSCA","IGHV3-23","","",""
"","ARL14","","CA9","IGHV3-30","","",""
