"","A","B","C","D","E","F"
"MTND1P23","LHCGR","LINC01646","PLA2G2A","C1QC","CHI3L1","CELA3A"
"MTCO1P12","CYP17A1","OXCT2","ACKR1","C1QB","REG3G","REG1B"
"RHD","AQP2","TSPAN1","SERPINE1","IGFBP5","CFI","REG1A"
"GSTM1","CALB2","C1orf185","NNMT","ADH1B","SERPINA3","CLPS"
"RP1-140J1.1","INSL3","NFIA-AS1","MT1M","C7","VTN","PRSS1"
"SELE","SULT2A1","RP11-181B18.1","MT1A","STEAP4","CCL2","PRSS2"
"RP11-343H5.4","","LINC01364","MT1X","WISP2","","PNLIP"
"ACTA1","","LINC01760","SOCS3","","","CTRB2"
"LINC01291","","LINC01650","ADAMTS1","","","CTRB1"
"IGKC","","RP11-147C23.1","","","",""
"RP13-1039J1.2","","SPATA42","","","",""
"AC068282.3","","KCND3-AS1","","","",""
"FRZB","","SPRR4","","","",""
"FGFBP2","","LELP1","","","",""
"MUC7","","S100A7A","","","",""
"HPSE","","OR10J1","","","",""
"SMN2","","RP11-38C18.2","","","",""
"GTF2H2B","","RP11-38C18.3","","","",""
"RP11-195E2.1","","LRRC52","","","",""
"RPL10P9","","RP11-102C16.3","","","",""
"BTNL3","","RPL29P7","","","",""
"RP5-1077H22.2","","RP1-102G20.5","","","",""
"PRL","","LINC01688","","","",""
"HLA-DRB5","","APOBEC4","","","",""
"RP11-632C17__A.1","","LINC01350","","","",""
"RP11-356I2.1","","RP11-168O16.2","","","",""
"IL6","","RP11-23I7.1","","","",""
"PSPHP1","","RP11-383G10.5","","","",""
"ZP3","","LINC01696","","","",""
"CTAGE15","","FAM71A","","","",""
"RNF5P1","","RP5-1099E6.3","","","",""
"RP11-122L4.2","","RP11-449J1.1","","","",""
"GPS2P1","","RPS7P5","","","",""
"YBX1P10","","RP11-80B9.4","","","",""
"LINC01504","","C1orf100","","","",""
"OBP2A","","RP11-173A6.4","","","",""
"HBB","","AC079779.5","","","",""
"ATF4P4","","MYT1L-AS1","","","",""
"KRT2","","AC011752.1","","","",""
"KRT1","","CIB4","","","",""
"MYL2","","LINC01913","","","",""
"IGHG2","","AC092155.4","","","",""
"IGHA1","","LINC01628","","","",""
"IGHG1","","AC007422.1","","","",""
"IGHG3","","FUNDC2P2","","","",""
"HBA2","","DPP10-AS3","","","",""
"HBA1","","RP11-107E5.4","","","",""
"RP11-958N24.2","","XIRP2-AS1","","","",""
"PKD1P5","","AC073636.1","","","",""
"RP11-254F19.4","","AC007557.4","","","",""
"RP11-1228E12.1","","TNP1","","","",""
"RPL13P12","","HSPA9P1","","","",""
"USP32P2","","SPATA3","","","",""
"CTD-2303H24.2","","TEX44","","","",""
"FAM106A","","PRSS56","","","",""
"SNORD3B-1","","LINC00606","","","",""
"SNORD3C","","C3orf20","","","",""
"TBC1D3L","","LINC01981","","","",""
"KRT14","","RP11-331G2.7","","","",""
"LRRC37A4P","","TMEM89","","","",""
"RP11-259G18.3","","ACTBP13","","","",""
"GH1","","IQCF6","","","",""
"RP11-672L10.2","","IQCF4","","","",""
"LINC01898","","FOXP1-AS1","","","",""
"RPSAP58","","RP11-520D19.1","","","",""
"APOC2","","RP11-249L12.1","","","",""
"CXADRP1","","LINC02042","","","",""
"IGSF5","","CD200R1L","","","",""
"SIK1","","CFAP44-AS1","","","",""
"PWP2","","LINC00901","","","",""
"C21orf33","","NUP210P1","","","",""
"TRPM2-AS","","GP9","","","",""
"MLC1","","H1FOO","","","",""
"GPX1P1","","IL20RB-AS1","","","",""
"FAM236A","","TRIM42","","","",""
"RP11-232D9.3","","LINC02032","","","",""
"RHOXF2B","","PSMC1P7","","","",""
"SPANXC","","LRRC77P","","","",""
"MAGEA9B","","LRRIQ4","","","",""
"HSFX1","","NAALADL2-AS3","","","",""
"H2AFB1","","PEX5L-AS2","","","",""
"TSPY10","","RP11-61G19.2","","","",""
"FCN3","","RP11-281P23.2","","","",""
"LINC01360","","RP11-263J14.1","","","",""
"KCNA10","","RP11-292B1.2","","","",""
"S100A9","","ADGRL3-AS1","","","",""
"RP11-61J19.2","","CABS1","","","",""
"LINC01249","","ENAM","","","",""
"LINC00570","","RP11-100N20.1","","","",""
"RP11-358H12.1","","RP11-778J15.1","","","",""
"AC016738.3","","RP11-428L21.2","","","",""
"AC013271.3","","LINC02173","","","",""
"AC017002.4","","CEP170P1","","","",""
"TUBA3E","","RP11-73G16.3","","","",""
"CYP4F62P","","RP11-161D15.1","","","",""
"AC010127.3","","RP11-806K15.1","","","",""
"SLC11A1","","ASB5","","","",""
"LINC01985","","TRIML1","","","",""
"AC116035.2","","LINC01020","","","",""
"CPA3","","LINC02142","","","",""
"UGT2B10","","RP11-305P14.1","","","",""
"CXCL13","","CTD-2275D24.1","","","",""
"SPP1","","LINC01333","","","",""
"CARTPT","","ALDH7A1P1","","","",""
"TSLP","","FAM81B","","","",""
"LRFN2","","RP11-119J18.1","","","",""
"RP3-462C17.1","","ARHGAP26-AS1","","","",""
"RP1-97J1.2","","PPP2R2B","","","",""
"RP11-307P5.2","","AC008427.2","","","",""
"RP11-196O2.1","","SLC36A3","","","",""
"RP11-114G11.5","","FAM71B","","","",""
"RP11-458K10.2","","LINC02143","","","",""
"TRBV9","","SMIM23","","","",""
"ADAM5","","RP11-619L12.4","","","",""
"ADAM3A","","CDHR2","","","",""
"SNTG1","","PFN3","","","",""
"CNGB3","","RP11-798K23.3","","","",""
"LINC00964","","ADTRP","","","",""
"RP11-34H11.3","","C6orf229","","","",""
"RP11-236F9.2","","TREML2","","","",""
"C9orf57","","RP11-415D17.3","","","",""
"RP11-165H23.1","","SCML4","","","",""
"RP11-244N9.6","","RP3-325F22.3","","","",""
"LINC00700","","ZC2HC1B","","","",""
"FAM170B","","RP1-111D6.4","","","",""
"RP11-36D19.9","","TTLL2","","","",""
"MRGPRG-AS1","","AC004862.6","","","",""
"RP11-358H18.2","","LRRD1","","","",""
"RP11-705C15.4","","ERVW-1","","","",""
"PRH2","","DOCK4-AS1","","","",""
"KRT72","","AC073130.1","","","",""
"LYZ","","RP11-390E23.3","","","",""
"GLIPR1L1","","SPAM1","","","",""
"RP11-495K9.6","","AC000099.1","","","",""
"POSTN","","PRSS58","","","",""
"LINC00411","","TRY2P","","","",""
"LINC01309","","TRBV7-3","","","",""
"RP11-232C2.2","","RP4-584D14.6","","","",""
"LINC00911","","GALNTL5","","","",""
"HOMER2P1","","LINC00208","","","",""
"RP11-11H9.2","","GOT1L1","","","",""
"RP11-294C11.3","","RP11-470M17.2","","","",""
"OR4N4","","RP11-738G5.1","","","",""
"GOLGA6L2","","CTD-3046C4.1","","","",""
"RP11-24D15.1","","LINC01289","","","",""
"CTD-2071N1.1","","FABP12","","","",""
"RP11-815J21.3","","RP11-320N21.1","","","",""
"NTRK3-AS1","","RP11-58O3.2","","","",""
"LINC02091","","SPATC1","","","",""
"P2RX1","","IZUMO3","","","",""
"RP11-488L1.1","","LINC01241","","","",""
"AC005324.7","","TMEM215","","","",""
"TBC1D3B","","C9orf24","","","",""
"TBC1D3F","","SPATA31E1","","","",""
"LRRC37A","","HEMGN","","","",""
"RDH8","","CYLC2","","","",""
