"","A","B-1","B-2","C","D-1","D-2","E","F","G-1","G-2","H-1","H-2"
"SLC44A5","MTND1P23","MTCO1P12","VWA5B1","CELA3A","DIO1","SLC27A6","FCRL5","CHI3L1","CYS1","LINC01235","NLRP2","RPS4Y1"
"GSTM1","ACTA1","PLA2G2A","ZNF683","CRNN","FAM163A","ABCA13","FCRL3","G0S2","ACTG2","","XIST","ZFY"
"HMGCS2","RPL10P9","C1QC","CYR61","SPRR3","RGS8","CPAMD8","SLAMF7","SFTPB","DES","","","ZFY-AS1"
"MYOC","SFTPA2","C1QB","HIST2H2BF","REG1A","LRRTM1","","LY9","RARRES1","CPA3","","","TBL1Y"
"TNN","SFTPA1","FCN3","ADAMTS4","CPB1","LINC01789","","RGS1","LAMP3","LRRC15","","","RP11-115H13.1"
"RP4-765C7.2","NRAP","MFSD2A","HSPA6","PRL","NEB","","CHIT1","SLC34A2","SFRP2","","","PRKY"
"RP11-343H5.4","KRT5","CYP4B1","SELE","PGC","CARTPT","","CTSE","CCL19","CXCL14","","","TTTY15"
"LINC01291","KRT2","PRG4","PTGS2","CPA1","FER1L6","","ANKRD36BP2","TNC","PI16","","","USP9Y"
"AC068282.3","KRT1","AC144450.1","ATF3","PRSS1","GLDC","","IGKC","LCN2","SFRP4","","","DDX3Y"
"IHH","MYBPC1","AC141930.3","HIST3H2BB","PRSS2","RAG2","","IGKJ5","GREM1","SCARA5","","","UTY"
"MROH2A","MYL2","IL1RL1","AC011298.2","LIPF","GJB6","","IGKJ4","TNFSF14","OGN","","","TMSB4Y"
"ESPNL","MYH6","MARCO","COL6A4P2","PNLIP","MT1H","","IGKJ3","CTD-3128G10.7","ACTA2-AS1","","","NLGN4Y"
"LRRN1","MYH7","CIDEC","PROM1","KRT6A","RP11-116O18.1","","IGKJ2","CD177","FAM180B","","","TTTY14"
"NKX6-1","MYH1","TIMP4","CXCL8","KRT4","SLC5A5","","IGKJ1","MYBPC2","MFAP5","","","TXLNGY"
