"","A","B","C","D","E","F","G","H"
"MTND1P23","CELA3A","IGKC","RNF223","RPTN","SPRR2D","TFCP2L1","ABCA12","FETUB"
"GSTM1","REG1A","IGKV4-1","HES2","CRCT1","SPRR2A","SULT1E1","SOX21","CALML5"
"RP4-765C7.2","PRSS1","IGKV1-5","IL22RA1","LCE3E","SPRR2E","IRX4","RP11-54H7.4","KRT1"
"RP11-343H5.4","PRSS2","IGKV3-20","GRHL3","LCE3D","S100A7","GPX2","PLA2G4E","KRT10"
"TCF23","PNLIP","JCHAIN","AIM1L","KPRP","IL36A","TMEM63C","ALOX12B","SERPINB12"
"LINC01291","GP2","IGHA2","SFN","MAL","HEPHL1","RP11-58O9.2","KRT14","IGFL2-AS1"
"MUC4","","IGHG4","KDF1","AC103563.9","KLK5","TNS4","LGALS7B",""
"GABRP","","IGHG2","GJB5","IL36RN","KLK6","EDN3","PLA2G3",""
"PRLHR","","IGHA1","GJB3","ZBED2","KLK7","","",""
"PCDH8","","IGHG1","PDZK1IP1","ATP13A4","PI3","","",""
"OLFM4","","IGHG3","TTC22","CWH43","","","",""
"ACTC1","","IGHV3-23","LEXM","TMPRSS11B","","","",""
"NPIPB15","","IGLV3-21","TACSTD2","EREG","","","",""
"USP32P1","","IGLV3-1","LPAR3","SPINK7","","","",""
"LINC00890","","IGLC1","CLCA2","SFTA2","","","",""
"PADI1","","","CLCA4","LY6G6C","","","",""
"PADI3","","","GBP6","CRISP3","","","",""
"PLA2G2A","","","MAB21L3","CPA4","","","",""
"CD164L2","","","BNIPL","ATG9B","","","",""
"EDN2","","","CRNN","SLURP1","","","",""
"MYOC","","","IVL","LYPD2","","","",""
"ELF3","","","SPRR1A","LYNX1","","","",""
"RP11-510N19.5","","","SPRR3","PRSS3","","","",""
"MIR205HG","","","RP1-20N18.4","FAM25A","","","",""
"RP4-781K5.6","","","SPRR1B","GYS2","","","",""
"CREG2","","","PGLYRP3","ENDOU","","","",""
"GALNT5","","","PGLYRP4","KRT78","","","",""
"ITGB6","","","S100A9","SDR9C7","","","",""
"ESRG","","","S100A8","SLC15A1","","","",""
"ADH7","","","S100A2","PLA2G4D","","","",""
"SPINK6","","","S100A14","ALOX12","","","",""
"FOXQ1","","","RAB25","RNF222","","","",""
"DPCR1","","","NECTIN4","WFDC21P","","","",""
"MUC22","","","C1orf106","DSG1","","","",""
"HCG22","","","PKP1","SERPINB7","","","",""
"ADGRF1","","","LAD1","ACER1","","","",""
"RP11-351J23.2","","","NUAK2","CYP4F22","","","",""
"RP11-351J23.1","","","C1orf116","KRTDAP","","","",""
"DEFB1","","","GRHL1","SBSN","","","",""
"PSCA","","","SDC1","TEX101","","","",""
"LY6D","","","IL1RN","CTD-2619J13.13","","","",""
"CTSV","","","DAPL1","CLDN17","","","",""
"CYP2C19","","","C2orf54","","","","",""
"CYP2C9","","","TMEM40","","","","",""
"PNLIPRP3","","","FAM3D","","","","",""
"ELF5","","","CSTA","","","","",""
"TCN1","","","ACPP","","","","",""
"MYEOV","","","IL20RB","","","","",""
"TMPRSS4","","","GPR87","","","","",""
"TP53AIP1","","","TP63","","","","",""
"KRT4","","","FGFBP1","","","","",""
"LINC00330","","","NMU","","","","",""
"RNASE7","","","TMPRSS11D","","","","",""
"RHOV","","","TMPRSS11A","","","","",""
"KRT16P6","","","TMPRSS11F","","","","",""
